,sample2,sample4,sample1,sample3
GNB1,10807,10166,8379,10157
GNB1-DT,17,22,9,22
LOC124903822,13,6,14,21
CALML6,21,6,3,5
TMEM52,240,255,105,129
CFAP74,4,3,14,14
LOC107984872,0,1,1,1
LOC105378589,26,17,18,28
GABRD,29,17,23,40
LOC105378590,9,11,1,0
PRKCZ,763,766,678,947
PRKCZ-DT,1,6,3,3
PRKCZ-AS1,38,46,35,38
FAAP20,748,771,676,1000
LOC112268219,115,146,90,185
LOC105378593,11,7,8,15
LOC124903823,0,0,1,0
SKI,3714,2987,2100,2711
LOC124903824,49,66,145,182
MORN1,154,178,302,386
LOC100129534,24,45,97,70
RER1,1745,2266,1455,1918
PEX10,378,638,551,696
PLCH2,56,44,45,61
PANK4,1226,1182,842,1023
HES5,0,1,0,1
TNFRSF14-AS1,4,3,3,1
TNFRSF14,5,4,13,15
LOC100996583,3,2,9,13
PRXL2B,833,1121,460,556
MMEL1,3,2,2,2
MMEL1-AS1,1,0,0,0
TTC34,11,5,8,13
LOC105378602,0,0,0,0
LOC105378601,0,0,0,0
LOC112268220,0,0,0,0
LOC107985732,0,0,0,0
LOC105378600,0,0,0,0
LOC105378598,0,0,0,0
LOC107984904,0,0,0,0
LOC105378599,0,0,0,0
LOC124903825,0,0,0,0
LOC124903826,0,0,0,0
ACTRT2,0,0,0,0
LOC124903827,2,2,0,0
PRDM16-DT,0,0,0,0
PRDM16,22,23,26,25
MIR4251,0,0,0,0
LOC105378606,0,0,0,0
LOC107984909,2,0,0,0
LOC105378605,0,0,0,0
LOC124903828,2,2,0,0
LOC105378604,2,1,0,0
ARHGEF16,762,1060,965,1554
MEGF6,1560,1640,1296,1470
LOC105378608,11,9,5,6
MIR551A,5,3,3,0
TPRG1L,570,485,503,740
WRAP73,757,858,419,471
TP73,273,161,76,155
TP73-AS3,3,0,0,0
TP73-AS1,1911,1945,929,1330
CCDC27,16,15,12,28
SMIM1,65,66,59,58
LRRC47,4767,5095,2701,3453
CEP104,1125,1136,1026,1344
LOC124903829,18,12,14,15
DFFB,340,489,192,200
C1orf174,1145,1201,743,910
LINC01134,5,10,6,9
LINC01346,0,0,0,0
LINC01345,0,0,0,0
LINC01777,0,0,0,0
LOC105376674,0,0,0,0
LOC124904578,0,0,0,0
LINC01646,0,0,0,0
AJAP1,166,160,51,90
LINC02781,0,0,0,0
LOC124904589,0,0,0,0
LOC102724429,0,2,0,0
LINC02782,4,6,0,0
LOC105376682,0,3,0,0
LOC124904590,0,4,1,0
LOC107984911,0,0,0,1
LOC105376686,0,0,0,0
LOC124900451,0,0,0,0
LOC124903830,1,0,0,3
MIR4689,1,1,0,0
NPHP4,484,416,533,725
KCNAB2,505,274,583,785
LOC124903831,4,3,3,2
CHD5,95,88,21,27
RPL22,8244,7760,7734,9318
RNF207-AS1,5,8,2,3
RNF207,116,107,54,75
ICMT,6190,8346,2848,2896
ICMT-DT,99,129,73,81
HES3,154,218,2,2
GPR153,499,516,113,111
ACOT7,2871,3148,923,794
HES2,37,54,9,11
ESPN,903,487,199,252
MIR4252,0,1,0,0
TNFRSF25,239,297,126,213
PLEKHG5,1156,1210,688,1008
NOL9,2957,4064,2017,2298
TAS1R1,11,2,7,15
LOC107984912,0,0,0,0
ZBTB48,420,549,414,544
KLHL21,1446,2104,514,599
LOC107984913,16,19,19,30
PHF13,1334,1661,1084,1699
THAP3,361,364,292,437
DNAJC11,2136,2294,1388,1453
LINC01672,0,0,0,0
LOC124904847,0,0,0,0
CAMTA1-DT,27,34,23,22
CAMTA1,1411,1146,957,1151
LOC124903832,276,92,119,89
CAMTA1-AS3,0,0,0,0
LOC124900385,4,2,2,4
CAMTA1-AS2,2,1,2,0
CAMTA1-AS1,7,0,3,1
LOC105376691,0,0,1,0
LOC105376689,91,81,171,192
VAMP3,1454,1442,1414,1914
PER3,299,292,213,246
LOC124903833,4,5,3,5
UTS2,3,1,11,11
TNFRSF9,1,3,427,595
PARK7,4892,5622,3784,5169
LOC124903834,24,28,10,22
ERRFI1,1301,1231,1002,1737
ERRFI1-DT,4,3,9,6
LOC107984915,3,0,0,0
LINC01714,0,0,0,0
LOC105376695,0,0,0,0
LOC124903835,0,3,0,0
SLC45A1,15,17,4,6
RERE,2299,1580,1170,1321
RERE-AS1,13,5,6,4
SNORD128,2,4,3,1
LOC124900452,0,2,1,2
ENO1,129803,102066,124891,188493
MIR6728,7,6,4,3
ENO1-AS1,25,27,37,37
LOC112268261,0,0,0,0
CA6,0,0,0,0
SLC2A7,2,0,1,1
SLC2A5,2,3,0,1
LOC124900441,0,0,0,0
GPR157,308,203,204,187
MIR34AHG,673,577,225,353
MIR34A,0,0,0,0
LNCTAM34A,93,63,22,36
H6PD,792,510,1949,2326
LOC124903836,2,6,11,14
SPSB1,155,141,265,363
LINC02606,2,1,3,3
SLC25A33,786,929,404,513
TMEM201,1000,1261,517,640
LOC124903837,6,13,3,10
PIK3CD,1190,1112,547,617
LOC105376712,0,0,0,1
PIK3CD-AS1,3,3,1,1
PIK3CD-AS2,206,220,200,284
LOC124903839,6,8,1,6
CLSTN1,3646,3143,3517,4544
CTNNBIP1,1233,1151,1357,2015
LOC105376717,3,7,1,1
LOC124903838,11,12,10,9
LZIC,1058,1009,1176,1749
NMNAT1,315,256,315,483
TMEM274P,17,7,8,8
MIR5697,1,0,0,2
LOC124903840,0,0,0,1
RBP7,46,48,25,24
UBE4B,5351,5738,3105,3702
KIF1B,8912,6860,5952,6721
PGD,12175,12417,7648,8979
CENPS-CORT,6,6,0,2
CENPS,18,27,17,19
CORT,8,5,9,2
DFFA,6395,7579,5221,6905
PEX14,811,843,878,980
CASZ1,290,320,58,61
LOC105376733,14,10,1,0
LOC105376735,0,0,0,0
C1orf127,8,6,2,6
TARDBP,2870,2865,1709,2012
MASP2,77,53,53,62
SRM,2764,2678,953,913
EXOSC10,2865,3630,3014,3408
EXOSC10-AS1,4,15,7,14
MTOR,9384,9382,4768,4743
MTOR-AS1,8,8,4,4
LOC124904848,0,0,1,0
ANGPTL7,23,10,11,7
UBIAD1,910,1258,569,755
LOC105376737,1,1,1,2
LOC105376739,2,2,0,0
LOC105376740,6,5,2,3
LOC124903841,1,0,0,0
DISP3,328,295,122,252
LOC124903842,31,42,2,1
LINC01647,0,5,1,1
FBXO2,517,607,304,322
FBXO44,721,794,484,756
FBXO6,89,123,123,147
MAD2L2,4210,5071,1779,2143
DRAXIN,1628,2253,732,746
AGTRAP,1344,1372,1175,1479
C1orf167,41,31,9,12
C1orf167-AS1,3,4,2,0
MTHFR,674,732,487,650
CLCN6,884,840,708,837
NPPA-AS1,7,3,2,4
NPPA,5,10,5,3
NPPB,1,1,7,2
RNU5E-1,57,38,36,62
LOC124903843,6,8,7,6
KIAA2013,2217,2608,1814,2240
PLOD1,1076,1002,1908,2736
MFN2,3379,4142,2162,2672
MIIP,956,1456,860,1273
MIR6729,1,0,0,0
TNFRSF8,1322,1962,167,144
MIR7846,0,0,0,0
TNFRSF1B,194,189,126,140
LOC124903844,3,0,1,3
MIR4632,0,0,0,0
VPS13D,4055,2807,2949,2614
LOC124903845,6,3,5,5
SNORA59A,7,8,7,6
LINC02766,1,5,2,5
DHRS3,345,335,138,225
MIR6730,0,0,0,0
AADACL4,0,0,0,0
LOC124903846,30,65,2,1
AADACL3,24,40,0,0
LOC124904811,0,0,0,0
CFAP107,0,0,4,1
PRAMEF12,0,0,0,0
PRAMEF1,0,0,0,0
LINC01784,0,0,0,0
PRAMEF11,0,0,0,0
HNRNPCL1,6,5,4,1
PRAMEF2,0,0,0,0
PRAMEF4,0,0,0,0
PRAMEF10,0,0,0,0
PRAMEF7,0,0,0,0
PRAMEF6,0,0,0,0
PRAMEF27,0,0,0,0
HNRNPCL3,1,1,1,1
PRAMEF25,0,0,0,0
PRAMEF34P,0,0,0,0
HNRNPCL2,2,2,1,2
PRAMEF36P,0,0,0,0
PRAMEF26,0,0,0,0
HNRNPCL4,1,3,0,1
PRAMEF9,0,0,0,0
PRAMEF13,0,0,0,0
PRAMEF18,0,0,0,0
PRAMEF5,0,0,0,0
PRAMEF8,0,0,0,0
PRAMEF33,0,0,0,0
PRAMEF15,0,0,0,0
PRAMEF14,0,0,0,0
PRAMEF19,0,0,0,0
PRAMEF17,0,0,0,0
PRAMEF20,0,0,0,0
LRRC38,1,2,1,3
LOC102724856,0,1,0,0
LOC107984918,0,0,0,0
PDPN,1702,2846,506,726
LOC105378612,0,0,0,1
LOC105376756,0,0,0,0
LOC124900446,0,0,0,0
PRDM2,1124,1003,991,1236
KAZN,431,295,592,903
LOC107985467,13,4,5,1
LOC124903847,4,0,2,1
KAZN-AS1,0,3,0,2
LOC124903850,2,1,1,1
LOC105376759,2,0,0,0
LOC124903848,32,32,24,20
LOC107985469,1,2,1,0
LOC124903849,0,0,0,1
TMEM51-AS1,11,6,35,49
TMEM51,233,214,522,651
TMEM51-AS2,7,8,7,10
FHAD1,16,21,47,53
LOC124903853,0,2,1,0
LOC124903852,1,2,4,6
FHAD1-AS1,1,2,3,8
LOC124903851,2,0,1,0
EFHD2-AS1,5,2,6,9
EFHD2,555,679,661,925
CTRC,0,0,0,0
CELA2A,4,4,1,1
LOC105376767,3,1,1,1
CELA2B,12,4,5,8
CASP9,499,568,384,444
DNAJC16,1664,1566,1579,1992
SCARNA21B,7,2,2,3
AGMAT,324,441,56,48
LOC124903854,2,4,1,5
DDI2,2684,2897,1405,1697
RSC1A1,1,1,2,1
PLEKHM2,2174,2341,1885,2685
SLC25A34,13,32,9,10
SLC25A34-AS1,2,0,0,0
TMEM82,7,11,15,54
FBLIM1,2332,2963,1540,2497
UQCRHL,41,78,47,46
SPEN-AS1,266,237,156,217
SPEN,3907,2662,2923,2905
LOC124904815,0,0,0,0
ZBTB17,697,798,769,897
LOC124903855,53,24,30,23
SRARP,7,8,96,123
HSPB7,42,41,39,34
CLCNKA,30,16,61,85
CLCNKB,56,94,119,188
FAM131C,15,11,20,41
EPHA2,3933,4343,5436,7169
EPHA2-AS1,90,73,98,119
ARHGEF19,1750,2008,576,701
ANO7L1,6,4,5,7
CPLANE2,57,76,76,98
FBXO42,1739,1300,1500,1616
SZRD1,2747,3448,1688,2165
SPATA21,26,18,21,19
NECAP2,1062,1355,1089,1664
LINC01772,60,25,32,41
CROCCP3,292,216,216,295
RNU1-1,9,13,30,23
TRN-GTT5-1,11,8,5,4
LINC01783,30,36,27,29
TRE-TTC4-1,0,0,0,0
LOC124903856,0,0,0,0
TRG-CCC1-1,40,44,16,23
NBPF1,272,297,372,508
LOC124900584,739,807,420,617
CROCCP2,278,252,180,245
MST1P2,230,155,274,493
RNU1-3,0,0,2,0
LOC124903857,1,0,0,0
TRG-CCC4-1,26,13,11,24
ESPNP,35,14,6,15
LOC124903858,18,13,4,5
TRG-CCC5-1,49,49,20,19
LOC124903859,0,1,1,1
RNU1-4,2,1,1,2
MST1L,64,42,89,159
MIR3675,0,0,0,0
TRG-CCC1-2,27,16,12,9
LOC112267871,50,48,59,51
TRE-TTC3-1,0,0,0,0
LOC105376805,167,200,163,210
TRN-GTT4-1,5,0,3,3
RNU1-2,17,10,40,38
CROCC,3344,3157,1546,2200
MFAP2,1440,1819,1288,1407
LOC105376806,70,111,76,120
ATP13A2,3726,4143,1922,2186
SDHB,2169,2503,1130,1221
PADI2,231,157,34,20
LOC124903861,1,0,0,0
LOC105376808,0,0,0,0
LINC02783,1,1,0,0
PADI1,3,14,0,0
PADI3,51,78,73,47
MIR3972,0,0,2,0
PADI4,7,18,3,2
PADI6,1,4,1,1
RCC2,16416,23189,6863,7678
RCC2-AS1,0,0,0,0
LOC124903862,26,17,6,5
LOC124904837,0,0,0,0
ARHGEF10L,1389,1630,682,943
LINC02810,0,0,0,0
ACTL8,40,38,1,0
LOC105376809,0,0,0,0
LOC105376812,0,0,0,0
LINC01654,0,0,0,0
IGSF21,484,386,619,1021
IGSF21-AS1,8,0,2,0
LOC124903864,3,1,0,0
LOC124903863,368,420,37,16
LOC124903865,19,15,1,2
KLHDC7A,516,852,64,35
PAX7,2,5,39,59
TAS1R2,2,0,0,0
ALDH4A1,1287,1393,1121,1408
MIR4695,0,0,0,0
MIR1290,1,0,0,4
LOC124903866,1,5,7,8
IFFO2,1309,1165,640,740
LOC105376815,0,1,0,0
UBR4,18673,11694,10717,8221
EMC1-AS1,32,29,17,36
EMC1,3264,3511,2935,3697
MRTO4,1864,3068,1153,1480
AKR7L,23,18,12,30
AKR7A3,26,19,16,28
LOC124903867,77,60,72,84
LOC100506730,133,97,137,155
AKR7A2,1253,1400,1477,1789
SLC66A1,540,899,500,682
CAPZB,3394,3119,2590,2883
LOC124903868,13,2,4,8
LOC124903869,6,2,2,2
LOC105376819,12,5,7,16
LOC105376818,0,1,0,0
LOC105376817,0,0,0,0
LOC124904816,0,0,0,0
MICOS10-DT,0,0,0,0
MICOS10-NBL1,0,0,0,0
MICOS10,874,974,384,438
RPS14P3,197,248,194,219
NBL1,3,11,1,1
HTR6,19,6,2,1
TMCO4,269,253,202,204
RNF186,0,0,0,0
LOC105376823,0,0,0,0
OTUD3,1604,1299,1058,1447
PLA2G2E,0,1,1,1
PLA2G2A,29,22,1,0
PLA2G5,2,3,6,3
PLA2G2D,0,0,0,0
PLA2G2F,0,1,0,0
LOC117779438,0,0,0,0
PLA2G2C,3,0,4,9
UBXN10,62,79,266,349
LOC105376825,0,0,3,6
LOC105376826,5,5,0,0
LINC01757,0,0,0,0
LOC105376828,0,0,0,0
VWA5B1,65,39,8,15
LOC124903870,3,3,0,2
LINC01141,1,0,0,2
LOC124903871,0,0,1,0
CAMK2N1,43,51,39,77
MUL1,784,915,563,734
FAM43B,120,142,27,28
CDA,223,159,704,769
PINK1,486,680,245,213
MIR6084,0,0,0,0
PINK1-AS,118,122,112,133
DDOST,9679,10402,9556,11999
KIF17,440,406,393,630
SH2D5,346,417,78,71
HP1BP3,3041,3197,2888,4433
EIF4G3,5406,5715,3937,3868
LOC105376830,10,5,4,5
LOC105376829,10,6,8,3
MIR1256,4,0,0,0
ECE1,2414,2693,2562,3468
LOC124903872,9,7,7,4
ECE1-AS1,13,13,13,8
LOC105376832,0,0,0,0
NBPF3,341,335,294,377
ALPL,6449,6529,3987,4607
LINC02596,1,0,0,0
RAP1GAP,547,481,805,997
USP48,3906,3972,2184,2582
LDLRAD2,11,19,14,18
HSPG2,9660,6252,16078,17919
CELA3B,1,0,2,0
CELA3A,0,2,0,0
LINC01635,22,19,11,9
LINC00339,497,555,351,467
CDC42,7090,7983,6050,7927
WNT4,51,30,185,396
LOC105376845,0,2,11,14
LOC105376850,2,2,3,5
LOC107985377,0,0,0,0
MIR4418,0,0,0,0
LOC105376856,1,0,0,0
ZBTB40,2623,2986,1901,2075
EPHA8,220,173,74,82
MIR6127,0,0,0,0
C1QA,0,2,0,0
C1QC,0,0,0,0
C1QB,1,0,0,0
EPHB2,844,949,527,558
MIR4684,2,0,0,1
MIR4253,0,0,0,0
LOC124903874,1,1,0,1
LACTBL1,1,0,1,0
TEX46,1,1,0,2
KDM1A,16786,20280,9823,11149
MIR3115,3,3,0,4
LUZP1,3685,4395,1864,1950
HTR1D,42,42,17,56
LINC01355,119,54,119,137
HNRNPR,6326,7975,5700,5166
ZNF436,124,99,664,710
ZNF436-AS1,29,18,336,425
TCEA3,7,1,133,180
LOC124903875,20,21,11,18
ASAP3,2655,3202,2223,2371
E2F2,301,587,90,39
LOC101928163,9,10,3,1
LOC124903876,10,9,6,5
LOC105376859,58,42,31,33
ID3,4962,6487,4365,5669
LOC107984928,1,0,2,4
MDS2,1,0,3,5
RPL11,31246,30217,30099,35717
ELOA,2723,3561,1910,2247
ELOA-AS1,25,38,19,39
PITHD1,1770,2348,1495,1735
LOC105376860,19,10,6,6
LYPLA2,3015,4357,1568,1565
GALE,713,1029,1107,1211
HMGCL,999,609,1687,2407
LOC105376861,6,6,6,15
FUCA1,520,521,471,681
CNR2,2,0,0,0
MIR378F,0,0,0,0
LOC124903877,1,0,1,4
PNRC2,3109,4021,2295,2774
SRSF10,4676,6034,3244,3516
LOC105378615,0,0,0,0
LOC105376863,0,3,0,0
LOC107984931,0,0,0,0
MYOM3,7,14,2,5
MYOM3-AS1,0,0,0,0
LOC124903878,7,5,0,0
LOC105376864,9,5,1,0
IL22RA1,17,16,1,1
LOC124903879,348,402,64,71
IFNLR1,262,317,259,362
LINC02800,0,0,0,1
GRHL3-AS1,1,3,5,5
GRHL3,46,27,8,21
STPG1,226,199,311,338
NIPAL3,482,596,220,252
RCAN3AS,3,2,6,9
RCAN3,963,1093,1528,2153
NCMAP-DT,1,0,0,0
NCMAP,16,12,2,7
SRRM1,5823,4677,3771,4081
LOC124904829,2,8,0,3
CLIC4,11815,11260,5897,6994
LOC105376876,0,0,0,0
RUNX3,92,22,30,51
MIR6731,1,0,0,0
RUNX3-AS1,4,2,4,1
MIR4425,0,0,0,0
LINC02793,0,0,0,1
LOC124903880,0,0,0,0
SYF2,1128,1298,1106,1687
LOC124903881,23,28,33,34
RSRP1,1121,1114,898,1237
LOC105376882,0,1,0,1
RHD,22,13,20,12
TMEM50A,1816,2138,1915,2380
LOC124904823,1,2,0,0
RHCE,15,2,16,33
MACO1,735,1066,619,794
LDLRAP1,561,823,337,392
MAN1C1,412,359,65,55
SELENON,3460,3117,2986,3421
MTFR1L,447,489,494,847
LOC646471,60,56,110,226
AUNIP,929,1069,446,581
PAQR7,447,472,917,1922
STMN1,10656,13020,8132,10687
MIR3917,0,0,0,0
LOC105376885,1,1,0,1
PAFAH2,494,563,498,572
LOC124900433,0,0,0,0
EXTL1,69,72,119,149
SLC30A2,12,8,15,12
LOC105376910,0,0,0,0
TRIM63,1,0,5,0
PDIK1L,297,279,244,244
FAM110D,35,53,27,40
C1orf232,3,3,4,9
ZNF593OS,20,28,18,16
ZNF593,173,187,112,156
CNKSR1,264,289,329,438
CATSPER4,15,18,14,17
LOC124903882,4,5,4,4
ZPLD2P,46,56,27,30
CEP85,2504,2840,1168,1257
SH3BGRL3,1286,860,1380,1900
UBXN11,133,171,206,246
CD52,29,40,7,19
CRYBG2,450,498,97,82
ZNF683,1,3,5,4
LIN28A,73202,82007,45224,63039
LOC124903883,16,14,6,12
DHDDS,959,1231,886,1008
DHDDS-AS1,11,13,11,19
HMGN2,5688,7170,4685,5207
LOC124903884,22,23,17,23
RPS6KA1,2970,3327,1475,1807
MIR1976,1,0,0,0
LOC124904769,0,0,0,0
LOC124904813,0,0,0,0
LOC105376888,1,0,1,0
LOC124900417,40,46,43,38
LOC101928728,0,0,0,0
ARID1A,6074,4914,5234,5530
PIGV,522,499,719,923
ZDHHC18,1382,1634,1692,2796
SFN,200,191,129,117
GPN2,936,1048,770,1141
GPATCH3,362,415,338,405
NUDC,4212,4836,2455,2315
NR0B2,0,3,4,6
KDF1,643,762,411,573
OSTCP2,5,2,5,3
TRNP1,948,1298,331,380
TENT5B,2630,3704,473,458
LOC101928391,70,59,9,8
SLC9A1,399,317,258,255
LOC102723760,0,0,0,0
WDTC1-DT,2,0,1,0
WDTC1,1371,1484,1023,1338
TMEM222,481,629,610,867
ACTG1P20,80,78,55,82
SYTL1,380,311,292,437
MAP3K6,366,432,383,455
FCN3,18,10,9,12
CD164L2,77,65,81,109
GPR3,302,336,126,166
WASF2,3941,2671,3139,4552
LOC105376892,2,2,16,10
AHDC1,1333,1144,1685,2280
FGR,24,11,5,10
LINC02574,0,0,3,0
IFI6,97,114,48,69
FAM76A,560,597,424,446
STX12,400,376,477,679
LOC124903885,7,10,6,8
PPP1R8,1627,2003,1690,2084
SCARNA1,24,16,9,15
THEMIS2,505,627,226,268
RPA2,1569,2415,1260,1507
SMPDL3B,1011,1418,156,108
XKR8,719,787,673,1028
EYA3,2340,2519,1405,1688
PTAFR,209,241,101,141
DNAJC8,4326,4965,3601,4006
ATP5IF1,2517,3191,1714,1992
SESN2,1403,1746,411,725
MED18,521,522,385,565
PHACTR4,2095,1886,1336,1604
SNHG3,3816,3698,1808,2615
RCC1,4110,4169,3309,4674
SNORA73A,6031,4083,4548,7179
SNORA73B,3031,1821,2097,3592
LOC124904836,19,17,9,15
TRNAU1AP,548,706,752,1039
SNHG12,852,1014,258,381
SNORD99,40,55,8,10
SNORA61,0,0,0,0
SNORA44,1,4,0,2
SNORA16A,223,245,113,134
RAB42,201,305,92,123
TAF12,750,823,705,774
TAF12-DT,17,18,13,26
RNU11,0,0,0,0
GMEB1,1670,1597,997,1154
LOC124904809,2,3,1,1
YTHDF2,5555,6395,2612,3306
OPRD1,149,198,24,45
EPB41,5873,6322,3588,4715
LOC124903886,7,1,1,1
TMEM200B,281,461,1146,2149
SRSF4,4768,3937,3773,4595
MECR,898,869,583,675
LOC124903887,28,16,11,10
PTPRU,3313,2785,2615,3770
LINC01756,4,2,6,4
LOC107984933,1,0,0,0
LOC107984934,0,0,0,0
LINC01648,0,0,1,0
LOC105378617,0,1,2,6
LOC105378618,0,0,1,1
LOC124903888,0,0,0,0
MATN1,7,6,3,6
MATN1-AS1,12,3,9,10
LAPTM5,12,12,17,18
MIR4420,0,0,0,0
LOC105378620,4,3,2,1
LOC105378621,0,1,0,0
LINC01778,0,0,0,0
LOC400748,2,0,0,0
SDC3,1713,1677,1165,1512
PUM1,8592,8126,6547,7693
SNORD103A,0,0,0,0
SNORD103B,14,12,9,9
SNORD103C,12,18,7,6
LOC124904579,1,0,0,1
LOC107984935,12,7,6,11
NKAIN1,1432,1485,398,344
SNRNP40,3616,4596,2528,2653
ZCCHC17,1694,2371,1008,1101
FABP3,481,386,197,176
LOC124903892,4,6,6,2
LOC105378623,0,0,0,1
SERINC2,595,609,269,261
LOC124903900,11,20,4,6
LOC105378625,4,1,1,1
LOC105379772,0,0,0,0
LDC1P,1,0,2,1
LINC01226,2,1,0,0
LOC124903917,2,0,0,0
LOC105378626,2,6,1,4
TINAGL1,335,295,68,82
HCRTR1,38,33,25,25
PEF1,699,981,711,872
PEF1-AS1,12,17,5,8
COL16A1,566,761,427,616
LOC101929444,25,20,15,11
ADGRB2,1175,1219,933,1357
MIR4254,0,0,0,0
LOC124903930,2,3,3,1
SPOCD1,48,35,82,137
PTP4A2,5663,6512,4462,6094
LOC128031832,0,0,0,0
KHDRBS1,7986,6431,6313,7871
TMEM39B,451,469,449,644
MIR5585,3,1,0,1
KPNA6,9088,10003,6300,6953
TXLNA,2113,2348,1272,1642
CCDC28B,444,348,307,412
IQCC,105,100,121,136
DCDC2B,20,16,31,50
TMEM234,196,251,262,359
EIF3I,8573,9898,6333,8008
MTMR9LP,239,248,110,106
FAM167B,44,50,15,15
LCK,2332,2548,800,564
HDAC1,3581,4172,5390,7098
MARCKSL1,9894,12691,5683,6187
LOC124903949,17,14,20,24
LOC105378629,1,1,0,5
LOC124903933,120,67,99,106
FAM229A,32,35,31,50
TSSK3,46,62,45,71
BSDC1,1532,2183,1400,1979
ZBTB8B,536,593,380,518
ZBTB8A,745,733,721,1129
LOC124903952,5,4,3,3
LOC102723870,22,24,17,15
ZBTB8OS,771,990,697,1028
RBBP4,8079,8446,7916,10029
SYNC,4,8,6,3
KIAA1522,2415,2426,2342,3291
YARS1,10647,12024,4509,5533
S100PBP,2436,2547,1834,2048
FNDC5,45,48,98,122
LOC105378631,11,2,4,4
HPCA,25,13,21,19
TMEM54,143,122,239,279
LOC105378632,0,1,23,21
RNF19B,945,848,901,1660
LOC107984936,3,2,1,3
AK2,4478,4253,3292,4562
LOC124903969,0,0,0,0
LOC105378635,1,2,1,7
AZIN2,73,63,55,81
ZNF362,672,810,486,577
TRIM62,377,422,93,103
A3GALT2,1,0,2,1
PHC2,484,495,2111,3157
MIR3605,1,2,5,3
PHC2-AS1,2,1,2,5
ZSCAN20,656,377,630,661
CSMD2,717,611,510,377
LOC124903976,15,5,12,8
HMGB4,5,2,2,0
CSMD2-AS1,8,5,6,1
C1orf94,113,155,29,33
LOC105378639,0,0,0,0
LOC105378641,0,0,0,0
MIR552,0,0,0,0
LOC105378642,2,0,0,0
GJB5,10,9,2,5
GJB4,6,12,5,5
GJB3,32,27,12,13
GJA4,15,25,72,167
SMIM12,912,1259,552,684
DLGAP3,228,362,96,123
GPR199P,23,34,25,36
TMEM35B,185,208,419,586
ZMYM6,624,680,494,508
LOC124903990,1,2,2,3
ZMYM1,2360,2311,1482,1907
LOC105378644,7,2,0,3
SFPQ,14635,24902,17431,21355
ZMYM4,7048,7045,6111,6874
LOC124900419,3,0,0,0
ZMYM4-AS1,10,1,2,8
KIAA0319L,2658,2549,2276,2584
NCDN,948,1633,684,826
TFAP2E-AS1,11,5,6,3
