	sample1	sample4	sample2	sample3
RER1	1745	2266	2260	1687
PEX10	378	638	877	691
PLCH2	56	44	160	127
PANK4	1226	1182	1778	1335
HES5	0	1	1	3
TNFRSF14-AS1	4	3	7	7
TNFRSF14	5	4	8	9
LOC100996583	3	2	19	19
PRXL2B	833	1121	781	630
MMEL1	3	2	6	1
MMEL1-AS1	1	0	3	2
TTC34	11	5	39	32
LOC105378602	0	0	0	0
LOC105378601	0	0	0	0
LOC112268220	0	0	0	0
LOC107985732	0	0	0	0
LOC105378600	0	0	0	0
LOC105378598	0	0	0	0
LOC107984904	0	0	0	0
LOC105378599	0	0	0	0
LOC124903825	0	0	0	0
LOC124903826	0	0	0	0
ACTRT2	0	0	0	0
LOC124903827	2	2	2	2
PRDM16-DT	0	0	0	0
PRDM16	22	23	58	38
MIR4251	0	0	1	0
LOC105378606	0	0	0	0
LOC107984909	2	0	1	1
LOC105378605	0	0	0	0
LOC124903828	2	2	2	6
LOC105378604	2	1	8	9
ARHGEF16	762	1060	908	667
MEGF6	1560	1640	3370	2724
LOC105378608	11	9	11	14
MIR551A	5	3	3	1
TPRG1L	570	485	738	628
WRAP73	757	858	644	500
TP73	273	161	157	145
TP73-AS3	3	0	4	2
TP73-AS1	1911	1945	2281	1811
CCDC27	16	15	45	27
SMIM1	65	66	92	78
LRRC47	4767	5095	3367	2519
CEP104	1125	1136	1317	1076
LOC124903829	18	12	35	36
DFFB	340	489	295	267
C1orf174	1145	1201	1169	927
LINC01134	5	10	15	8
LINC01346	0	0	0	0
LINC01345	0	0	0	0
LINC01777	0	0	0	0
LOC105376674	0	0	0	0
LOC124904578	0	0	0	0
LINC01646	0	0	0	0
AJAP1	166	160	24	32
LINC02781	0	0	0	0
LOC124904589	0	0	0	0
LOC102724429	0	2	0	0
LINC02782	4	6	0	0
LOC105376682	0	3	0	1
LOC124904590	0	4	0	0
LOC107984911	0	0	0	0
LOC105376686	0	0	0	0
LOC124900451	0	0	0	0
LOC124903830	1	0	0	1
MIR4689	1	1	0	1
NPHP4	484	416	980	816
KCNAB2	505	274	335	237
LOC124903831	4	3	2	2
CHD5	95	88	20	23
RPL22	8244	7760	12580	10665
RNF207-AS1	5	8	5	7
RNF207	116	107	113	125
ICMT	6190	8346	5409	4055
ICMT-DT	99	129	49	38
HES3	154	218	1	0
GPR153	499	516	332	273
ACOT7	2871	3148	965	644
HES2	37	54	2	2
ESPN	903	487	137	110
MIR4252	0	1	0	0
TNFRSF25	239	297	402	347
PLEKHG5	1156	1210	2313	1991
NOL9	2957	4064	3279	2581
TAS1R1	11	2	28	16
LOC107984912	0	0	0	1
ZBTB48	420	549	811	610
KLHL21	1446	2104	1521	1211
LOC107984913	16	19	111	108
PHF13	1334	1661	3273	2326
THAP3	361	364	519	415
DNAJC11	2136	2294	1405	1159
LINC01672	0	0	0	0
LOC124904847	0	0	0	0
CAMTA1-DT	27	34	33	24
CAMTA1	1411	1146	1639	1505
LOC124903832	276	92	246	485
CAMTA1-AS3	0	0	0	2
LOC124900385	4	2	4	16
CAMTA1-AS2	2	1	0	3
CAMTA1-AS1	7	0	0	1
LOC105376691	0	0	0	1
LOC105376689	91	81	149	139
VAMP3	1454	1442	2321	1936
PER3	299	292	278	274
LOC124903833	4	5	2	7
UTS2	3	1	8	5
TNFRSF9	1	3	7	2
PARK7	4892	5622	4960	3497
LOC124903834	24	28	49	58
ERRFI1	1301	1231	3496	2814
ERRFI1-DT	4	3	23	15
LOC107984915	3	0	1	0
LINC01714	0	0	0	0
LOC105376695	0	0	0	0
LOC124903835	0	3	0	0
SLC45A1	15	17	11	2
RERE	2299	1580	3464	3120
RERE-AS1	13	5	31	34
SNORD128	2	4	4	12
LOC124900452	0	2	4	4
ENO1	129803	102066	64410	49069
MIR6728	7	6	1	2
ENO1-AS1	25	27	18	22
LOC112268261	0	0	1	0
CA6	0	0	0	1
SLC2A7	2	0	2	0
SLC2A5	2	3	0	0
LOC124900441	0	0	0	0
GPR157	308	203	191	174
MIR34AHG	673	577	251	323
MIR34A	0	0	0	0
LNCTAM34A	93	63	26	26
H6PD	792	510	3964	2747
LOC124903836	2	6	9	12
SPSB1	155	141	753	528
LINC02606	2	1	13	5
SLC25A33	786	929	702	535
TMEM201	1000	1261	1146	880
LOC124903837	6	13	6	5
PIK3CD	1190	1112	1057	746
LOC105376712	0	0	0	0
PIK3CD-AS1	3	3	0	2
PIK3CD-AS2	206	220	346	227
LOC124903839	6	8	7	5
CLSTN1	3646	3143	7128	5504
CTNNBIP1	1233	1151	2761	1751
LOC105376717	3	7	1	7
LOC124903838	11	12	16	20
LZIC	1058	1009	2104	1781
NMNAT1	315	256	608	456
TMEM274P	17	7	18	10
MIR5697	1	0	1	3
LOC124903840	0	0	0	1
RBP7	46	48	19	19
UBE4B	5351	5738	5484	4118
KIF1B	8912	6860	8440	7238
PGD	12175	12417	9533	6552
CENPS-CORT	6	6	7	6
CENPS	18	27	30	28
CORT	8	5	6	13
DFFA	6395	7579	7650	7585
PEX14	811	843	1026	710
CASZ1	290	320	141	98
LOC105376733	14	10	2	0
LOC105376735	0	0	0	0
C1orf127	8	6	3	3
TARDBP	2870	2865	3421	3490
MASP2	77	53	112	151
SRM	2764	2678	1292	1098
EXOSC10	2865	3630	3941	3053
EXOSC10-AS1	4	15	15	13
MTOR	9384	9382	8960	6999
MTOR-AS1	8	8	15	18
LOC124904848	0	0	4	5
ANGPTL7	23	10	28	57
UBIAD1	910	1258	1378	1074
LOC105376737	1	1	9	8
LOC105376739	2	2	1	3
LOC105376740	6	5	1	3
LOC124903841	1	0	1	2
DISP3	328	295	666	407
LOC124903842	31	42	7	5
LINC01647	0	5	8	1
FBXO2	517	607	254	157
FBXO44	721	794	651	466
FBXO6	89	123	203	169
MAD2L2	4210	5071	2148	1566
DRAXIN	1628	2253	679	531
AGTRAP	1344	1372	1448	927
C1orf167	41	31	26	36
C1orf167-AS1	3	4	3	6
MTHFR	674	732	959	690
CLCN6	884	840	1169	862
NPPA-AS1	7	3	7	9
NPPA	5	10	8	9
NPPB	1	1	291	224
RNU5E-1	57	38	147	138
LOC124903843	6	8	6	12
KIAA2013	2217	2608	2491	1920
PLOD1	1076	1002	3048	2171
MFN2	3379	4142	4404	3413
MIIP	956	1456	1408	1075
MIR6729	1	0	0	0
TNFRSF8	1322	1962	20	9
MIR7846	0	0	0	0
TNFRSF1B	194	189	151	100
LOC124903844	3	0	2	3
MIR4632	0	0	0	0
VPS13D	4055	2807	3896	3882
LOC124903845	6	3	17	18
SNORA59A	7	8	10	8
LINC02766	1	5	5	5
DHRS3	345	335	1074	1564
MIR6730	0	0	0	0
AADACL4	0	0	0	3
LOC124903846	30	65	0	0
AADACL3	24	40	0	0
LOC124904811	0	0	0	0
CFAP107	0	0	0	1
PRAMEF12	0	0	0	0
PRAMEF1	0	0	0	0
LINC01784	0	0	0	0
PRAMEF11	0	0	0	0
HNRNPCL1	6	5	2	4
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
PRAMEF6	0	0	0	0
PRAMEF27	0	0	0	0
HNRNPCL3	1	1	0	0
PRAMEF25	0	0	0	0
PRAMEF34P	0	0	0	0
HNRNPCL2	2	2	0	1
PRAMEF36P	0	0	0	0
PRAMEF26	0	0	0	0
HNRNPCL4	1	3	1	0
PRAMEF9	0	0	0	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF5	0	0	0	0
PRAMEF8	0	0	0	0
PRAMEF33	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	0	0
LRRC38	1	2	1	0
LOC102724856	0	1	0	0
LOC107984918	0	0	0	0
PDPN	1702	2846	565	506
LOC105378612	0	0	0	0
LOC105376756	0	0	0	0
LOC124900446	0	0	0	0
PRDM2	1124	1003	2010	1916
KAZN	431	295	1120	850
LOC107985467	13	4	6	19
LOC124903847	4	0	5	9
KAZN-AS1	0	3	1	0
LOC124903850	2	1	3	0
LOC105376759	2	0	8	12
LOC124903848	32	32	138	184
LOC107985469	1	2	2	12
LOC124903849	0	0	4	8
TMEM51-AS1	11	6	20	11
TMEM51	233	214	266	195
TMEM51-AS2	7	8	14	8
FHAD1	16	21	53	34
LOC124903853	0	2	0	0
LOC124903852	1	2	0	1
FHAD1-AS1	1	2	3	3
LOC124903851	2	0	1	0
EFHD2-AS1	5	2	9	7
EFHD2	555	679	703	413
CTRC	0	0	1	1
CELA2A	4	4	1	2
LOC105376767	3	1	2	1
CELA2B	12	4	12	21
CASP9	499	568	510	343
DNAJC16	1664	1566	2618	2047
SCARNA21B	7	2	2	2
AGMAT	324	441	131	122
LOC124903854	2	4	5	7
DDI2	2684	2897	3377	3083
RSC1A1	1	1	1	3
PLEKHM2	2174	2341	2747	2172
SLC25A34	13	32	51	39
SLC25A34-AS1	2	0	1	2
TMEM82	7	11	52	42
FBLIM1	2332	2963	1962	1562
UQCRHL	41	78	58	40
SPEN-AS1	266	237	434	331
SPEN	3907	2662	4512	4610
LOC124904815	0	0	3	2
ZBTB17	697	798	1021	696
LOC124903855	53	24	48	84
SRARP	7	8	68	40
HSPB7	42	41	203	209
CLCNKA	30	16	140	125
CLCNKB	56	94	490	392
FAM131C	15	11	37	39
EPHA2	3933	4343	2998	2120
EPHA2-AS1	90	73	134	83
ARHGEF19	1750	2008	1241	1026
ANO7L1	6	4	10	6
CPLANE2	57	76	204	121
FBXO42	1739	1300	1632	1299
SZRD1	2747	3448	3000	2357
SPATA21	26	18	33	37
NECAP2	1062	1355	2214	1668
LINC01772	60	25	97	99
CROCCP3	292	216	510	465
RNU1-1	9	13	60	42
TRN-GTT5-1	11	8	7	3
LINC01783	30	36	73	94
TRE-TTC4-1	0	0	0	0
LOC124903856	0	0	0	0
TRG-CCC1-1	40	44	42	46
NBPF1	272	297	1072	925
LOC124900584	739	807	1257	982
CROCCP2	278	252	464	361
MST1P2	230	155	1046	815
RNU1-3	0	0	1	2
LOC124903857	1	0	0	0
TRG-CCC4-1	26	13	27	46
ESPNP	35	14	17	31
LOC124903858	18	13	14	3
TRG-CCC5-1	49	49	11	22
LOC124903859	0	1	5	0
RNU1-4	2	1	5	2
MST1L	64	42	299	205
MIR3675	0	0	0	0
TRG-CCC1-2	27	16	13	17
LOC112267871	50	48	170	189
TRE-TTC3-1	0	0	0	0
LOC105376805	167	200	239	158
TRN-GTT4-1	5	0	3	5
RNU1-2	17	10	105	58
CROCC	3344	3157	2465	2168
MFAP2	1440	1819	2279	1605
LOC105376806	70	111	154	141
ATP13A2	3726	4143	2315	1880
SDHB	2169	2503	1439	1054
PADI2	231	157	33	22
LOC124903861	1	0	1	2
LOC105376808	0	0	0	0
LINC02783	1	1	0	0
PADI1	3	14	11	5
PADI3	51	78	28	27
MIR3972	0	0	0	1
PADI4	7	18	0	0
PADI6	1	4	3	0
RCC2	16416	23189	10805	8906
RCC2-AS1	0	0	0	0
LOC124903862	26	17	12	5
LOC124904837	0	0	0	0
ARHGEF10L	1389	1630	2263	1624
LINC02810	0	0	0	0
ACTL8	40	38	0	1
LOC105376809	0	0	0	0
LOC105376812	0	0	0	0
LINC01654	0	0	0	0
IGSF21	484	386	348	474
IGSF21-AS1	8	0	6	10
LOC124903864	3	1	0	8
LOC124903863	368	420	24	50
LOC124903865	19	15	10	10
KLHDC7A	516	852	28	10
PAX7	2	5	67	39
TAS1R2	2	0	0	0
ALDH4A1	1287	1393	2028	1414
MIR4695	0	0	0	1
MIR1290	1	0	1	2
LOC124903866	1	5	9	11
IFFO2	1309	1165	837	622
LOC105376815	0	1	1	1
UBR4	18673	11694	13587	15357
EMC1-AS1	32	29	53	44
EMC1	3264	3511	5359	3937
MRTO4	1864	3068	1636	1370
AKR7L	23	18	17	32
AKR7A3	26	19	39	40
LOC124903867	77	60	106	107
LOC100506730	133	97	239	215
AKR7A2	1253	1400	2155	1549
SLC66A1	540	899	757	599
CAPZB	3394	3119	3564	2380
LOC124903868	13	2	14	12
LOC124903869	6	2	10	11
LOC105376819	12	5	12	13
LOC105376818	0	1	0	1
LOC105376817	0	0	1	0
LOC124904816	0	0	0	0
MICOS10-DT	0	0	1	1
MICOS10-NBL1	0	0	0	0
MICOS10	874	974	549	331
RPS14P3	197	248	365	286
NBL1	3	11	1	1
HTR6	19	6	4	1
TMCO4	269	253	133	89
RNF186	0	0	0	0
LOC105376823	0	0	0	0
OTUD3	1604	1299	1670	1703
PLA2G2E	0	1	0	0
PLA2G2A	29	22	1	0
PLA2G5	2	3	0	0
PLA2G2D	0	0	0	0
PLA2G2F	0	1	1	0
LOC117779438	0	0	0	1
PLA2G2C	3	0	4	2
UBXN10	62	79	157	100
LOC105376825	0	0	1	0
LOC105376826	5	5	0	0
LINC01757	0	0	0	0
LOC105376828	0	0	0	0
VWA5B1	65	39	44	21
LOC124903870	3	3	5	1
LINC01141	1	0	0	0
LOC124903871	0	0	1	0
CAMK2N1	43	51	172	74
MUL1	784	915	1053	692
FAM43B	120	142	36	27
CDA	223	159	55	33
PINK1	486	680	371	220
MIR6084	0	0	0	0
PINK1-AS	118	122	191	141
DDOST	9679	10402	14115	9752
KIF17	440	406	425	389
SH2D5	346	417	127	96
HP1BP3	3041	3197	8319	6572
EIF4G3	5406	5715	7915	6471
LOC105376830	10	5	7	14
LOC105376829	10	6	9	22
MIR1256	4	0	8	7
ECE1	2414	2693	9625	6177
LOC124903872	9	7	38	29
ECE1-AS1	13	13	52	44
LOC105376832	0	0	0	0
NBPF3	341	335	558	417
ALPL	6449	6529	2223	1501
LINC02596	1	0	1	0
RAP1GAP	547	481	448	273
USP48	3906	3972	2206	1748
LDLRAD2	11	19	27	29
HSPG2	9660	6252	12895	10794
CELA3B	1	0	0	1
CELA3A	0	2	0	1
LINC01635	22	19	28	14
LINC00339	497	555	570	365
CDC42	7090	7983	11077	8509
WNT4	51	30	49	41
LOC105376845	0	2	1	1
LOC105376850	2	2	2	0
LOC107985377	0	0	0	0
MIR4418	0	0	0	0
LOC105376856	1	0	0	0
ZBTB40	2623	2986	2605	2353
EPHA8	220	173	29	17
MIR6127	0	0	0	0
C1QA	0	2	1	0
C1QC	0	0	0	0
C1QB	1	0	1	0
EPHB2	844	949	19730	12935
MIR4684	2	0	5	8
MIR4253	0	0	2	1
LOC124903874	1	1	30	32
LACTBL1	1	0	2	0
TEX46	1	1	2	2
KDM1A	16786	20280	16398	12933
MIR3115	3	3	2	2
LUZP1	3685	4395	3982	3734
HTR1D	42	42	45	36
LINC01355	119	54	205	399
HNRNPR	6326	7975	12396	10947
ZNF436	124	99	686	509
ZNF436-AS1	29	18	342	316
TCEA3	7	1	186	163
LOC124903875	20	21	27	18
ASAP3	2655	3202	2777	1868
E2F2	301	587	674	517
LOC101928163	9	10	18	5
LOC124903876	10	9	11	6
LOC105376859	58	42	78	52
ID3	4962	6487	11705	8272
LOC107984928	1	0	15	15
MDS2	1	0	1	1
RPL11	31246	30217	48221	38161
ELOA	2723	3561	2804	2276
ELOA-AS1	25	38	71	46
PITHD1	1770	2348	2199	1658
LOC105376860	19	10	10	12
LYPLA2	3015	4357	2826	2148
GALE	713	1029	1119	923
HMGCL	999	609	1370	949
LOC105376861	6	6	7	1
FUCA1	520	521	945	576
CNR2	2	0	1	2
MIR378F	0	0	0	0
LOC124903877	1	0	2	0
PNRC2	3109	4021	6204	4635
SRSF10	4676	6034	6334	5849
LOC105378615	0	0	1	0
LOC105376863	0	3	1	0
LOC107984931	0	0	0	0
MYOM3	7	14	29	13
MYOM3-AS1	0	0	0	0
LOC124903878	7	5	0	0
LOC105376864	9	5	1	1
IL22RA1	17	16	2	2
LOC124903879	348	402	374	245
IFNLR1	262	317	293	192
LINC02800	0	0	0	0
GRHL3-AS1	1	3	46	14
GRHL3	46	27	46	26
STPG1	226	199	376	248
NIPAL3	482	596	922	649
RCAN3AS	3	2	3	3
RCAN3	963	1093	1259	1049
NCMAP-DT	1	0	0	0
NCMAP	16	12	8	3
SRRM1	5823	4677	5421	5167
LOC124904829	2	8	3	3
CLIC4	11815	11260	10175	8773
LOC105376876	0	0	0	0
RUNX3	92	22	13	6
MIR6731	1	0	0	0
RUNX3-AS1	4	2	1	2
MIR4425	0	0	0	0
LINC02793	0	0	1	1
LOC124903880	0	0	0	0
SYF2	1128	1298	1528	1058
LOC124903881	23	28	59	47
RSRP1	1121	1114	1734	1521
LOC105376882	0	1	0	0
RHD	22	13	24	25
TMEM50A	1816	2138	2944	2152
LOC124904823	1	2	1	5
RHCE	15	2	33	44
MACO1	735	1066	1472	1145
LDLRAP1	561	823	586	394
MAN1C1	412	359	108	69
SELENON	3460	3117	4153	2867
MTFR1L	447	489	1082	793
LOC646471	60	56	167	130
AUNIP	929	1069	782	755
PAQR7	447	472	745	593
STMN1	10656	13020	20247	15756
MIR3917	0	0	0	0
LOC105376885	1	1	5	4
PAFAH2	494	563	1123	803
LOC124900433	0	0	0	0
EXTL1	69	72	244	184
SLC30A2	12	8	39	32
LOC105376910	0	0	1	0
TRIM63	1	0	3	3
PDIK1L	297	279	702	595
FAM110D	35	53	171	99
C1orf232	3	3	11	7
ZNF593OS	20	28	36	34
ZNF593	173	187	165	120
CNKSR1	264	289	542	438
CATSPER4	15	18	11	14
LOC124903882	4	5	4	0
ZPLD2P	46	56	10	6
CEP85	2504	2840	2734	2139
SH3BGRL3	1286	860	1422	900
UBXN11	133	171	411	335
CD52	29	40	20	14
CRYBG2	450	498	250	168
ZNF683	1	3	2	0
LIN28A	73202	82007	64723	45918
LOC124903883	16	14	24	9
DHDDS	959	1231	1416	1118
DHDDS-AS1	11	13	46	29
HMGN2	5688	7170	11078	7656
LOC124903884	22	23	34	22
RPS6KA1	2970	3327	1681	1252
MIR1976	1	0	0	0
LOC124904769	0	0	0	0
LOC124904813	0	0	0	0
LOC105376888	1	0	3	1
LOC124900417	40	46	125	87
LOC101928728	0	0	0	0
ARID1A	6074	4914	9195	8863
PIGV	522	499	948	622
ZDHHC18	1382	1634	2160	1651
SFN	200	191	31	12
GPN2	936	1048	1109	747
GPATCH3	362	415	432	339
NUDC	4212	4836	3030	2553
NR0B2	0	3	1	1
KDF1	643	762	434	311
OSTCP2	5	2	4	2
TRNP1	948	1298	138	78
TENT5B	2630	3704	281	222
LOC101928391	70	59	9	11
SLC9A1	399	317	548	436
LOC102723760	0	0	0	0
WDTC1-DT	2	0	0	1
WDTC1	1371	1484	2922	2040
TMEM222	481	629	998	713
ACTG1P20	80	78	152	138
SYTL1	380	311	553	425
MAP3K6	366	432	510	381
FCN3	18	10	23	31
CD164L2	77	65	33	13
GPR3	302	336	78	53
WASF2	3941	2671	3210	2704
LOC105376892	2	2	21	17
AHDC1	1333	1144	3435	2608
FGR	24	11	3	1
LINC02574	0	0	1	1
IFI6	97	114	118	65
FAM76A	560	597	621	497
STX12	400	376	979	890
LOC124903885	7	10	19	10
PPP1R8	1627	2003	2697	2095
SCARNA1	24	16	33	56
THEMIS2	505	627	272	181
RPA2	1569	2415	2630	2102
SMPDL3B	1011	1418	274	174
XKR8	719	787	713	476
EYA3	2340	2519	2657	2228
PTAFR	209	241	41	30
DNAJC8	4326	4965	5011	3489
ATP5IF1	2517	3191	2719	1871
SESN2	1403	1746	874	735
MED18	521	522	672	455
PHACTR4	2095	1886	2173	1906
SNHG3	3816	3698	1867	1753
RCC1	4110	4169	3475	2773
SNORA73A	6031	4083	7646	9663
SNORA73B	3031	1821	3693	5944
LOC124904836	19	17	20	19
TRNAU1AP	548	706	1191	920
SNHG12	852	1014	495	420
SNORD99	40	55	17	16
SNORA61	0	0	0	0
SNORA44	1	4	1	1
SNORA16A	223	245	132	129
RAB42	201	305	145	132
TAF12	750	823	989	801
TAF12-DT	17	18	63	52
RNU11	0	0	0	0
GMEB1	1670	1597	1523	1128
LOC124904809	2	3	3	1
YTHDF2	5555	6395	6104	4700
OPRD1	149	198	67	96
EPB41	5873	6322	5517	4152
LOC124903886	7	1	4	8
TMEM200B	281	461	950	746
SRSF4	4768	3937	4662	4193
MECR	898	869	1071	861
LOC124903887	28	16	19	29
PTPRU	3313	2785	3439	2481
LINC01756	4	2	7	4
LOC107984933	1	0	19	6
LOC107984934	0	0	3	3
LINC01648	0	0	2	0
LOC105378617	0	1	0	0
LOC105378618	0	0	0	0
LOC124903888	0	0	0	0
MATN1	7	6	4	9
MATN1-AS1	12	3	9	11
LAPTM5	12	12	56	85
MIR4420	0	0	0	0
LOC105378620	4	3	3	2
LOC105378621	0	1	1	0
LINC01778	0	0	1	0
LOC400748	2	0	0	0
SDC3	1713	1677	3244	2461
PUM1	8592	8126	11711	10134
SNORD103A	0	0	0	0
SNORD103B	14	12	19	12
SNORD103C	12	18	15	21
LOC124904579	1	0	0	0
LOC107984935	12	7	17	9
NKAIN1	1432	1485	334	367
SNRNP40	3616	4596	3812	2871
ZCCHC17	1694	2371	1808	1288
FABP3	481	386	210	154
LOC124903892	4	6	12	6
LOC105378623	0	0	0	0
SERINC2	595	609	296	204
LOC124903900	11	20	7	5
LOC105378625	4	1	0	0
LOC105379772	0	0	0	0
LDC1P	1	0	1	0
LINC01226	2	1	0	0
LOC124903917	2	0	2	0
LOC105378626	2	6	4	5
TINAGL1	335	295	82	74
HCRTR1	38	33	73	77
PEF1	699	981	1345	1012
PEF1-AS1	12	17	6	21
COL16A1	566	761	998	983
LOC101929444	25	20	33	36
ADGRB2	1175	1219	1544	1316
MIR4254	0	0	0	0
LOC124903930	2	3	3	4
SPOCD1	48	35	75	74
PTP4A2	5663	6512	7623	6238
LOC128031832	0	0	0	0
KHDRBS1	7986	6431	9396	7712
TMEM39B	451	469	485	413
MIR5585	3	1	0	2
KPNA6	9088	10003	8543	6688
TXLNA	2113	2348	2298	1780
CCDC28B	444	348	608	423
IQCC	105	100	265	233
DCDC2B	20	16	75	57
TMEM234	196	251	532	368
EIF3I	8573	9898	8063	5558
MTMR9LP	239	248	556	404
FAM167B	44	50	47	52
LCK	2332	2548	137	81
HDAC1	3581	4172	8373	5996
MARCKSL1	9894	12691	11159	7332
LOC124903949	17	14	55	30
LOC105378629	1	1	7	5
LOC124903933	120	67	135	111
FAM229A	32	35	60	58
TSSK3	46	62	102	101
BSDC1	1532	2183	2757	2039
ZBTB8B	536	593	1029	936
ZBTB8A	745	733	1457	1359
LOC124903952	5	4	13	10
LOC102723870	22	24	37	22
ZBTB8OS	771	990	819	681
RBBP4	8079	8446	14804	11100
SYNC	4	8	9	4
KIAA1522	2415	2426	2138	1348
YARS1	10647	12024	5099	3678
S100PBP	2436	2547	3451	2551
FNDC5	45	48	438	184
LOC105378631	11	2	0	7
HPCA	25	13	20	33
TMEM54	143	122	943	639
LOC105378632	0	1	8	4
RNF19B	945	848	802	496
LOC107984936	3	2	2	0
AK2	4478	4253	3392	2757
LOC124903969	0	0	0	0
LOC105378635	1	2	6	7
AZIN2	73	63	220	122
ZNF362	672	810	1531	988
TRIM62	377	422	246	134
A3GALT2	1	0	5	5
PHC2	484	495	4006	2670
MIR3605	1	2	5	5
PHC2-AS1	2	1	27	24
ZSCAN20	656	377	833	640
CSMD2	717	611	95	75
LOC124903976	15	5	0	0
HMGB4	5	2	0	0
CSMD2-AS1	8	5	0	0
C1orf94	113	155	5	5
LOC105378639	0	0	0	0
LOC105378641	0	0	0	0
MIR552	0	0	0	0
LOC105378642	2	0	1	1
GJB5	10	9	5	1
GJB4	6	12	19	9
GJB3	32	27	7	3
GJA4	15	25	89	49
SMIM12	912	1259	1081	882
DLGAP3	228	362	104	91
GPR199P	23	34	98	75
TMEM35B	185	208	558	400
ZMYM6	624	680	783	644
LOC124903990	1	2	3	2
ZMYM1	2360	2311	2834	2545
LOC105378644	7	2	2	1
SFPQ	14635	24902	30601	32736
ZMYM4	7048	7045	8440	6568
LOC124900419	3	0	0	2
ZMYM4-AS1	10	1	4	10
