	sample1	sample2	sample3	sample4
MRPL20-AS1	592	504	575	392
MRPL20	1899	1092	1185	1377
MRPL20-DT	185	54	87	123
ANKRD65	41	15	16	30
ANKRD65-AS1	12	1	5	10
TMEM88B	55	2	15	39
LINC01770	54	40	44	44
LOC107985729	65	16	29	63
VWA1	1529	547	581	989
ATAD3C	14	5	9	15
ATAD3B	3118	555	655	1983
ATAD3A	2717	1335	1620	1772
TMEM240	46	98	135	61
SSU72	3325	1882	1944	3035
FNDC10	270	359	457	340
LOC105378586	4	6	11	4
MIB2	530	1009	963	534
LOC124903821	77	36	70	74
MMP23B	61	20	24	60
CDK11B	959	639	724	975
SLC35E2B	2358	2166	2224	2030
MMP23A	1	1	2	1
CDK11A	182	122	124	184
SLC35E2A	371	456	526	406
LOC112268218	2	1	3	2
NADK	2051	1015	1285	1765
GNB1	10166	7519	8231	10807
GNB1-DT	22	14	10	17
LOC124903822	6	8	8	13
CALML6	6	1	2	21
TMEM52	255	22	43	240
CFAP74	3	5	7	4
LOC107984872	1	0	2	0
LOC105378589	17	0	0	26
GABRD	17	0	3	29
LOC105378590	11	0	1	9
PRKCZ	766	571	850	763
PRKCZ-DT	6	0	2	1
PRKCZ-AS1	46	30	27	38
FAAP20	771	805	747	748
LOC112268219	146	79	97	115
LOC105378593	7	2	11	11
LOC124903823	0	0	1	0
SKI	2987	1881	1649	3714
LOC124903824	66	58	100	49
MORN1	178	249	264	154
LOC100129534	45	88	118	24
RER1	2266	1656	1901	1745
PEX10	638	446	450	378
PLCH2	44	63	68	56
PANK4	1182	1427	1861	1226
HES5	1	0	4	0
TNFRSF14-AS1	3	1	0	4
TNFRSF14	4	2	3	5
LOC100996583	2	5	3	3
PRXL2B	1121	702	1102	833
MMEL1	2	0	1	3
MMEL1-AS1	0	0	0	1
TTC34	5	12	16	11
LOC105378602	0	0	0	0
LOC105378601	0	0	0	0
LOC112268220	0	0	0	0
LOC107985732	0	0	0	0
LOC105378600	0	0	0	0
LOC105378598	0	0	0	0
LOC107984904	0	0	0	0
LOC105378599	0	0	0	0
LOC124903825	0	0	0	0
LOC124903826	0	0	0	0
ACTRT2	0	0	0	0
LOC124903827	2	110	437	2
PRDM16-DT	0	0	0	0
PRDM16	23	435	1038	22
MIR4251	0	0	1	0
LOC105378606	0	0	0	0
LOC107984909	0	23	40	2
LOC105378605	0	1	4	0
LOC124903828	2	113	118	2
LOC105378604	1	50	75	2
ARHGEF16	1060	305	484	762
MEGF6	1640	742	700	1560
LOC105378608	9	2	1	11
MIR551A	3	1	0	5
TPRG1L	485	661	624	570
WRAP73	858	337	438	757
TP73	161	27	31	273
TP73-AS3	0	0	1	3
TP73-AS1	1945	1081	1209	1911
CCDC27	15	30	42	16
SMIM1	66	131	147	65
LRRC47	5095	3781	4653	4767
CEP104	1136	1012	1162	1125
LOC124903829	12	5	5	18
DFFB	489	164	217	340
C1orf174	1201	516	543	1145
LINC01134	10	3	3	5
LINC01346	0	0	0	0
LINC01345	0	0	0	0
LINC01777	0	0	0	0
LOC105376674	0	0	0	0
LOC124904578	0	1	0	0
LINC01646	0	0	0	0
AJAP1	160	1	0	166
LINC02781	0	0	0	0
LOC124904589	0	0	0	0
LOC102724429	2	0	0	0
LINC02782	6	0	0	4
LOC105376682	3	0	0	0
LOC124904590	4	0	0	0
LOC107984911	0	0	0	0
LOC105376686	0	0	0	0
LOC124900451	0	0	0	0
LOC124903830	0	0	0	1
MIR4689	1	0	0	1
NPHP4	416	343	366	484
KCNAB2	274	83	129	505
LOC124903831	3	0	0	4
CHD5	88	7	5	95
RPL22	7760	3479	4135	8244
RNF207-AS1	8	34	63	5
RNF207	107	1579	2246	116
ICMT	8346	3308	4059	6190
ICMT-DT	129	14	19	99
HES3	218	0	0	154
GPR153	516	726	1031	499
ACOT7	3148	438	631	2871
HES2	54	4	0	37
ESPN	487	94	111	903
MIR4252	1	0	0	0
TNFRSF25	297	75	130	239
PLEKHG5	1210	519	788	1156
NOL9	4064	2451	2621	2957
TAS1R1	2	2	2	11
LOC107984912	0	0	0	0
ZBTB48	549	461	561	420
KLHL21	2104	4534	4449	1446
LOC107984913	19	223	187	16
PHF13	1661	1655	1857	1334
THAP3	364	392	498	361
DNAJC11	2294	1396	1654	2136
LINC01672	0	0	0	0
LOC124904847	0	0	0	0
CAMTA1-DT	34	8	8	27
CAMTA1	1146	1204	1300	1411
LOC124903832	92	47	44	276
CAMTA1-AS3	0	0	0	0
LOC124900385	2	3	0	4
CAMTA1-AS2	1	0	0	2
CAMTA1-AS1	0	0	0	7
LOC105376691	0	3	1	0
LOC105376689	81	8	13	91
VAMP3	1442	2340	2688	1454
PER3	292	234	515	299
LOC124903833	5	1	2	4
UTS2	1	2	0	3
TNFRSF9	3	11	11	1
PARK7	5622	3601	4233	4892
LOC124903834	28	9	8	24
ERRFI1	1231	1065	541	1301
ERRFI1-DT	3	5	3	4
LOC107984915	0	0	0	3
LINC01714	0	1	0	0
LOC105376695	0	0	0	0
LOC124903835	3	0	0	0
SLC45A1	17	8	11	15
RERE	1580	2349	2070	2299
RERE-AS1	5	5	3	13
SNORD128	4	2	0	2
LOC124900452	2	1	0	0
ENO1	102066	63392	124269	129803
MIR6728	6	1	0	7
ENO1-AS1	27	30	40	25
LOC112268261	0	0	0	0
CA6	0	0	0	0
SLC2A7	0	0	0	2
SLC2A5	3	4	1	2
LOC124900441	0	0	0	0
GPR157	203	947	1181	308
MIR34AHG	577	124	214	673
MIR34A	0	0	0	0
LNCTAM34A	63	29	49	93
H6PD	510	3529	3768	792
LOC124903836	6	9	3	2
SPSB1	141	251	112	155
LINC02606	1	19	14	2
SLC25A33	929	362	417	786
TMEM201	1261	1148	1112	1000
LOC124903837	13	1	3	6
PIK3CD	1112	320	393	1190
LOC105376712	0	0	0	0
PIK3CD-AS1	3	0	0	3
PIK3CD-AS2	220	90	92	206
LOC124903839	8	0	2	6
CLSTN1	3143	3336	3378	3646
CTNNBIP1	1151	2424	2756	1233
LOC105376717	7	0	1	3
LOC124903838	12	2	6	11
LZIC	1009	2179	2876	1058
NMNAT1	256	1616	2086	315
TMEM274P	7	10	9	17
MIR5697	0	0	2	1
LOC124903840	0	0	0	0
RBP7	48	18	80	46
UBE4B	5738	3276	3495	5351
KIF1B	6860	10593	10996	8912
PGD	12417	6159	7109	12175
CENPS-CORT	6	1	3	6
CENPS	27	12	8	18
CORT	5	9	4	8
DFFA	7579	3672	5462	6395
PEX14	843	830	1003	811
CASZ1	320	3833	3715	290
LOC105376733	10	0	0	14
LOC105376735	0	0	0	0
C1orf127	6	8	2	8
TARDBP	2865	1466	1451	2870
MASP2	53	16	28	77
SRM	2678	965	1140	2764
EXOSC10	3630	1925	2031	2865
EXOSC10-AS1	15	15	15	4
MTOR	9382	6894	7505	9384
MTOR-AS1	8	1	4	8
LOC124904848	0	0	0	0
ANGPTL7	10	11	8	23
UBIAD1	1258	1034	1075	910
LOC105376737	1	1	0	1
LOC105376739	2	0	0	2
LOC105376740	5	0	0	6
LOC124903841	0	0	0	1
DISP3	295	65	19	328
LOC124903842	42	2	0	31
LINC01647	5	0	0	0
FBXO2	607	182	208	517
FBXO44	794	777	1117	721
FBXO6	123	137	207	89
MAD2L2	5071	682	905	4210
DRAXIN	2253	38	10	1628
AGTRAP	1372	583	689	1344
C1orf167	31	1	2	41
C1orf167-AS1	4	0	0	3
MTHFR	732	1951	2691	674
CLCN6	840	980	1318	884
NPPA-AS1	3	0	2	7
NPPA	10	717	5406	5
NPPB	1	813	3408	1
RNU5E-1	38	20	27	57
LOC124903843	8	6	7	6
KIAA2013	2608	2132	2597	2217
PLOD1	1002	2968	4064	1076
MFN2	4142	8407	10866	3379
MIIP	1456	352	371	956
MIR6729	0	0	0	1
TNFRSF8	1962	1	1	1322
MIR7846	0	0	0	0
TNFRSF1B	189	8	3	194
LOC124903844	0	0	0	3
MIR4632	0	0	0	0
VPS13D	2807	4864	4926	4055
LOC124903845	3	6	6	6
SNORA59A	8	7	2	7
LINC02766	5	1	1	1
DHRS3	335	807	1439	345
MIR6730	0	1	0	0
AADACL4	0	0	0	0
LOC124903846	65	0	0	30
AADACL3	40	0	0	24
LOC124904811	0	0	0	0
CFAP107	0	0	0	0
PRAMEF12	0	0	0	0
PRAMEF1	0	0	0	0
LINC01784	0	0	0	0
PRAMEF11	0	0	0	0
HNRNPCL1	5	0	4	6
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
PRAMEF6	0	0	0	0
PRAMEF27	0	0	0	0
HNRNPCL3	1	0	0	1
PRAMEF25	0	0	0	0
PRAMEF34P	0	0	0	0
HNRNPCL2	2	0	0	2
PRAMEF36P	0	0	0	0
PRAMEF26	0	0	0	0
HNRNPCL4	3	0	1	1
PRAMEF9	0	0	0	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF5	0	0	0	0
PRAMEF8	0	0	0	0
PRAMEF33	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	0	0
LRRC38	2	1	0	1
LOC102724856	1	0	0	0
LOC107984918	0	0	0	0
PDPN	2846	312	338	1702
LOC105378612	0	0	0	0
LOC105376756	0	0	2	0
LOC124900446	0	0	0	0
PRDM2	1003	1503	1813	1124
KAZN	295	281	376	431
LOC107985467	4	2	6	13
LOC124903847	0	1	0	4
KAZN-AS1	3	0	0	0
LOC124903850	1	0	0	2
LOC105376759	0	1	1	2
LOC124903848	32	28	29	32
LOC107985469	2	2	3	1
LOC124903849	0	0	0	0
TMEM51-AS1	6	29	57	11
TMEM51	214	565	742	233
TMEM51-AS2	8	9	4	7
FHAD1	21	13	9	16
LOC124903853	2	1	0	0
LOC124903852	2	0	0	1
FHAD1-AS1	2	1	3	1
LOC124903851	0	0	0	2
EFHD2-AS1	2	1	8	5
EFHD2	679	373	459	555
CTRC	0	0	1	0
CELA2A	4	1	1	4
LOC105376767	1	1	1	3
CELA2B	4	10	16	12
CASP9	568	1005	1261	499
DNAJC16	1566	2223	2382	1664
SCARNA21B	2	0	2	7
AGMAT	441	59	34	324
LOC124903854	4	2	3	2
DDI2	2897	2557	2452	2684
RSC1A1	1	0	0	1
PLEKHM2	2341	2961	2743	2174
SLC25A34	32	28	39	13
SLC25A34-AS1	0	0	0	2
TMEM82	11	2	1	7
FBLIM1	2963	2939	2830	2332
UQCRHL	78	42	38	41
SPEN-AS1	237	188	204	266
SPEN	2662	2459	2126	3907
LOC124904815	0	0	0	0
ZBTB17	798	778	950	697
LOC124903855	24	26	17	53
SRARP	8	6	7	7
HSPB7	41	13513	21104	42
CLCNKA	16	74	94	30
CLCNKB	94	270	502	56
FAM131C	11	69	134	15
EPHA2	4343	1261	1210	3933
EPHA2-AS1	73	28	33	90
ARHGEF19	2008	119	104	1750
ANO7L1	4	14	17	6
CPLANE2	76	313	396	57
FBXO42	1300	1480	2004	1739
SZRD1	3448	2516	3106	2747
SPATA21	18	3	3	26
NECAP2	1355	583	524	1062
LINC01772	25	28	25	60
CROCCP3	216	132	161	292
RNU1-1	13	8	6	9
TRN-GTT5-1	8	1	0	11
LINC01783	36	16	13	30
TRE-TTC4-1	0	0	0	0
LOC124903856	0	0	0	0
TRG-CCC1-1	44	1	2	40
NBPF1	297	569	607	272
LOC124900584	807	510	637	739
CROCCP2	252	169	236	278
MST1P2	155	51	68	230
RNU1-3	0	0	0	0
LOC124903857	0	0	0	1
TRG-CCC4-1	13	8	10	26
ESPNP	14	4	2	35
LOC124903858	13	0	1	18
TRG-CCC5-1	49	0	0	49
LOC124903859	1	1	0	0
RNU1-4	1	3	1	2
MST1L	42	8	6	64
MIR3675	0	0	0	0
TRG-CCC1-2	16	1	0	27
LOC112267871	48	19	25	50
TRE-TTC3-1	0	0	0	0
LOC105376805	200	84	152	167
TRN-GTT4-1	0	2	1	5
RNU1-2	10	20	11	17
CROCC	3157	476	500	3344
MFAP2	1819	288	232	1440
LOC105376806	111	14	20	70
ATP13A2	4143	2096	2481	3726
SDHB	2503	2371	2848	2169
PADI2	157	14	4	231
LOC124903861	0	0	0	1
LOC105376808	0	0	0	0
LINC02783	1	0	0	1
PADI1	14	8	17	3
PADI3	78	0	0	51
MIR3972	0	0	0	0
PADI4	18	0	1	7
PADI6	4	0	0	1
RCC2	23189	3688	3366	16416
RCC2-AS1	0	0	0	0
LOC124903862	17	4	4	26
LOC124904837	0	0	0	0
ARHGEF10L	1630	1656	1816	1389
LINC02810	0	2	5	0
ACTL8	38	1	0	40
LOC105376809	0	0	0	0
LOC105376812	0	0	0	0
LINC01654	0	0	0	0
IGSF21	386	4	0	484
IGSF21-AS1	0	0	0	8
LOC124903864	1	0	0	3
LOC124903863	420	0	0	368
LOC124903865	15	3	3	19
KLHDC7A	852	7	3	516
PAX7	5	0	0	2
TAS1R2	0	0	0	2
ALDH4A1	1393	3352	3964	1287
MIR4695	0	0	0	0
MIR1290	0	0	0	1
LOC124903866	5	11	6	1
IFFO2	1165	882	733	1309
LOC105376815	1	0	0	0
UBR4	11694	16061	18270	18673
EMC1-AS1	29	18	24	32
EMC1	3511	2573	2659	3264
MRTO4	3068	696	1000	1864
AKR7L	18	5	11	23
AKR7A3	19	3	9	26
LOC124903867	60	77	84	77
LOC100506730	97	172	196	133
AKR7A2	1400	1457	1671	1253
SLC66A1	899	634	658	540
CAPZB	3119	2795	2662	3394
LOC124903868	2	2	1	13
LOC124903869	2	2	0	6
LOC105376819	5	1	9	12
LOC105376818	1	0	2	0
LOC105376817	0	0	0	0
LOC124904816	0	0	0	0
MICOS10-DT	0	0	2	0
MICOS10-NBL1	0	0	0	0
MICOS10	974	1082	1217	874
RPS14P3	248	98	122	197
NBL1	11	1	0	3
HTR6	6	0	1	19
TMCO4	253	202	352	269
RNF186	0	0	0	0
LOC105376823	0	0	0	0
OTUD3	1299	606	581	1604
PLA2G2E	1	0	0	0
PLA2G2A	22	1	0	29
PLA2G5	3	0	0	2
PLA2G2D	0	0	0	0
PLA2G2F	1	0	0	0
LOC117779438	0	0	0	0
PLA2G2C	0	1	5	3
UBXN10	79	130	116	62
LOC105376825	0	6	1	0
LOC105376826	5	0	0	5
LINC01757	0	0	0	0
LOC105376828	0	0	0	0
VWA5B1	39	1	0	65
LOC124903870	3	0	0	3
LINC01141	0	0	0	1
LOC124903871	0	1	0	0
CAMK2N1	51	39	8	43
MUL1	915	1776	1856	784
FAM43B	142	27	48	120
CDA	159	0	2	223
PINK1	680	1530	1471	486
MIR6084	0	0	0	0
PINK1-AS	122	234	177	118
DDOST	10402	6367	5962	9679
KIF17	406	45	144	440
SH2D5	417	13	67	346
HP1BP3	3197	3112	2965	3041
EIF4G3	5715	4903	5473	5406
LOC105376830	5	0	2	10
LOC105376829	6	1	1	10
MIR1256	0	2	1	4
ECE1	2693	4204	4634	2414
LOC124903872	7	6	6	9
ECE1-AS1	13	10	25	13
LOC105376832	0	0	0	0
NBPF3	335	187	224	341
ALPL	6529	29	6	6449
LINC02596	0	0	0	1
RAP1GAP	481	281	664	547
USP48	3972	1808	2087	3906
LDLRAD2	19	8	14	11
HSPG2	6252	8925	10216	9660
CELA3B	0	0	0	1
CELA3A	2	0	0	0
LINC01635	19	1	4	22
LINC00339	555	320	361	497
CDC42	7983	8670	9412	7090
WNT4	30	42	12	51
LOC105376845	2	1	2	0
LOC105376850	2	5	6	2
LOC107985377	0	1	0	0
MIR4418	0	0	0	0
LOC105376856	0	6	6	1
ZBTB40	2986	2169	2194	2623
EPHA8	173	11	13	220
MIR6127	0	0	0	0
C1QA	2	0	0	0
C1QC	0	0	0	0
C1QB	0	0	0	1
EPHB2	949	4548	3654	844
MIR4684	0	0	0	2
MIR4253	0	0	0	0
LOC124903874	1	1	3	1
LACTBL1	0	0	0	1
TEX46	1	0	0	1
KDM1A	20280	5943	7097	16786
MIR3115	3	0	0	3
LUZP1	4395	4338	4522	3685
HTR1D	42	2	0	42
LINC01355	54	36	54	119
HNRNPR	7975	3843	3661	6326
ZNF436	99	3388	5324	124
ZNF436-AS1	18	129	155	29
TCEA3	1	2001	2291	7
LOC124903875	21	7	7	20
ASAP3	3202	2170	3171	2655
E2F2	587	73	79	301
LOC101928163	10	0	0	9
LOC124903876	9	1	0	10
LOC105376859	42	11	11	58
ID3	6487	3642	3372	4962
LOC107984928	0	26	28	1
MDS2	0	0	0	1
RPL11	30217	10730	13704	31246
ELOA	3561	2615	3018	2723
ELOA-AS1	38	18	29	25
PITHD1	2348	1388	1750	1770
LOC105376860	10	1	5	19
LYPLA2	4357	1723	1810	3015
GALE	1029	755	1043	713
HMGCL	609	999	1361	999
LOC105376861	6	0	2	6
FUCA1	521	851	916	520
CNR2	0	0	0	2
MIR378F	0	0	0	0
LOC124903877	0	0	1	1
PNRC2	4021	1780	1838	3109
SRSF10	6034	2412	2553	4676
LOC105378615	0	0	0	0
LOC105376863	3	2	1	0
LOC107984931	0	0	0	0
MYOM3	14	51	30	7
MYOM3-AS1	0	0	0	0
LOC124903878	5	36	28	7
LOC105376864	5	77	37	9
IL22RA1	16	5	0	17
LOC124903879	402	407	386	348
IFNLR1	317	131	155	262
LINC02800	0	0	0	0
GRHL3-AS1	3	3	7	1
GRHL3	27	38	24	46
STPG1	199	180	266	226
NIPAL3	596	1649	1885	482
RCAN3AS	2	0	0	3
RCAN3	1093	517	589	963
NCMAP-DT	0	0	0	1
NCMAP	12	2	0	16
SRRM1	4677	1824	2045	5823
LOC124904829	8	0	0	2
CLIC4	11260	9798	17551	11815
LOC105376876	0	1	0	0
RUNX3	22	1	1	92
MIR6731	0	0	0	1
RUNX3-AS1	2	0	0	4
MIR4425	0	0	0	0
LINC02793	0	0	0	0
LOC124903880	0	0	1	0
SYF2	1298	980	1151	1128
LOC124903881	28	8	29	23
RSRP1	1114	949	1011	1121
LOC105376882	1	0	0	0
RHD	13	5	5	22
TMEM50A	2138	2064	2423	1816
LOC124904823	2	0	0	1
RHCE	2	21	47	15
MACO1	1066	947	1004	735
LDLRAP1	823	556	564	561
MAN1C1	359	1573	2296	412
SELENON	3117	3810	3816	3460
MTFR1L	489	3643	4526	447
LOC646471	56	348	373	60
AUNIP	1069	101	139	929
PAQR7	472	721	1020	447
STMN1	13020	6289	7217	10656
MIR3917	0	0	0	0
LOC105376885	1	0	0	1
PAFAH2	563	698	710	494
LOC124900433	0	0	0	0
EXTL1	72	355	379	69
SLC30A2	8	72	212	12
LOC105376910	0	0	4	0
TRIM63	0	735	1350	1
PDIK1L	279	380	449	297
FAM110D	53	393	313	35
C1orf232	3	1	0	3
ZNF593OS	28	9	6	20
ZNF593	187	90	132	173
CNKSR1	289	150	192	264
CATSPER4	18	0	2	15
LOC124903882	5	14	23	4
ZPLD2P	56	47	58	46
CEP85	2840	1123	1489	2504
SH3BGRL3	860	639	562	1286
UBXN11	171	147	163	133
CD52	40	1	1	29
CRYBG2	498	66	9	450
ZNF683	3	0	0	1
LIN28A	82007	2286	1461	73202
LOC124903883	14	2	1	16
DHDDS	1231	1153	1655	959
DHDDS-AS1	13	8	3	11
HMGN2	7170	3298	3951	5688
LOC124903884	23	1	5	22
RPS6KA1	3327	875	1148	2970
MIR1976	0	0	0	1
LOC124904769	0	0	0	0
LOC124904813	0	0	0	0
LOC105376888	0	0	0	1
LOC124900417	46	29	31	40
LOC101928728	0	0	0	0
ARID1A	4914	5506	5164	6074
PIGV	499	342	492	522
ZDHHC18	1634	597	679	1382
SFN	191	11	4	200
GPN2	1048	1164	1585	936
GPATCH3	415	319	388	362
NUDC	4836	2223	2565	4212
NR0B2	3	9	11	0
KDF1	762	45	24	643
OSTCP2	2	2	2	5
TRNP1	1298	806	1281	948
TENT5B	3704	266	272	2630
LOC101928391	59	2	1	70
SLC9A1	317	313	244	399
LOC102723760	0	0	0	0
WDTC1-DT	0	0	1	2
WDTC1	1484	2317	2469	1371
TMEM222	629	907	903	481
ACTG1P20	78	24	40	80
SYTL1	311	383	591	380
MAP3K6	432	372	573	366
FCN3	10	20	41	18
CD164L2	65	0	1	77
GPR3	336	43	50	302
WASF2	2671	2282	2588	3941
LOC105376892	2	12	23	2
AHDC1	1144	2915	2888	1333
FGR	11	0	2	24
LINC02574	0	0	0	0
IFI6	114	214	172	97
FAM76A	597	376	545	560
STX12	376	809	865	400
LOC124903885	10	2	3	7
PPP1R8	2003	1469	1827	1627
SCARNA1	16	38	14	24
THEMIS2	627	21	35	505
RPA2	2415	1390	1949	1569
SMPDL3B	1418	272	273	1011
XKR8	787	700	835	719
EYA3	2519	2153	2101	2340
PTAFR	241	6	6	209
DNAJC8	4965	2568	3078	4326
ATP5IF1	3191	3386	3567	2517
SESN2	1746	2230	3770	1403
MED18	522	560	602	521
PHACTR4	1886	1214	1308	2095
SNHG3	3698	216	263	3816
RCC1	4169	943	983	4110
SNORA73A	4083	5727	5273	6031
SNORA73B	1821	3163	3047	3031
LOC124904836	17	0	1	19
TRNAU1AP	706	525	736	548
SNHG12	1014	69	85	852
SNORD99	55	1	5	40
SNORA61	0	0	0	0
SNORA44	4	0	1	1
SNORA16A	245	47	51	223
RAB42	305	79	138	201
TAF12	823	489	640	750
TAF12-DT	18	1	6	17
RNU11	0	0	0	0
GMEB1	1597	716	689	1670
LOC124904809	3	0	0	2
YTHDF2	6395	3538	4123	5555
OPRD1	198	66	41	149
EPB41	6322	2782	2939	5873
LOC124903886	1	1	0	7
TMEM200B	461	1179	1404	281
SRSF4	3937	2571	2785	4768
MECR	869	522	740	898
LOC124903887	16	5	8	28
PTPRU	2785	1005	1306	3313
LINC01756	2	0	0	4
LOC107984933	0	0	0	1
LOC107984934	0	0	0	0
LINC01648	0	0	0	0
LOC105378617	1	0	0	0
LOC105378618	0	0	0	0
LOC124903888	0	0	0	0
MATN1	6	5	15	7
MATN1-AS1	3	11	20	12
LAPTM5	12	16	21	12
MIR4420	0	0	0	0
LOC105378620	3	0	0	4
LOC105378621	1	0	0	0
LINC01778	0	1	1	0
LOC400748	0	0	0	2
SDC3	1677	4410	5593	1713
PUM1	8126	6317	7133	8592
SNORD103A	0	0	0	0
SNORD103B	12	3	5	14
SNORD103C	18	3	6	12
LOC124904579	0	0	0	1
LOC107984935	7	3	3	12
NKAIN1	1485	95	127	1432
SNRNP40	4596	1265	1548	3616
ZCCHC17	2371	1244	1712	1694
FABP3	386	5082	10106	481
LOC124903892	6	5	3	4
LOC105378623	0	0	0	0
SERINC2	609	173	205	595
LOC124903900	20	1	1	11
LOC105378625	1	1	2	4
LOC105379772	0	0	0	0
LDC1P	0	0	0	1
LINC01226	1	0	0	2
LOC124903917	0	1	0	2
LOC105378626	6	1	3	2
TINAGL1	295	111	193	335
HCRTR1	33	12	19	38
PEF1	981	1073	1331	699
PEF1-AS1	17	4	6	12
COL16A1	761	698	693	566
LOC101929444	20	10	10	25
ADGRB2	1219	3167	4633	1175
MIR4254	0	0	0	0
LOC124903930	3	0	5	2
SPOCD1	35	10	20	48
PTP4A2	6512	5685	7592	5663
LOC128031832	0	0	0	0
KHDRBS1	6431	4027	3917	7986
TMEM39B	469	198	219	451
MIR5585	1	0	1	3
KPNA6	10003	6967	8224	9088
TXLNA	2348	1646	1827	2113
CCDC28B	348	554	677	444
IQCC	100	60	86	105
DCDC2B	16	15	20	20
TMEM234	251	438	420	196
EIF3I	9898	4803	6159	8573
MTMR9LP	248	75	117	239
FAM167B	50	5	14	44
LCK	2548	2	1	2332
HDAC1	4172	1968	1902	3581
MARCKSL1	12691	4952	5342	9894
LOC124903949	14	4	7	17
LOC105378629	1	3	4	1
LOC124903933	67	34	58	120
FAM229A	35	31	79	32
TSSK3	62	25	25	46
BSDC1	2183	2250	2411	1532
ZBTB8B	593	351	449	536
ZBTB8A	733	299	452	745
LOC124903952	4	1	0	5
LOC102723870	24	15	14	22
ZBTB8OS	990	551	784	771
RBBP4	8446	5422	5831	8079
SYNC	8	36	35	4
KIAA1522	2426	378	255	2415
YARS1	12024	4490	8692	10647
S100PBP	2547	1608	1940	2436
FNDC5	48	161	328	45
LOC105378631	2	0	0	11
HPCA	13	4	1	25
TMEM54	122	150	116	143
LOC105378632	1	0	4	0
RNF19B	848	511	791	945
LOC107984936	2	0	1	3
AK2	4253	2720	4221	4478
LOC124903969	0	0	0	0
LOC105378635	2	2	0	1
AZIN2	63	123	190	73
ZNF362	810	1272	1179	672
TRIM62	422	226	254	377
A3GALT2	0	0	0	1
PHC2	495	2327	1988	484
MIR3605	2	3	0	1
PHC2-AS1	1	2	3	2
ZSCAN20	377	629	681	656
CSMD2	611	20	20	717
LOC124903976	5	0	0	15
HMGB4	2	0	0	5
CSMD2-AS1	5	0	0	8
C1orf94	155	0	0	113
LOC105378639	0	0	0	0
LOC105378641	0	0	0	0
MIR552	0	0	0	0
LOC105378642	0	0	0	2
GJB5	9	0	1	10
GJB4	12	0	0	6
GJB3	27	1	3	32
GJA4	25	27	26	15
SMIM12	1259	998	1162	912
DLGAP3	362	13	25	228
GPR199P	34	15	23	23
TMEM35B	208	128	193	185
ZMYM6	680	735	1021	624
LOC124903990	2	0	0	1
ZMYM1	2311	705	913	2360
LOC105378644	2	2	2	7
SFPQ	24902	6819	3527	14635
ZMYM4	7045	4664	5438	7048
LOC124900419	0	0	1	3
ZMYM4-AS1	1	2	2	10
KIAA0319L	2549	4165	5157	2658
