	SRX22253792	SRX22253793	SRX22253794	SRX22253795	SRX22253796	SRX22253797	SRX22253798	SRX22253799	SRX22253800	SRX22253801	SRX22253802	SRX22253803	SRX22253804	SRX22253805	SRX22253806	SRX22253807	SRX22253808	SRX22253809	SRX22253810	SRX22253811	SRX22253812
NOC2L	2702	2699	2258	2401	2621	1411	1210	1700	1566	1297	921	2074	2125	2092	2781	1306	1663	2111	2396	2787	2853
KLHL17	293	289	556	462	790	296	264	495	119	121	87	545	377	424	321	263	254	321	233	333	303
PLEKHN1	15	12	32	38	53	61	37	81	83	88	16	138	157	263	17	141	202	16	28	26	16
PERM1	0	4	2	2	1	1	1	6	1	2	1	8	2	3	1	7	6	0	4	2	0
HES4	7	9	83	73	117	302	240	296	319	299	125	1120	751	964	1286	445	589	12	21	4	24
ISG15	82	110	151	133	206	180	197	231	254	308	108	389	505	427	312	215	302	144	160	130	117
AGRN	2997	2820	7094	8441	10183	9935	10091	13076	8458	6499	3837	13754	18890	28035	22920	14644	19083	4118	4993	4542	3940
LOC100288175	10	26	26	20	31	16	20	19	24	11	3	21	25	65	7	23	19	20	32	35	10
LOC105378948	2	6	11	7	23	2	4	12	2	3	7	17	17	23	12	6	6	13	8	9	5
RNF223	0	0	0	4	1	2	13	7	4	8	3	13	8	15	2	13	23	0	0	0	0
C1orf159	98	104	219	169	282	170	152	244	118	118	72	429	338	399	372	218	303	79	99	117	103
LOC124903819	0	0	0	1	0	0	1	0	1	1	0	1	6	7	1	3	1	0	0	0	0
LOC124903820	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	1	1	0
LINC01342	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	4
LOC124903818	9	7	30	1	23	43	7	20	4	0	0	11	6	19	1	13	12	14	9	5	29
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	1	1	4	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1
TTLL10	0	0	3	4	4	2	1	0	0	0	0	0	0	2	0	3	3	2	1	3	0
TNFRSF18	2	2	1	1	11	2	3	0	1	1	0	6	3	11	0	5	6	0	6	8	6
TNFRSF4	0	1	0	2	1	0	0	0	1	0	0	4	1	1	1	1	2	3	3	3	0
SDF4	1237	1535	2001	2246	2920	1696	1658	2065	3290	2775	2081	5422	5316	5544	6051	4348	4164	1399	1573	1574	1448
B3GALT6	67	54	283	269	325	277	286	290	655	580	465	953	995	1040	1351	585	821	101	81	109	93
C1QTNF12	10	7	23	16	32	18	17	25	9	6	15	21	19	16	20	22	11	18	19	27	12
UBE2J2	804	841	896	978	1124	664	646	894	1062	778	651	1652	1526	1445	1674	963	1157	817	863	992	962
SCNN1D	16	12	38	36	67	26	18	46	28	50	29	124	69	74	61	46	87	18	20	17	38
ACAP3	159	174	347	320	463	429	311	596	767	718	657	1538	1516	1512	1333	895	1160	263	255	277	244
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD167	0	0	5	1	0	3	3	3	2	4	2	5	1	2	1	0	1	2	0	1	0
PUSL1	264	209	206	225	271	217	222	320	223	173	172	471	390	373	455	328	306	272	270	339	270
INTS11	1269	1225	1316	1185	1622	1051	1024	1396	985	840	614	1455	1230	1428	1641	1009	1246	1158	1311	1303	1641
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPTP	163	171	208	247	240	163	155	226	456	391	269	823	809	790	881	591	800	177	163	184	138
TAS1R3	2	7	8	1	5	9	6	4	9	14	11	16	34	12	22	15	11	2	5	0	4
DVL1	1094	1048	1104	1115	1697	1065	1013	1403	928	844	494	2012	1554	1885	1476	1154	1551	963	978	1113	1254
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	82	50	667	524	888	1142	1186	1671	405	418	303	4588	2010	1925	1127	3507	2117	186	170	174	133
AURKAIP1	1095	1203	984	1144	1315	619	644	774	1123	931	699	1756	1673	1577	1835	973	1393	1199	1315	1338	1255
CCNL2	1419	1279	3168	2549	3895	2827	2443	3854	1416	1717	1347	4167	3713	4260	2648	2288	2460	1411	1374	1572	1872
MRPL20-AS1	187	177	204	228	302	223	153	245	257	199	162	388	370	355	413	194	308	174	251	179	279
MRPL20	736	753	801	942	871	464	515	594	890	799	610	1043	1019	933	1022	573	887	829	766	1024	930
MRPL20-DT	108	86	104	141	164	124	98	170	51	48	52	140	105	56	84	60	57	95	97	100	144
ANKRD65	6	8	21	13	24	5	3	5	20	17	2	28	47	56	5	24	72	13	33	15	26
ANKRD65-AS1	2	1	2	2	4	2	5	4	0	1	0	5	1	1	3	0	4	2	2	3	6
TMEM88B	34	39	37	37	44	18	19	21	3	11	3	19	22	23	11	6	26	96	72	77	55
LINC01770	3	0	4	5	24	2	4	0	10	45	1	51	18	43	2	24	62	0	0	2	3
LOC107985729	0	0	4	5	13	4	2	2	2	15	2	14	6	20	2	8	24	1	2	2	0
VWA1	242	272	685	883	840	385	464	572	682	1037	111	2245	2248	4269	571	1800	3418	541	537	625	309
ATAD3C	9	6	24	16	16	27	17	51	9	16	1	28	34	41	2	25	46	21	22	16	11
ATAD3B	537	564	655	527	563	291	285	404	258	202	220	652	601	652	484	342	280	725	561	875	552
ATAD3A	943	904	900	839	967	535	580	796	753	598	502	1421	1197	1275	1559	793	909	1018	1040	1133	901
TMEM240	34	18	64	86	112	70	63	93	60	54	47	300	97	127	224	91	159	35	32	53	49
SSU72	1511	1534	1525	1675	1799	1240	1261	1772	1745	1483	1219	2075	1892	1798	2294	1407	1726	1405	1462	1690	1947
FNDC10	70	80	212	178	214	114	126	113	241	228	134	411	361	301	488	170	266	126	148	125	113
LOC105378586	5	2	5	5	4	1	0	0	6	2	4	14	9	4	7	5	6	7	3	2	4
MIB2	100	120	181	184	298	208	203	292	398	398	484	587	519	515	570	348	484	108	108	127	158
LOC124903821	15	10	69	35	115	44	28	46	4	15	19	61	22	28	31	24	33	15	13	12	20
MMP23B	17	16	61	35	50	80	132	149	98	74	70	390	81	107	295	236	119	26	23	20	7
CDK11B	885	930	958	1044	1336	742	786	1142	819	684	572	1240	974	1036	1164	651	912	733	970	932	957
SLC35E2B	1119	1216	1784	1917	2713	1828	1871	2524	2054	1786	1490	3638	3585	3525	4115	2275	3348	1215	1606	1486	1370
MMP23A	0	0	2	2	4	2	0	3	0	4	3	9	3	2	1	6	0	1	4	1	2
CDK11A	267	262	396	354	530	258	291	429	291	249	218	535	389	406	400	243	315	318	301	310	344
SLC35E2A	258	285	320	371	619	439	421	593	686	524	588	880	755	654	869	511	885	207	274	226	305
LOC112268218	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
NADK	1030	921	1008	1202	1488	1012	1027	1393	847	679	517	1481	1534	1585	1877	1135	1174	862	1034	1140	1142
GNB1	6830	7546	10029	11591	12505	8503	8835	11877	11541	8897	6338	13946	14620	15990	16777	12886	11374	8315	8960	9624	8925
GNB1-DT	4	1	1	2	3	3	3	3	8	9	10	12	20	15	28	14	25	7	2	5	10
LOC124903822	1	1	1	2	0	3	1	3	4	0	4	2	2	0	1	8	2	1	1	0	1
CALML6	1	3	6	1	4	0	1	3	0	3	2	0	0	2	0	0	0	0	4	1	1
TMEM52	85	91	58	59	65	11	22	17	6	11	15	14	24	23	8	9	20	86	100	115	83
CFAP74	4	0	4	3	7	0	0	1	1	3	0	0	3	7	1	2	3	3	4	2	2
LOC107984872	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC105378589	8	8	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	10	14	7	16
GABRD	18	17	3	5	8	2	0	0	0	0	0	1	0	0	0	0	0	30	41	35	11
LOC105378590	0	2	0	0	0	3	0	0	0	3	0	1	7	0	0	0	0	1	2	0	1
PRKCZ	653	558	639	722	875	459	468	616	653	668	351	830	1133	1120	959	635	1086	619	655	595	855
PRKCZ-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
PRKCZ-AS1	15	17	19	31	39	37	33	60	23	30	24	86	54	54	65	39	49	21	15	19	32
FAAP20	293	295	513	470	713	394	372	475	403	438	316	1383	906	943	1139	672	935	327	341	366	439
LOC112268219	24	30	38	41	60	48	34	65	35	42	44	101	104	116	102	88	80	38	43	39	40
LOC105378593	1	0	2	0	2	0	0	4	5	0	0	6	0	3	0	0	1	1	0	2	0
LOC124903823	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SKI	1848	1942	2714	2807	3328	2314	2240	3218	1834	1327	1285	4442	2935	3015	5598	2876	2949	2095	2388	2674	2159
LOC124903824	3	8	22	13	40	21	23	42	21	10	14	56	20	27	39	29	42	4	11	3	10
MORN1	98	77	179	168	250	167	124	160	72	101	74	156	186	211	219	127	145	77	82	63	125
LOC100129534	51	28	63	56	66	22	21	37	37	47	48	47	52	50	83	26	50	31	28	21	63
RER1	1166	1123	1344	1467	1632	1370	1270	1730	2086	1619	1272	2809	2455	2565	2922	2295	2016	1027	1087	1164	1245
PEX10	137	117	228	230	301	199	157	209	190	218	183	387	370	353	404	188	312	153	199	150	184
PLCH2	0	2	11	4	5	6	10	11	4	8	10	81	11	21	50	30	43	2	11	8	4
PANK4	268	329	443	496	727	366	377	519	750	658	535	1036	867	897	885	607	931	353	394	406	363
HES5	0	2	3	3	4	1	1	0	0	0	0	1	0	0	0	0	0	2	0	1	1
TNFRSF14-AS1	0	1	0	0	0	1	4	0	1	0	0	4	0	1	0	0	0	1	0	0	0
TNFRSF14	6	5	13	7	18	1	33	23	20	14	4	15	1	4	1	1	4	4	12	6	12
LOC100996583	0	1	5	0	1	0	1	1	2	1	0	1	0	0	2	0	1	3	0	0	1
PRXL2B	573	536	767	664	903	337	294	464	483	380	302	956	681	752	729	454	642	686	739	843	767
MMEL1	5	2	3	3	1	3	0	2	0	0	0	6	0	0	2	0	0	6	5	3	9
MMEL1-AS1	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	6	7
TTC34	9	0	12	8	13	7	4	16	7	3	4	35	15	11	16	7	14	2	5	0	5
LOC105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	4	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
LOC124903827	1	0	3	0	1	0	2	3	223	466	252	453	500	698	45	261	1044	2	1	0	1
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	2	3	25	20	52	23	23	35	1016	1220	965	830	1412	2170	141	687	2431	12	11	4	17
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC105378606	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC107984909	0	0	0	0	0	0	0	0	7	9	10	2	17	18	2	5	15	0	0	0	0
LOC105378605	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0
LOC124903828	0	0	1	0	0	0	0	0	38	45	115	19	24	42	6	9	58	1	2	0	2
LOC105378604	0	0	0	0	1	0	0	0	14	21	13	28	25	18	1	15	47	0	2	0	1
ARHGEF16	290	262	658	633	761	483	497	633	386	288	104	556	970	1724	324	543	873	358	345	421	434
MEGF6	336	289	1302	1013	1469	887	694	1093	459	469	394	2192	1665	2091	6122	1389	1374	490	466	531	425
LOC105378608	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0
MIR551A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0
TPRG1L	453	492	950	1019	1176	1207	1092	1306	1337	1002	890	1271	1735	1629	2074	1119	1300	613	502	685	535
WRAP73	456	487	308	331	388	214	229	306	201	190	122	406	379	472	353	290	351	331	347	391	342
TP73	50	33	92	142	140	56	84	95	31	39	6	28	69	139	10	49	85	64	91	67	84
TP73-AS3	2	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0
TP73-AS1	615	573	847	879	1151	622	673	944	645	639	579	1525	1002	1133	1344	790	1124	654	804	718	741
CCDC27	6	9	8	6	7	5	6	2	16	18	9	6	10	23	23	9	37	5	7	6	12
SMIM1	19	6	11	13	16	9	16	14	39	35	24	102	55	61	92	34	101	8	12	6	5
LRRC47	1693	1345	1596	1689	1808	1151	1123	1472	1921	1570	1384	2321	2179	2151	2503	1481	2133	1347	1914	1695	2073
CEP104	704	584	645	739	892	695	600	1096	935	676	598	1049	1178	1136	1024	869	967	588	647	657	835
LOC124903829	10	9	2	5	4	15	7	4	4	1	4	4	10	9	1	13	5	21	8	10	6
DFFB	234	271	129	176	207	123	100	160	96	79	56	222	172	203	203	121	164	190	245	251	238
C1orf174	423	592	432	505	666	380	369	485	311	269	224	684	453	516	531	380	453	377	391	514	402
LINC01134	2	5	1	0	2	1	1	1	5	4	9	1	8	8	4	1	5	1	2	1	10
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1
LOC105376674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	104	101	103	109	146	69	343	272	47	47	4	37	64	442	1	49	373	139	192	169	197
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
LOC124904589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LINC02782	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	0
LOC124904590	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	320	221	428	452	597	218	185	317	191	118	137	439	319	408	418	268	324	224	201	274	373
KCNAB2	125	145	229	219	369	141	150	178	97	111	103	364	125	181	399	246	197	133	147	150	118
LOC124903831	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	1	0
CHD5	153	93	114	135	123	58	86	156	21	15	22	45	149	73	154	19	32	148	149	165	177
RPL22	7302	7349	8705	8475	9689	6977	6610	9025	5127	4532	3012	8068	5591	5161	7102	3851	6840	6719	7516	7600	8656
RNF207-AS1	1	5	1	0	0	0	1	3	39	26	31	29	15	17	28	5	26	0	3	3	6
RNF207	41	36	31	30	54	58	62	108	1911	1263	2523	1357	1242	1384	1757	506	1272	60	55	61	80
ICMT	4548	4387	3934	4286	4287	2237	2592	3003	3237	2447	1865	3448	3454	3634	3526	2444	3255	4117	4212	4782	5690
ICMT-DT	79	61	48	68	75	27	53	38	12	5	2	12	17	12	10	14	19	74	88	89	210
HES3	214	44	7	11	7	0	0	0	0	0	0	0	0	0	0	0	0	100	104	96	766
GPR153	164	109	210	171	242	39	57	80	169	156	101	1253	352	475	465	509	433	92	142	112	347
ACOT7	1943	2123	1313	1662	1458	470	580	676	727	598	322	1016	1202	1228	1066	689	706	2319	2478	2447	1908
HES2	113	90	0	2	1	7	1	1	49	63	32	37	183	211	1	111	193	12	19	16	90
ESPN	111	93	49	66	69	29	41	54	15	91	1	249	377	277	11	122	393	118	141	108	160
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	63	51	97	77	144	130	89	204	111	61	74	155	233	210	67	90	127	72	72	83	81
PLEKHG5	248	227	421	505	686	649	522	875	491	375	330	924	1017	1216	594	743	760	378	466	418	338
NOL9	1755	1306	1030	1090	1069	637	740	810	968	770	834	848	991	811	911	615	768	1016	1244	976	1507
TAS1R1	0	0	2	3	4	0	2	3	2	1	0	0	0	0	1	0	2	0	1	2	3
LOC107984912	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZBTB48	243	177	259	247	385	228	237	271	213	152	175	459	334	406	413	242	339	207	275	252	234
KLHL21	573	646	545	441	542	376	300	501	2632	2551	1548	1621	2943	2170	2088	857	1568	474	384	603	524
LOC107984913	1	2	7	6	15	6	17	15	67	64	58	12	50	49	47	22	35	0	1	2	3
PHF13	1112	1130	1960	2028	2355	1295	1453	2006	1038	1201	872	1846	1459	1546	1696	1166	1548	1221	1254	1372	1219
THAP3	160	183	108	196	223	159	141	222	173	146	144	358	244	271	269	232	288	104	157	156	142
DNAJC11	1230	1116	1204	1341	1458	701	709	1067	1307	1068	844	1081	1320	1229	1715	761	1102	1150	1280	1400	1576
LINC01672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	5	1	8	5	11	2	2	2	1	4	9	1	2	0	1	3	5	2	8	6	3
CAMTA1	589	555	976	981	1161	736	660	929	840	788	646	983	776	779	784	527	915	674	781	716	733
LOC124903832	47	26	32	32	22	29	35	29	17	8	55	13	3	6	3	5	13	51	75	25	44
CAMTA1-AS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900385	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	2	4	1	1
CAMTA1-AS2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376691	0	0	0	1	0	0	0	0	3	0	8	4	0	2	6	2	0	0	0	0	0
LOC105376689	16	7	44	19	45	23	22	21	4	3	2	12	3	14	5	10	4	11	13	13	17
VAMP3	728	983	1124	1103	1379	1229	1192	1584	2876	2221	1635	3653	2837	2929	3330	2501	2705	844	831	983	806
PER3	348	211	264	299	295	137	164	262	307	299	341	365	223	218	297	183	422	369	385	437	512
LOC124903833	1	0	1	0	0	1	2	0	0	0	4	0	2	1	0	0	0	2	4	0	4
UTS2	5	17	8	3	5	0	35	24	13	19	0	7	1	3	14	0	0	5	17	12	21
TNFRSF9	26	49	54	9	47	30	44	63	323	122	40	287	146	344	340	121	57	32	65	42	49
PARK7	3024	3788	3600	4259	4845	2393	2322	3033	3726	2712	2397	4585	4036	3842	4763	2770	3432	3304	3564	3756	3621
LOC124903834	2	5	10	14	7	8	4	14	10	3	2	7	17	13	10	14	13	6	7	6	10
ERRFI1	615	574	2490	3621	3131	6704	9564	12450	2112	1214	596	3214	3223	4794	1613	3614	3011	1741	1911	2784	587
ERRFI1-DT	2	0	2	2	3	7	7	7	3	1	0	20	8	9	4	5	7	2	1	3	0
LOC107984915	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
LINC01714	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376695	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0
LOC124903835	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0
SLC45A1	4	1	10	33	21	10	15	17	25	14	19	118	61	64	164	103	28	67	64	62	5
RERE	3535	3015	3852	4429	4514	5189	5694	7636	6020	4744	4532	7199	7457	7022	11415	7361	6522	2833	4331	3708	3987
RERE-AS1	2	0	2	0	3	0	0	1	1	0	1	0	0	0	2	0	2	1	0	2	3
SNORD128	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC124900452	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ENO1	28048	33276	30521	36622	38177	18034	16529	21648	16282	26658	6474	49576	26879	27841	25260	15488	37472	33817	30926	33787	32383
MIR6728	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENO1-AS1	7	10	8	14	6	2	4	7	5	8	22	18	18	15	15	7	25	11	7	4	12
LOC112268261	2	1	1	3	5	0	4	0	5	3	2	0	1	0	0	0	1	2	12	1	3
CA6	1	4	1	0	4	0	1	3	5	1	0	0	0	0	0	0	0	1	3	1	2
SLC2A7	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
SLC2A5	0	0	0	0	0	1	1	3	16	0	15	21	13	13	14	39	4	1	0	0	5
LOC124900441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR157	65	76	83	95	137	194	449	360	334	130	183	291	230	378	126	432	296	40	66	66	62
MIR34AHG	141	233	68	98	128	112	55	171	56	52	101	30	168	132	33	92	122	102	129	97	153
MIR34A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	18	24	6	19	6	12	5	19	26	25	25	16	27	30	24	60	26	7	15	17	18
H6PD	243	232	1165	1014	1537	1588	1575	1882	2084	1799	1364	3916	3216	3645	3056	2754	3295	150	232	127	365
LOC124903836	2	5	2	0	3	1	1	3	2	3	5	1	0	3	2	1	1	0	0	0	0
SPSB1	118	106	421	436	530	567	511	654	863	269	603	1615	1605	1797	1292	2347	703	130	109	137	123
LINC02606	0	0	1	0	0	0	3	1	14	10	16	37	29	23	47	17	13	1	0	5	0
SLC25A33	425	422	477	456	452	249	262	304	324	240	197	289	397	319	363	181	227	386	506	518	439
TMEM201	493	495	536	584	714	384	312	495	639	463	388	790	751	732	1001	390	676	503	524	573	585
LOC124903837	0	3	4	0	1	3	2	2	0	0	0	2	5	6	9	4	1	3	1	0	0
PIK3CD	335	339	378	419	483	375	350	459	474	500	158	381	914	942	369	457	471	490	694	547	450
LOC105376712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PIK3CD-AS1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	5	0
PIK3CD-AS2	34	29	60	68	61	42	35	54	43	42	18	50	60	59	94	32	96	54	89	56	63
