Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Day,experiment_number,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR19310104,RNA-Seq,101,3064038919,PRJNA839709,SAMN28547935,1141578595,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",40,h18,SRX15370391,Illumina HiSeq 4000,GSM6170625,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:58:00Z,1,GSM6170625,pluripotent stem cell line,SRP376095
SRR19310105,RNA-Seq,101,2991000668,PRJNA839709,SAMN28547936,1119226421,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",20,h18,SRX15370390,Illumina HiSeq 4000,GSM6170624,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170624,pluripotent stem cell line,SRP376095
SRR19310106,RNA-Seq,101,2980593426,PRJNA839709,SAMN28547937,1106206534,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",15,h18,SRX15370389,Illumina HiSeq 4000,GSM6170623,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170623,pluripotent stem cell line,SRP376095
SRR19310107,RNA-Seq,101,2743126367,PRJNA839709,SAMN28547938,1021566820,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",10,h18,SRX15370388,Illumina HiSeq 4000,GSM6170622,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170622,pluripotent stem cell line,SRP376095
SRR19310108,RNA-Seq,101,2794289836,PRJNA839709,SAMN28547939,1043823693,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",6,h18,SRX15370387,Illumina HiSeq 4000,GSM6170621,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:58:00Z,1,GSM6170621,pluripotent stem cell line,SRP376095
SRR19310109,RNA-Seq,101,2763819045,PRJNA839709,SAMN28547940,1022722805,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",4,h18,SRX15370386,Illumina HiSeq 4000,GSM6170620,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170620,pluripotent stem cell line,SRP376095
SRR19310110,RNA-Seq,101,2624361477,PRJNA839709,SAMN28547941,980055851,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2,h18,SRX15370385,Illumina HiSeq 4000,GSM6170619,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170619,pluripotent stem cell line,SRP376095
SRR19310111,RNA-Seq,101,2761342525,PRJNA839709,SAMN28547942,1029258530,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",0,h18,SRX15370384,Illumina HiSeq 4000,GSM6170618,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:50:00Z,1,GSM6170618,pluripotent stem cell line,SRP376095
SRR19310112,RNA-Seq,101,2863225265,PRJNA839709,SAMN28547943,1061847908,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",40,h41,SRX15370383,Illumina HiSeq 4000,GSM6170617,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170617,pluripotent stem cell line,SRP376095
SRR19310113,RNA-Seq,101,2137728832,PRJNA839709,SAMN28547944,808434173,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",20,h41,SRX15370382,Illumina HiSeq 4000,GSM6170616,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170616,pluripotent stem cell line,SRP376095
SRR19310114,RNA-Seq,101,2442085161,PRJNA839709,SAMN28547945,921209892,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",15,h41,SRX15370381,Illumina HiSeq 4000,GSM6170615,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:57:00Z,1,GSM6170615,pluripotent stem cell line,SRP376095
SRR19310115,RNA-Seq,101,3026093522,PRJNA839709,SAMN28547946,1135918640,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",10,h41,SRX15370380,Illumina HiSeq 4000,GSM6170614,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:58:00Z,1,GSM6170614,pluripotent stem cell line,SRP376095
SRR19310116,RNA-Seq,101,2516727393,PRJNA839709,SAMN28547947,945352395,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",6,h41,SRX15370379,Illumina HiSeq 4000,GSM6170613,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170613,pluripotent stem cell line,SRP376095
SRR19310117,RNA-Seq,101,2545598647,PRJNA839709,SAMN28547948,956392964,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",4,h41,SRX15370378,Illumina HiSeq 4000,GSM6170612,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:49:00Z,1,GSM6170612,pluripotent stem cell line,SRP376095
SRR19310118,RNA-Seq,101,2386083287,PRJNA839709,SAMN28547949,896325665,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2,h41,SRX15370377,Illumina HiSeq 4000,GSM6170611,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:58:00Z,1,GSM6170611,pluripotent stem cell line,SRP376095
SRR19310119,RNA-Seq,101,2492582535,PRJNA839709,SAMN28547950,939100204,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",0,h41,SRX15370376,Illumina HiSeq 4000,GSM6170610,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170610,pluripotent stem cell line,SRP376095
SRR19310120,RNA-Seq,101,1752468776,PRJNA839709,SAMN28547951,679487684,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",60,h32,SRX15370375,Illumina HiSeq 4000,GSM6170609,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:49:00Z,1,GSM6170609,pluripotent stem cell line,SRP376095
SRR19310121,RNA-Seq,101,2377815326,PRJNA839709,SAMN28547952,886219095,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",40,h32,SRX15370374,Illumina HiSeq 4000,GSM6170608,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:58:00Z,1,GSM6170608,pluripotent stem cell line,SRP376095
SRR19310122,RNA-Seq,101,2602106430,PRJNA839709,SAMN28547953,971242937,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",20,h32,SRX15370373,Illumina HiSeq 4000,GSM6170607,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:58:00Z,1,GSM6170607,pluripotent stem cell line,SRP376095
SRR19310123,RNA-Seq,101,2793325488,PRJNA839709,SAMN28547954,1037500447,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",15,h32,SRX15370372,Illumina HiSeq 4000,GSM6170606,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170606,pluripotent stem cell line,SRP376095
SRR19310124,RNA-Seq,101,2744971132,PRJNA839709,SAMN28547955,1022598061,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",6,h32,SRX15370371,Illumina HiSeq 4000,GSM6170605,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T01:00:00Z,1,GSM6170605,pluripotent stem cell line,SRP376095
SRR19310125,RNA-Seq,101,2677391931,PRJNA839709,SAMN28547956,997457890,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",4,h32,SRX15370370,Illumina HiSeq 4000,GSM6170604,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:57:00Z,1,GSM6170604,pluripotent stem cell line,SRP376095
SRR19310126,RNA-Seq,101,2764681181,PRJNA839709,SAMN28547957,1023618687,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2,h32,SRX15370369,Illumina HiSeq 4000,GSM6170603,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170603,pluripotent stem cell line,SRP376095
SRR19310127,RNA-Seq,101,2816534379,PRJNA839709,SAMN28547958,1048342467,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",0,h32,SRX15370368,Illumina HiSeq 4000,GSM6170602,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170602,pluripotent stem cell line,SRP376095
SRR19310128,RNA-Seq,101,2567772793,PRJNA839709,SAMN28547959,962667773,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",60,h30,SRX15370367,Illumina HiSeq 4000,GSM6170601,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T01:01:00Z,1,GSM6170601,pluripotent stem cell line,SRP376095
SRR19310129,RNA-Seq,101,2200802221,PRJNA839709,SAMN28547960,827833491,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",40,h30,SRX15370366,Illumina HiSeq 4000,GSM6170600,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170600,pluripotent stem cell line,SRP376095
SRR19310130,RNA-Seq,101,2759911254,PRJNA839709,SAMN28547961,1023653381,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",20,h30,SRX15370365,Illumina HiSeq 4000,GSM6170599,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:58:00Z,1,GSM6170599,pluripotent stem cell line,SRP376095
SRR19310131,RNA-Seq,101,3257620771,PRJNA839709,SAMN28547962,1217537508,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",15,h30,SRX15370364,Illumina HiSeq 4000,GSM6170598,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170598,pluripotent stem cell line,SRP376095
SRR19310132,RNA-Seq,101,3376122657,PRJNA839709,SAMN28547963,1262143844,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",10,h30,SRX15370363,Illumina HiSeq 4000,GSM6170597,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170597,pluripotent stem cell line,SRP376095
SRR19310133,RNA-Seq,101,3260535227,PRJNA839709,SAMN28547964,1213924003,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",6,h30,SRX15370362,Illumina HiSeq 4000,GSM6170596,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170596,pluripotent stem cell line,SRP376095
SRR19310134,RNA-Seq,101,2970933887,PRJNA839709,SAMN28547965,1106134355,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",4,h30,SRX15370361,Illumina HiSeq 4000,GSM6170595,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T01:03:00Z,1,GSM6170595,pluripotent stem cell line,SRP376095
SRR19310135,RNA-Seq,101,2885676252,PRJNA839709,SAMN28547966,1071435968,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2,h30,SRX15370360,Illumina HiSeq 4000,GSM6170594,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170594,pluripotent stem cell line,SRP376095
SRR19310136,RNA-Seq,101,2646825796,PRJNA839709,SAMN28547967,993474797,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",0,h30,SRX15370359,Illumina HiSeq 4000,GSM6170593,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170593,pluripotent stem cell line,SRP376095
SRR19310137,RNA-Seq,101,2978565346,PRJNA839709,SAMN28547968,1107602434,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",60,h28,SRX15370358,Illumina HiSeq 4000,GSM6170592,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170592,pluripotent stem cell line,SRP376095
SRR19310138,RNA-Seq,101,2740924365,PRJNA839709,SAMN28547969,1020213566,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",40,h28,SRX15370357,Illumina HiSeq 4000,GSM6170591,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170591,pluripotent stem cell line,SRP376095
SRR19310139,RNA-Seq,101,2913826669,PRJNA839709,SAMN28547970,1080424066,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",20,h28,SRX15370356,Illumina HiSeq 4000,GSM6170590,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170590,pluripotent stem cell line,SRP376095
SRR19310140,RNA-Seq,101,2661179815,PRJNA839709,SAMN28547971,992275877,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",15,h28,SRX15370355,Illumina HiSeq 4000,GSM6170589,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170589,pluripotent stem cell line,SRP376095
SRR19310141,RNA-Seq,101,2835744074,PRJNA839709,SAMN28547972,1059737557,H9,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",10,h28,SRX15370354,Illumina HiSeq 4000,GSM6170588,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170588,pluripotent stem cell line,SRP376095
