	SRX2023641	SRX2023642	SRX2023643	SRX2023644	SRX2023645	SRX2023646	SRX2023647	SRX2023648	SRX2023649	SRX2023650	SRX2023651	SRX2023652	SRX2023653	SRX2023654	SRX2023655	SRX2023656	SRX2023657	SRX2023658	SRX2023660	SRX2023661	SRX2023662	SRX2023663	SRX2023664	SRX2023665	SRX2023666	SRX2023667
LOC124903820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LINC01342	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903818	4	2	5	1	5	2	1	0	0	0	0	0	0	0	3	3	5	2	0	0	1	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
TTLL10	3	6	2	0	4	3	0	2	0	2	0	0	0	0	0	1	1	2	2	1	0	0	0	0	0	0
TNFRSF18	0	3	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
TNFRSF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDF4	109	109	95	45	104	98	134	142	283	365	370	381	347	0	205	214	203	168	185	158	174	160	177	179	155	160
B3GALT6	91	64	64	43	97	75	131	177	303	260	342	384	311	0	374	271	344	281	154	125	107	90	148	165	149	173
C1QTNF12	3	2	5	0	7	2	1	3	3	6	10	3	11	0	10	8	10	11	7	7	2	3	1	2	0	2
UBE2J2	127	99	136	58	155	101	135	197	234	275	283	320	267	0	235	231	249	226	111	79	107	116	82	104	78	90
SCNN1D	5	4	2	1	3	0	2	6	11	5	1	5	1	0	5	11	7	3	9	12	7	3	2	0	5	1
ACAP3	25	13	18	8	20	15	18	24	65	55	82	69	74	0	52	60	34	47	21	26	39	33	33	33	34	37
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	115	111	94	42	146	100	54	53	92	41	132	92	117	0	106	96	134	121	37	27	45	38	39	31	29	31
INTS11	180	160	151	62	169	162	118	143	180	164	216	171	190	0	254	293	273	297	108	100	93	111	86	90	61	65
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPTP	5	9	11	3	18	12	5	9	16	29	26	28	24	0	17	27	19	19	9	16	17	17	18	12	11	21
TAS1R3	0	2	1	1	1	0	0	1	3	2	3	1	3	0	3	6	3	2	0	1	1	1	2	1	1	0
DVL1	71	68	40	26	49	52	49	64	79	58	76	83	73	0	51	60	68	71	56	52	46	57	31	31	32	34
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	7	11	9	6	14	12	69	81	410	526	496	476	443	0	194	247	228	198	106	116	91	105	24	24	29	17
AURKAIP1	388	403	413	199	470	331	213	242	458	416	495	513	450	0	511	436	488	394	166	192	229	286	156	188	198	214
CCNL2	503	279	454	201	421	323	1243	1342	2138	1934	2171	2047	1990	0	1653	1464	1541	1523	960	852	659	833	453	469	390	381
MRPL20-AS1	45	39	32	20	57	36	45	65	63	67	87	65	76	0	69	71	77	67	45	43	31	37	41	27	31	30
MRPL20	323	298	327	133	388	282	316	339	492	470	556	601	471	0	621	556	556	525	219	223	259	227	195	229	219	229
MRPL20-DT	39	31	38	13	40	38	44	58	70	59	58	65	48	0	59	50	54	44	30	37	19	18	31	43	21	24
ANKRD65	5	9	9	1	9	2	1	3	2	2	1	1	2	0	1	3	10	2	1	0	0	0	0	1	0	2
ANKRD65-AS1	2	2	0	1	1	2	2	3	1	1	1	3	0	0	2	1	0	1	0	2	0	0	0	0	0	0
TMEM88B	10	14	3	6	3	13	2	9	4	5	6	15	5	0	3	2	1	4	6	5	1	2	1	2	0	3
LINC01770	8	17	8	0	6	3	6	8	3	0	5	1	4	0	2	2	2	3	15	24	7	13	7	11	6	9
LOC107985729	2	0	1	0	0	0	2	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	2
VWA1	56	50	50	22	32	45	61	68	23	21	48	40	48	0	27	23	46	37	12	11	14	10	8	9	12	14
ATAD3C	3	4	5	1	5	7	2	5	0	0	2	2	2	0	1	1	2	3	0	1	0	1	0	1	0	0
ATAD3B	71	50	81	35	81	74	40	50	57	60	120	117	109	0	120	127	162	176	50	36	34	30	24	21	22	29
ATAD3A	50	41	53	19	52	63	45	51	90	96	129	138	125	0	72	91	76	75	39	39	55	52	34	44	42	46
TMEM240	2	1	2	1	2	0	0	1	1	0	2	0	2	0	1	2	1	0	2	2	0	1	0	1	4	1
SSU72	420	382	262	150	386	309	322	330	491	357	628	734	576	0	472	308	509	417	188	186	116	173	187	212	206	231
FNDC10	89	75	52	30	58	44	51	55	47	43	63	68	64	0	56	52	50	50	83	73	51	49	91	82	92	107
LOC105378586	2	0	0	0	0	1	2	0	0	1	0	4	0	0	0	1	1	2	1	0	0	0	2	2	2	0
MIB2	78	25	38	14	48	23	87	99	156	147	110	115	105	0	86	79	72	76	148	151	104	100	129	142	112	143
LOC124903821	1	0	0	0	0	0	0	0	0	1	3	1	2	0	0	5	2	4	0	3	1	0	0	0	1	0
MMP23B	1	2	1	1	1	0	0	0	1	3	4	5	4	0	14	17	8	10	5	3	3	4	9	7	2	0
CDK11B	179	126	131	51	154	124	152	208	187	239	225	287	204	0	187	265	250	243	120	131	106	114	115	112	104	113
SLC35E2B	411	409	237	159	507	417	1015	1067	1118	944	1028	1130	806	0	995	1020	854	840	445	431	342	295	333	388	365	339
MMP23A	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11A	76	31	47	39	49	44	74	108	135	115	120	161	110	0	89	102	102	85	38	46	40	33	41	42	26	43
SLC35E2A	202	99	154	129	167	125	312	324	420	392	326	353	266	0	341	332	297	291	232	219	109	123	180	185	153	187
LOC112268218	0	1	0	0	0	0	0	0	0	0	3	0	3	0	1	2	1	0	0	0	0	0	0	1	0	1
NADK	148	138	101	38	138	101	171	170	212	169	186	134	179	0	182	192	192	179	83	70	108	112	66	55	49	42
GNB1	1861	1161	1451	671	1525	1170	2995	3384	6057	5815	5699	5794	5037	0	4062	3357	3484	3153	1495	1563	1980	2107	1410	1534	1548	1522
GNB1-DT	3	1	1	2	1	2	0	6	4	3	6	8	7	0	5	6	4	2	2	4	3	1	5	5	5	2
LOC124903822	0	0	1	0	2	1	1	3	3	3	5	5	5	0	3	2	0	5	1	3	2	2	1	4	1	4
CALML6	3	2	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
TMEM52	30	29	25	6	27	26	9	7	13	11	13	11	14	0	7	1	2	8	10	5	1	1	3	0	1	3
CFAP74	1	0	0	0	0	2	2	1	3	0	1	0	1	0	1	2	0	0	0	3	0	0	0	2	1	1
LOC107984872	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
LOC105378589	3	3	5	0	3	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
GABRD	1	1	2	0	3	1	1	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1
LOC105378590	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PRKCZ	117	103	75	30	93	71	107	101	81	86	116	124	118	0	62	66	66	72	79	60	52	45	90	96	73	71
PRKCZ-DT	4	4	2	1	8	0	0	1	0	0	2	2	2	0	0	1	0	2	0	1	0	0	0	1	0	1
PRKCZ-AS1	11	10	13	6	25	10	33	29	44	29	41	51	34	0	82	93	40	63	25	29	8	13	14	21	10	19
FAAP20	61	70	77	26	85	69	29	39	55	70	69	95	69	0	86	96	111	83	59	55	30	47	33	43	41	41
LOC112268219	8	3	3	3	10	9	2	8	9	17	18	7	15	0	9	5	10	2	4	4	5	0	10	4	3	1
LOC105378593	2	0	0	0	1	0	3	1	2	2	0	4	1	0	1	5	1	0	3	0	2	0	1	1	0	0
LOC124903823	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
SKI	500	422	491	195	601	414	606	657	993	787	1148	1200	1082	0	1026	1311	1179	1065	413	388	418	336	354	347	379	307
LOC124903824	7	3	9	4	2	1	1	12	9	6	6	8	6	0	12	49	35	31	15	8	4	8	9	8	3	3
MORN1	12	5	6	2	12	17	37	39	32	19	54	64	55	0	55	79	64	76	9	9	10	7	12	12	17	19
LOC100129534	6	2	2	1	7	4	17	25	17	13	26	21	23	0	45	32	46	34	4	6	0	1	6	7	7	7
RER1	211	197	189	78	250	213	436	491	1074	991	1088	1058	982	0	721	656	695	629	282	299	279	322	310	325	343	376
PEX10	34	27	27	20	53	33	37	49	57	35	60	52	53	0	68	118	59	55	18	29	24	32	19	19	25	14
PLCH2	1	0	1	1	3	0	1	1	3	2	14	15	12	0	4	6	7	4	0	4	2	0	1	2	1	2
PANK4	66	45	45	12	63	53	119	88	193	147	188	174	169	0	120	122	117	113	128	129	93	97	126	130	126	142
HES5	1	2	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
TNFRSF14-AS1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
TNFRSF14	0	1	0	0	0	0	0	3	1	0	1	1	0	0	0	0	0	0	1	1	0	0	2	0	0	1
LOC100996583	0	0	0	0	0	1	1	2	1	2	4	3	2	0	1	1	0	1	0	1	0	0	0	1	0	1
PRXL2B	72	78	108	44	98	71	109	84	104	150	210	212	195	0	101	92	89	66	89	100	64	57	113	104	142	156
MMEL1	3	2	1	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
MMEL1-AS1	0	1	0	2	0	0	0	0	3	4	5	1	4	0	0	0	0	0	0	0	0	0	0	1	1	0
TTC34	11	5	2	5	5	0	40	38	54	59	36	40	36	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC124903827	0	0	0	0	0	0	0	1	2	2	3	5	3	0	0	0	0	0	0	1	0	0	4	2	1	2
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	6	3	3	4	9	7	2	7	37	15	31	27	29	0	16	12	34	31	32	38	6	2	46	46	16	8
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984909	0	0	0	0	0	0	0	2	4	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
LOC105378605	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0
LOC124903828	0	0	0	0	1	0	5	7	10	6	19	8	16	0	0	0	0	0	11	19	1	0	28	22	20	11
LOC105378604	0	0	0	1	0	0	1	4	4	1	1	6	2	0	1	0	1	0	15	18	0	1	27	18	9	8
ARHGEF16	40	37	24	9	27	36	40	39	26	13	31	23	29	0	29	47	84	64	17	24	17	18	12	9	8	5
MEGF6	121	32	76	41	67	43	147	187	537	463	700	679	644	0	221	205	293	298	104	89	51	70	57	62	26	29
LOC105378608	0	0	0	0	0	0	0	0	2	5	2	5	2	0	1	2	0	0	0	0	0	0	0	0	0	0
MIR551A	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	1	0	2	1	0	0	0	0	0	0	0
TPRG1L	150	103	97	51	132	130	212	231	656	585	316	382	279	0	293	206	330	272	160	139	101	125	149	152	185	163
WRAP73	63	41	39	18	43	35	47	64	96	107	78	102	71	0	48	48	45	46	43	38	15	27	26	31	21	24
TP73	41	17	24	6	28	25	12	17	10	8	8	8	8	0	8	17	16	12	6	6	6	1	6	6	5	3
TP73-AS3	1	0	1	0	0	1	0	2	1	0	1	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0
TP73-AS1	424	291	221	121	342	253	407	463	362	351	467	478	423	0	638	513	542	459	300	312	224	273	207	234	229	220
CCDC27	5	4	3	2	4	1	5	6	8	12	5	7	4	0	9	4	2	1	15	15	8	5	11	4	3	5
SMIM1	3	1	2	0	2	5	1	1	0	0	1	0	2	0	5	0	1	0	3	7	2	4	9	1	2	4
LRRC47	294	336	219	114	321	269	294	346	517	514	663	641	571	0	519	406	474	382	248	271	236	220	209	254	298	302
CEP104	298	229	208	87	237	199	579	626	1222	979	1053	1144	985	0	854	797	715	717	340	354	356	365	305	326	299	278
LOC124903829	5	9	1	0	7	1	21	17	57	49	37	45	33	0	26	20	26	26	12	19	11	11	7	1	7	4
DFFB	64	61	55	20	60	52	63	88	127	94	114	147	110	0	56	39	26	26	29	38	11	13	18	23	28	26
C1orf174	216	114	95	35	152	112	358	337	484	430	485	531	463	0	211	142	169	143	136	137	89	100	70	100	78	95
LINC01134	2	2	0	0	0	0	0	3	1	1	0	1	0	0	1	4	1	4	0	1	0	0	0	0	1	1
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376674	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	28	41	14	0	8	0	256	298	10	32	20	35	20	0	2	0	0	0	0	0	0	0	0	0	0	1
LINC02781	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC124900451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903830	0	0	1	0	2	0	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	2	1	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	60	38	57	18	54	47	205	252	193	136	179	186	170	0	186	233	188	224	101	85	20	39	33	66	43	43
KCNAB2	26	17	30	11	17	18	21	23	13	18	17	18	16	0	40	37	24	19	45	32	6	5	7	11	7	4
LOC124903831	0	0	0	1	0	0	3	2	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0
CHD5	11	0	16	2	5	3	5	4	8	6	13	6	14	0	6	4	3	1	5	2	2	0	0	0	0	2
RPL22	2903	1498	2122	1164	2485	2094	3231	3468	3012	3151	3370	3352	2790	0	3433	1942	3922	3680	2302	2359	917	1410	1738	2168	1792	1902
RNF207-AS1	0	0	0	0	0	2	1	0	5	0	1	0	1	0	1	0	0	0	1	5	2	2	4	8	4	6
RNF207	16	17	12	9	8	12	17	24	246	191	374	334	339	0	248	187	170	137	700	666	437	584	802	850	587	576
ICMT	1178	1179	1134	532	1355	1210	2183	2289	2619	2272	2360	2487	2103	0	2034	1858	1746	1669	703	688	741	739	853	890	796	773
ICMT-DT	14	29	20	7	29	18	17	19	3	8	3	8	3	0	10	6	8	12	1	2	1	1	1	2	8	3
HES3	5	5	4	0	3	4	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GPR153	41	39	14	5	30	17	32	26	20	10	15	22	15	1	24	24	15	13	45	35	19	12	39	50	32	47
ACOT7	531	638	522	250	635	553	411	457	1035	881	972	1246	895	0	357	344	357	322	53	88	229	175	142	151	165	195
HES2	0	2	0	0	2	4	1	3	3	1	8	5	8	0	0	1	1	1	0	0	0	0	0	1	0	0
ESPN	21	14	8	1	12	7	2	5	1	3	0	1	0	0	3	5	5	3	3	2	0	0	0	0	1	1
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	30	19	24	9	11	16	15	15	6	12	9	10	9	0	24	29	16	15	34	30	21	41	5	12	8	7
PLEKHG5	76	59	53	18	60	23	45	38	28	31	55	57	51	0	80	81	53	44	86	81	105	65	32	36	30	36
NOL9	400	408	464	218	530	372	988	1089	1183	1054	1282	1312	1169	0	1293	1195	1230	1147	336	395	327	324	357	430	404	373
TAS1R1	0	0	1	0	0	0	3	4	3	0	2	1	1	0	1	5	0	2	3	5	2	2	2	2	3	1
LOC107984912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ZBTB48	79	70	70	28	64	70	90	101	136	119	99	120	98	0	127	129	132	140	60	71	52	51	44	50	43	46
KLHL21	80	81	102	39	104	76	144	154	621	524	274	281	255	0	382	370	288	261	338	276	297	324	350	394	340	356
LOC107984913	2	3	1	0	3	1	5	5	19	17	13	17	12	0	29	26	18	23	23	8	22	29	19	31	36	36
PHF13	174	188	167	71	184	200	328	352	427	348	408	468	384	0	344	243	272	280	176	187	201	224	116	150	142	133
THAP3	33	19	27	9	23	12	19	30	43	33	51	44	46	0	41	25	48	27	37	32	34	30	36	36	21	25
DNAJC11	303	230	296	130	315	278	618	635	692	537	734	691	648	0	562	467	569	525	207	245	250	191	217	246	284	326
LINC01672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
LOC124904847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	3	1	0	0	4	0	3	5	1	0	0	0	0	0	0	1	0	3	4	1	3	2	4	4	1	1
CAMTA1	539	307	333	142	366	356	1118	1173	1200	1057	1205	1271	1101	1	469	473	536	664	982	966	525	733	829	936	841	784
LOC124903832	195	76	124	61	109	99	705	741	323	356	388	430	362	1	132	168	166	268	503	468	236	449	457	400	452	439
CAMTA1-AS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
LOC124900385	5	3	1	2	1	1	3	12	2	1	1	3	1	0	4	1	0	1	9	9	4	4	2	3	3	9
CAMTA1-AS2	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3	1	3	2	1
CAMTA1-AS1	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC105376691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	1	0	2
LOC105376689	37	9	7	1	15	10	45	45	16	27	31	25	27	0	7	11	16	9	25	22	13	18	15	11	10	5
VAMP3	546	366	355	160	458	373	932	1047	3191	2750	2962	3291	2626	0	1309	1162	1029	1004	954	985	925	1079	988	1107	1114	1059
PER3	228	99	155	101	182	135	121	109	250	265	144	184	131	0	34	34	30	27	325	301	69	103	337	367	278	245
