Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR26552110,RNA-Seq,202,4721079158,PRJNA1032897,SAMN38022223,1510060034,PGP1,iPSC-derived Cardiomyocyte,HARVARD MEDICAL SCHOOL,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX22253802,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868506,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:32:00Z,1,GSM7868506,PGP1,SRP468886
SRR26552111,RNA-Seq,202,5676438360,PRJNA1032897,SAMN38022224,1808812808,PGP1,iPSC-derived Cardiomyocyte,HARVARD MEDICAL SCHOOL,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX22253801,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868505,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:37:00Z,1,GSM7868505,PGP1,SRP468886
SRR26552112,RNA-Seq,202,6843090976,PRJNA1032897,SAMN38022225,2180681172,PGP1,iPSC-derived Cardiomyocyte,HARVARD MEDICAL SCHOOL,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX22253800,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868504,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:33:00Z,1,GSM7868504,PGP1,SRP468886
SRR26552113,RNA-Seq,202,6411881374,PRJNA1032897,SAMN38022226,2043544808,PGP1,iPSC-derived Cardiac Progenitor,HARVARD MEDICAL SCHOOL,missing,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX22253799,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868503,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:33:00Z,1,GSM7868503,PGP1,SRP468886
SRR26552114,RNA-Seq,202,4803165696,PRJNA1032897,SAMN38022227,1539124349,PGP1,iPSC-derived Cardiac Progenitor,HARVARD MEDICAL SCHOOL,missing,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX22253798,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868502,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:32:00Z,1,GSM7868502,PGP1,SRP468886
SRR26552115,RNA-Seq,202,4573316158,PRJNA1032897,SAMN38022228,1453633681,PGP1,iPSC-derived Cardiac Progenitor,HARVARD MEDICAL SCHOOL,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22253797,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868501,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:32:00Z,1,GSM7868501,PGP1,SRP468886
SRR26552116,RNA-Seq,202,6553355306,PRJNA1032897,SAMN38022229,2097120025,PGP1,iPSC-derived Cardiac Mesoderm,HARVARD MEDICAL SCHOOL,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX22253796,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:33:00Z,1,GSM7868500,PGP1,SRP468886
SRR26552117,RNA-Seq,202,5806999848,PRJNA1032897,SAMN38022230,1849126158,PGP1,iPSC-derived Cardiac Mesoderm,HARVARD MEDICAL SCHOOL,missing,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX22253795,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868499,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:34:00Z,1,GSM7868499,PGP1,SRP468886
SRR26552118,RNA-Seq,202,5501205986,PRJNA1032897,SAMN38022231,1755917779,PGP1,iPSC-derived Cardiac Mesoderm,HARVARD MEDICAL SCHOOL,missing,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX22253794,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868498,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:33:00Z,1,GSM7868498,PGP1,SRP468886
SRR26552119,RNA-Seq,202,4700652110,PRJNA1032897,SAMN38022232,1495652941,PGP1,iPSC-derived Mesoderm,HARVARD MEDICAL SCHOOL,missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX22253793,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868497,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:32:00Z,1,GSM7868497,PGP1,SRP468886
SRR26552120,RNA-Seq,202,4871681066,PRJNA1032897,SAMN38022233,1551931638,PGP1,iPSC-derived Mesoderm,HARVARD MEDICAL SCHOOL,missing,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX22253792,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868496,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:32:00Z,1,GSM7868496,PGP1,SRP468886
