	day30_rep1_gfp_oe	day30_rep1_control	day30_rep1_epi	day30_rep2_gfp_oe	day30_rep1_hey2	day30_rep2_hey2_ge	day30_rep2_hey2	day30_rep1_hey2_ge	day30_rep2_hey2_oe	day30_rep1_hey2_oe	day30_rep1_tbx5	day30_rep3_tbx5_ge	day30_rep2_tbx5	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe	day30_rep1_nr2f_ge	day30_rep2_nr2f_ge	day30_rep1_nr2f	day30_rep2_nr2f	day30_rep3_nr2f_ge	day30_rep4_nr2f_ge	day30_rep1_nr2f_oe
LOC100132287	4	2	2	0	10	3	13	7	1	2	30	21	34	13	14	1	3	7	3	6	9	0	5	1
LOC124904706	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
LOC105378947	2	2	2	2	0	2	4	1	2	5	2	5	2	1	3	3	6	1	1	0	1	0	0	3
LOC101928626	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR12136	25	37	70	9	10	105	84	74	14	11	9	9	160	52	25	16	17	209	39	13	11	44	36	6
OR4F16	3	11	14	4	14	14	14	9	7	5	17	2	39	12	3	5	7	21	15	8	16	12	8	5
LOC100288069	107	106	393	95	222	129	274	104	149	94	275	159	289	124	130	110	147	19	115	171	171	106	161	158
LINC01409	30	47	76	38	72	55	62	19	36	23	40	14	59	50	30	44	40	13	68	27	81	39	50	60
LOC124903817	7	17	36	11	28	15	26	9	16	12	22	6	21	12	16	12	14	14	16	17	29	13	10	16
FAM87B	6	7	21	8	18	12	12	10	8	6	6	1	17	6	3	4	11	3	7	13	23	6	5	17
LINC00115	43	90	62	53	63	63	56	32	48	30	32	31	37	36	52	41	50	84	64	24	93	69	55	33
LINC01128	562	516	750	666	1265	696	1248	604	943	606	844	893	1258	762	455	683	893	204	448	692	700	443	522	680
LOC107984850	6	7	8	4	7	4	2	0	6	3	3	5	2	7	1	6	1	5	3	4	3	3	3	4
FAM41C	2	1	1	1	0	2	1	0	2	1	0	1	1	5	0	0	1	1	7	1	2	1	1	3
LOC284600	131	63	471	54	647	189	1311	191	57	119	637	78	875	257	145	151	69	333	291	52	135	258	282	227
LINC02593	27	31	107	11	415	88	523	151	14	21	192	27	465	177	47	38	19	50	87	12	46	80	155	48
LOC107985728	34	51	192	10	724	106	921	268	26	48	379	45	977	310	109	72	30	38	214	18	72	137	277	111
SAMD11	804	480	1315	115	3425	527	5198	1145	124	896	1459	226	4989	1249	703	1006	140	1105	1366	136	883	817	1957	1088
NOC2L	3507	2008	3946	2921	3993	2796	3375	3182	4242	3123	3580	6900	3739	2094	3775	2938	3155	1771	2910	3307	4183	3499	1735	3342
KLHL17	479	321	870	228	635	381	1027	502	375	367	704	803	1199	690	838	452	349	565	678	409	894	736	617	582
PLEKHN1	10	19	19	7	11	12	18	13	16	6	6	57	8	5	35	8	4	6	22	4	14	17	10	12
PERM1	1	1	0	1	2	2	2	2	2	4	2	4	4	1	3	1	1	0	3	2	0	0	4	0
HES4	2130	2322	1690	830	3246	2371	4031	2156	1314	1083	1509	1511	5399	1171	1427	1371	940	3798	1645	1610	2771	4884	2551	1066
ISG15	861	1974	436	603	672	631	584	745	840	482	365	723	635	349	649	575	556	580	396	757	678	1297	320	432
AGRN	5738	10266	32608	6057	19108	5886	28759	10433	7875	5105	41745	8375	45917	19080	12351	5522	8233	4074	25205	13173	21244	12638	10149	7064
LOC100288175	14	8	17	16	4	6	10	4	14	13	9	59	2	4	15	10	12	0	16	4	7	6	5	12
LOC105378948	2	17	40	4	21	7	31	14	5	5	16	13	24	11	18	3	6	10	43	8	22	14	46	3
RNF223	2	0	2	0	2	2	1	3	3	1	3	15	5	0	4	1	1	0	3	0	3	2	4	3
C1orf159	243	285	670	206	594	373	787	453	281	238	474	418	608	291	419	269	294	477	518	343	522	506	345	253
LOC124903819	2	1	11	3	2	5	12	3	4	3	1	4	3	3	1	1	2	0	4	4	5	0	0	2
LOC124903820	0	0	3	1	1	0	0	0	1	0	0	2	1	3	0	0	0	0	0	0	3	0	0	1
LINC01342	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	3	0	1	0	0	0
LOC124903818	0	0	4	0	3	0	5	3	1	2	1	1	1	1	6	0	0	0	4	1	2	0	4	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	3	0	0	2	2	1	0	1	0	1	1	1	0	2	0	0	0	0	0	0	2	0
TTLL10	0	0	14	0	0	1	2	0	0	0	5	4	2	1	0	3	0	3	11	2	4	1	2	0
TNFRSF18	0	6	6	1	0	0	2	1	2	2	1	3	5	0	1	4	2	0	5	5	5	0	5	3
TNFRSF4	4	3	1	5	2	4	2	4	5	1	12	4	2	2	11	2	5	1	5	3	1	4	4	0
SDF4	3730	5795	8500	4449	8831	5131	9401	7405	5257	3023	9918	12120	12137	6625	6003	3010	5188	6502	9091	6419	9132	7361	4604	3081
B3GALT6	1301	1353	2637	1187	2469	1659	2606	2341	1450	1007	2157	1843	3599	1655	2017	1102	1360	1818	2402	2087	2399	2778	1014	1080
C1QTNF12	18	54	97	19	41	16	76	28	27	26	61	36	60	24	22	11	36	26	49	18	46	9	16	19
UBE2J2	3141	1505	2852	2438	2717	1969	2796	2284	3078	2252	2377	3834	3099	1817	2618	2122	2676	2187	2639	2167	2862	2833	1231	2414
SCNN1D	236	352	498	172	295	185	746	182	281	172	331	117	491	194	77	222	229	280	179	167	252	234	259	188
ACAP3	2532	2222	3944	1781	3548	1965	4086	2431	2445	1890	2851	1159	3765	1934	1957	2127	2231	1867	3114	2862	3822	2803	2011	2224
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD167	2	1	2	3	1	1	6	1	4	0	3	1	5	4	2	3	1	0	2	5	3	0	0	1
PUSL1	618	434	647	488	712	337	559	524	618	462	556	635	601	337	585	473	547	729	710	606	771	696	313	433
INTS11	2531	2536	4668	2345	3615	1918	4140	2241	3147	2337	2821	2825	4186	2393	2564	2311	2605	2823	2840	2353	3402	2818	1728	2178
MIR6727	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CPTP	818	1141	1432	823	1471	973	1750	1012	1133	641	1133	982	1674	798	992	605	829	1776	1194	1165	1613	1194	984	625
TAS1R3	45	24	88	37	50	39	70	48	44	34	49	169	80	29	15	54	39	22	25	54	74	30	6	29
DVL1	1713	2747	4233	1894	3322	2111	4511	2667	2410	1378	2555	2890	4515	2260	2798	1394	2027	2012	2994	2649	4286	2781	1786	1367
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	469	3310	6044	2046	1370	555	2869	700	1965	392	4077	1701	4367	5631	3850	385	2828	4264	5250	1347	4303	2429	1851	440
AURKAIP1	3023	2294	3022	2431	4004	4438	4026	4345	3671	2132	2743	5329	4287	2220	3290	2009	2505	4390	3106	3334	4397	4566	1724	1819
CCNL2	5107	4033	9362	4819	7003	4353	8550	4512	5557	3821	7596	6427	8305	5752	5736	4623	5435	3695	6192	4421	5986	6454	3780	5724
MRPL20-AS1	481	376	776	469	709	512	755	494	605	392	715	570	813	466	613	379	480	524	570	547	821	575	300	411
MRPL20	2592	1017	1527	1851	1850	1785	1576	1903	2403	1977	1396	2265	1706	1268	1520	2138	1901	1520	1275	1524	1647	1928	663	1622
MRPL20-DT	200	122	200	140	111	126	165	87	161	118	124	252	176	112	181	133	122	98	101	63	173	107	137	147
ANKRD65	3	6	6	1	0	1	0	2	2	2	1	8	4	4	4	1	3	8	4	5	5	2	7	2
ANKRD65-AS1	0	0	5	0	4	0	1	2	1	1	0	1	2	1	1	0	4	2	0	0	1	2	1	3
TMEM88B	30	8	71	21	1	2	13	8	21	12	13	3	10	6	14	18	16	18	14	12	6	7	13	11
LINC01770	75	112	205	99	5	7	40	12	85	53	4	1	10	5	5	81	85	35	16	25	16	13	52	48
LOC107985729	25	39	87	38	0	5	26	2	32	31	1	1	12	1	3	35	44	0	12	21	13	10	39	26
VWA1	561	1272	2693	710	424	445	1368	465	809	483	585	480	888	508	963	463	819	1796	1353	867	877	728	654	512
ATAD3C	22	4	27	12	1	8	9	3	7	15	7	19	7	2	6	13	8	1	6	2	3	6	14	7
ATAD3B	1564	1003	1751	1031	1691	1290	2184	1064	1535	806	1493	1647	2316	836	2387	975	1110	887	1215	1127	1440	1485	757	1250
ATAD3A	1764	1226	2260	1597	2610	1892	2332	2276	2136	1265	1882	1905	2632	995	2395	1278	1601	1407	1804	2129	2408	2289	1083	1434
TMEM240	113	140	405	94	285	100	615	171	106	113	116	48	369	128	75	115	118	322	121	108	154	190	196	89
SSU72	4152	2190	4296	3197	3371	3138	3541	3245	3744	3474	3122	4383	4266	2867	3359	3562	3400	3232	3068	3439	4457	3489	1640	3135
FNDC10	238	855	1264	240	1277	665	2379	740	276	179	818	62	1784	794	452	201	338	1213	861	554	904	931	1025	192
LOC105378586	4	13	23	10	39	15	67	24	10	9	14	3	41	15	4	5	8	15	17	20	25	17	17	9
MIB2	1005	2018	2944	1118	2604	1087	3768	1796	1450	814	2057	1119	3414	1305	754	815	1318	1015	1798	1744	2857	1731	1391	843
LOC124903821	41	304	504	82	245	118	480	197	154	51	251	165	483	225	113	42	118	90	186	183	254	219	219	63
MMP23B	393	1811	1073	396	1196	430	1906	811	360	474	741	88	2237	1069	298	506	541	1629	822	496	1571	1006	902	226
CDK11B	2147	1128	2007	1550	1614	1067	1951	1379	1941	1505	1556	4012	1954	1341	1614	1507	1775	1669	1268	1672	1593	1553	939	1767
SLC35E2B	1397	1768	6052	1828	3898	2029	4834	2167	1769	1509	3294	1057	4001	2329	2118	1811	2480	676	3505	2620	3434	2937	1762	2148
MMP23A	12	63	79	13	54	28	160	39	15	8	31	8	149	43	30	20	14	69	33	20	43	57	24	12
CDK11A	1262	479	991	792	732	524	885	725	1132	725	561	1900	704	470	616	742	947	689	604	903	766	765	384	1002
SLC35E2A	426	548	1639	467	1242	590	2004	611	416	464	2074	450	2455	1270	1002	548	614	236	831	550	1131	649	651	593
LOC112268218	1	4	5	0	4	1	7	2	2	1	4	1	5	1	1	0	2	0	1	2	4	10	1	2
NADK	1458	1103	3050	1459	2345	1379	2701	1505	1584	1238	2578	2376	2985	2036	2456	1375	1584	998	2305	1461	2076	2068	1048	1484
GNB1	10812	5669	16711	11591	13883	13068	13112	10777	13353	10505	14348	20727	17069	10543	20236	10936	13574	4941	14110	11221	11969	14993	7148	12870
GNB1-DT	17	36	52	21	43	27	81	42	14	31	25	20	22	8	16	23	19	46	33	32	39	37	32	27
LOC124903822	12	27	27	12	12	8	34	18	18	13	12	7	21	17	7	9	18	1	31	10	19	14	9	16
CALML6	4	13	24	2	1	2	11	1	10	1	11	1	18	9	3	5	7	10	8	0	4	7	2	6
TMEM52	12	23	31	8	19	8	24	13	15	19	18	46	26	13	14	10	10	15	28	14	19	15	24	10
CFAP74	0	5	25	3	0	1	5	1	1	5	0	5	3	0	3	5	1	2	12	4	0	2	2	3
LOC107984872	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
LOC105378589	0	1	2	0	0	1	0	2	0	3	2	4	0	0	2	0	0	0	2	3	1	0	0	5
GABRD	6	3	7	0	0	0	3	0	2	3	1	2	1	0	7	4	3	7	8	2	0	0	3	5
LOC105378590	1	0	0	0	0	1	0	0	0	1	0	2	0	0	2	1	0	0	2	0	1	0	0	0
PRKCZ	1027	979	1708	845	1197	656	1473	1077	1191	1035	1020	1455	789	298	496	1027	939	381	1001	1244	1631	790	915	736
PRKCZ-DT	0	7	3	0	2	5	5	5	0	1	1	3	2	0	2	0	1	0	1	2	2	2	4	0
PRKCZ-AS1	61	86	163	57	76	57	150	45	81	90	102	68	121	58	86	68	71	55	83	61	107	60	37	67
FAAP20	1698	2196	2865	1319	2726	1606	3344	2371	1555	1312	2032	1143	3756	1777	1659	1367	1351	5393	2377	1844	2658	3222	1925	904
LOC112268219	97	157	274	92	174	135	287	121	107	83	168	141	258	149	155	87	148	139	199	85	193	175	92	70
LOC105378593	4	3	30	6	2	5	14	5	4	0	8	2	13	7	0	8	5	20	6	16	14	8	3	6
LOC124903823	0	0	7	1	0	2	1	1	0	3	2	3	2	0	0	1	0	0	0	9	2	0	2	1
SKI	2098	2672	8139	2912	3744	1722	4491	2107	3031	1894	5740	9374	5953	3883	4196	1986	3563	1076	5436	3071	4342	2754	1947	2547
LOC124903824	40	125	254	79	118	99	263	145	99	57	112	22	198	55	48	60	101	150	88	111	210	132	103	23
MORN1	214	305	602	209	295	239	492	202	250	177	379	68	357	196	174	194	252	160	289	255	282	204	168	217
LOC100129534	42	102	185	57	66	68	135	31	61	37	85	4	89	55	31	55	91	46	31	39	61	37	45	58
RER1	2346	1170	2699	2321	2340	1664	2133	1755	2730	1903	2665	4011	2752	2100	2555	1984	2773	1246	2412	1825	2472	1979	798	2164
PEX10	584	678	1019	608	870	645	1065	805	769	563	621	319	1000	496	421	557	682	389	669	674	926	712	414	544
PLCH2	20	50	149	18	168	33	403	37	40	13	57	19	126	21	29	25	28	16	108	39	88	35	20	27
PANK4	1403	1328	1757	1472	2290	1219	2222	1714	2009	1521	1349	1837	1919	946	962	1359	1519	984	966	1849	2192	1367	1458	1317
HES5	82	0	8	2	1	1	1	0	0	79	0	0	1	0	1	112	5	0	86	1	2	1	0	135
TNFRSF14-AS1	2	0	0	0	0	0	0	0	0	2	0	2	1	1	0	0	0	0	1	1	1	0	4	2
TNFRSF14	0	17	2	3	0	0	2	1	1	1	1	3	0	0	2	2	3	6	3	1	4	0	13	0
LOC100996583	2	0	3	2	0	2	0	1	0	1	0	1	1	0	1	0	0	0	3	1	0	0	3	0
PRXL2B	659	959	1987	668	1654	1171	1997	1398	749	691	1108	866	1499	676	1149	747	678	613	989	1378	1348	1591	932	599
MMEL1	3	7	26	7	3	2	15	1	6	2	5	2	2	4	4	2	7	14	11	2	2	7	2	2
MMEL1-AS1	3	2	9	0	0	4	3	5	2	4	1	4	4	0	1	1	0	0	2	0	6	1	1	4
TTC34	15	61	77	20	45	28	125	25	23	14	41	4	88	29	19	22	20	8	41	39	44	29	38	16
LOC105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC124903826	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903827	409	1916	3282	351	85	15	219	26	395	575	33	7	135	45	28	691	556	143	152	465	658	146	354	311
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	800	2355	3681	779	182	46	290	70	956	1326	125	41	509	171	80	1502	1183	97	302	1524	1164	173	539	800
MIR4251	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
LOC105378606	0	4	3	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	2	3	0	0	1
LOC107984909	25	47	76	15	3	1	8	2	16	29	2	3	7	4	3	38	23	2	4	27	36	10	16	23
LOC105378605	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0
LOC124903828	16	46	195	42	5	7	7	8	48	37	6	4	14	17	5	60	52	3	7	53	32	9	16	19
LOC105378604	100	127	373	111	6	1	8	2	99	102	5	2	17	4	5	102	96	8	45	127	86	16	8	33
ARHGEF16	114	50	196	53	130	127	220	210	85	99	238	387	216	100	511	141	43	131	162	201	233	219	242	96
MEGF6	756	3252	5824	1185	6446	1193	10052	4141	1631	1087	9711	499	11845	5269	2047	1094	1649	3203	7358	2841	5731	4165	2740	724
LOC105378608	0	1	0	0	0	1	0	0	0	0	1	1	1	0	3	0	0	4	1	0	2	0	4	0
MIR551A	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0
TPRG1L	1096	848	1536	1463	1898	1207	1730	1517	1536	1171	2086	2547	2455	1459	1681	1130	1711	817	1329	1301	1890	1217	696	953
WRAP73	344	253	405	293	469	328	525	372	340	314	455	926	544	367	386	320	282	309	344	357	495	371	222	344
TP73	16	46	41	12	39	17	61	16	12	20	58	20	81	17	23	13	19	28	14	14	17	13	5	19
TP73-AS3	3	0	2	0	0	8	2	1	2	3	0	4	0	0	2	2	0	5	0	0	4	0	1	1
TP73-AS1	1255	1580	2755	1306	2216	1318	2981	1272	1436	1292	2121	1391	2712	1396	1348	1292	1533	762	1488	1627	2315	1614	1448	1178
CCDC27	47	82	74	39	38	26	99	62	46	47	32	5	55	23	7	33	43	4	16	58	78	30	55	36
SMIM1	161	350	254	100	84	77	185	158	104	197	118	30	197	258	36	203	111	548	251	130	224	188	143	75
LRRC47	3587	3480	4327	3087	4614	2556	4359	3274	4011	3077	3351	4150	4468	2151	2357	3073	3153	2418	2888	4007	4720	3155	2214	2927
CEP104	1167	422	1225	1290	973	835	919	760	1590	1098	1024	2402	957	540	995	1101	1293	284	781	1142	960	814	456	1459
LOC124903829	0	10	6	3	6	6	4	2	7	4	1	10	4	3	6	5	6	1	1	7	2	3	0	4
DFFB	123	99	203	98	223	132	259	112	124	83	218	329	264	111	219	94	129	113	148	140	189	160	95	85
C1orf174	410	298	554	374	528	408	445	296	391	359	661	767	650	507	818	363	408	378	467	329	513	537	275	416
LINC01134	17	0	14	12	15	11	7	15	6	13	7	16	6	8	16	9	12	5	8	12	16	8	0	11
LINC01346	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
LINC01777	3	4	0	0	0	0	0	1	0	3	0	1	0	1	0	2	1	0	0	0	0	0	1	1
LOC105376674	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC124904578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	1	0	3	2	1	1	0	2	0	1	0	3	0	0	0	1	1	0	0	1	0	0	0	0
AJAP1	193	26	249	88	2	5	12	8	95	185	128	30	57	46	21	212	77	31	99	55	47	16	12	332
LINC02781	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0
LOC124904589	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1
LOC124900451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903830	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	1	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	283	286	868	233	546	296	625	280	299	269	446	275	534	331	364	278	336	147	581	260	414	476	364	376
KCNAB2	124	205	463	188	264	137	590	175	178	149	246	92	334	194	65	143	201	194	301	83	202	230	305	188
LOC124903831	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
CHD5	75	87	72	31	156	20	102	29	66	63	108	111	223	141	23	106	50	21	153	33	39	18	98	155
RPL22	9342	3250	11325	8916	9067	5348	10931	5424	8924	8510	8642	6443	10531	8707	6235	8672	9964	6264	6511	4312	7895	6635	2816	8284
RNF207-AS1	86	103	101	67	185	79	219	165	108	69	94	26	199	53	19	116	76	39	46	118	139	117	100	49
RNF207	2480	6941	6880	3729	10042	2947	12460	6340	4297	3074	3873	444	7755	2681	569	3751	4349	795	1824	6219	5485	3623	3676	2162
ICMT	2184	1518	3088	2282	3353	2731	3186	2353	2596	2223	3431	2042	4129	2358	3492	2535	2808	1037	1921	2612	3133	2440	1314	2701
ICMT-DT	7	0	12	2	9	15	14	6	9	10	9	7	8	1	21	17	4	9	6	13	12	6	8	4
HES3	3	0	0	1	0	0	0	0	0	4	0	2	0	0	0	3	0	0	1	0	1	0	0	5
GPR153	482	1308	1385	426	1335	316	2024	382	399	467	786	449	1994	1039	402	486	490	1111	921	456	1331	790	824	598
ACOT7	1618	726	1289	878	1951	1347	1194	1095	1248	1251	1417	1989	1911	1044	2463	1344	1013	1215	1686	1337	1646	2497	1036	1488
HES2	14	4	4	5	1	2	1	4	2	20	7	11	2	0	18	11	4	0	6	1	7	6	2	25
ESPN	8	2	13	6	5	6	12	8	4	7	17	20	18	0	10	6	4	11	33	5	12	15	53	13
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	114	99	413	104	207	90	386	134	129	85	230	225	354	155	101	102	128	210	118	138	348	168	161	126
PLEKHG5	486	562	1610	509	970	411	2239	877	767	427	979	759	1902	594	487	462	600	670	811	900	1975	909	896	627
NOL9	1383	526	1315	1080	1216	677	937	756	1369	1257	1002	2023	1000	620	966	1219	1220	329	787	1091	862	784	410	1430
TAS1R1	4	2	4	5	3	3	2	0	5	5	2	11	2	2	2	2	2	9	1	3	4	0	5	5
LOC107984912	1	0	4	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB48	953	406	880	705	654	368	862	482	1024	672	560	981	898	377	468	686	721	496	481	406	627	468	368	779
KLHL21	3727	3511	4130	4074	5895	5264	4182	4777	4823	3533	4815	4190	5812	2715	2270	3852	3993	663	2271	6697	7031	4522	2128	3202
LOC107984913	49	63	109	65	87	90	74	72	58	77	117	84	138	62	23	81	74	45	30	150	158	56	43	67
PHF13	1134	1083	2422	1287	1980	1113	2206	1183	1299	1214	1696	1186	2190	1116	1527	1192	1519	970	1087	1216	1722	1392	1213	1133
THAP3	786	306	589	562	644	442	726	461	709	601	374	879	535	347	394	563	605	544	449	349	535	477	406	552
DNAJC11	1817	785	1579	1999	1854	1321	1594	1464	2720	1823	1646	2129	1644	979	1261	1867	2114	377	1016	1588	1749	1244	782	2027
LINC01672	0	0	0	0	0	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC124904847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	35	29	39	28	40	33	73	24	14	11	16	15	54	30	33	26	23	52	28	17	55	46	37	23
CAMTA1	2622	808	2027	1582	2421	1896	2435	1976	2024	2050	1277	2285	2874	1173	1354	2364	1620	1267	1077	1462	1942	1869	946	1945
LOC124903832	27	9	25	8	19	17	11	11	14	17	9	42	24	3	7	18	21	16	2	24	11	1	2	25
CAMTA1-AS3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
LOC124900385	2	1	3	2	4	3	1	3	2	3	0	3	3	1	0	1	1	0	0	0	1	1	0	0
CAMTA1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-AS1	1	0	0	0	0	0	1	0	0	1	2	2	0	0	0	0	0	7	0	0	0	0	0	0
