	BOR_1	BOR_2	BOR_3	BOR_4	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4
LINC02593	0	0	2	0	5	33	15	6	1	8	5	1	2	0	3	1	5	3	1	0
LOC107985728	0	1	0	0	5	40	22	14	5	6	17	18	10	1	9	6	5	8	5	0
SAMD11	1	2	0	0	31	159	98	32	10	29	46	41	28	3	19	15	18	16	10	1
NOC2L	1654	1753	770	2762	2287	1991	966	2669	888	981	836	658	1420	658	2050	1826	695	1040	1215	453
KLHL17	86	73	106	62	313	162	86	217	101	92	103	106	109	21	148	131	76	102	93	20
PLEKHN1	1	0	7	11	16	4	6	10	1	4	5	2	2	1	2	1	1	4	3	0
PERM1	0	0	1	8	0	2	0	0	1	2	0	0	0	0	0	2	0	3	0	0
HES4	20	9	42	16	415	261	156	661	183	190	148	76	232	34	313	398	161	173	155	98
ISG15	79	61	65	108	654	391	229	9772	189	374	178	166	226	64	272	267	109	373	96	52
AGRN	231	265	265	291	5657	5805	3011	10760	2375	2383	2286	1499	4378	1744	6620	4463	1408	2315	3299	929
LOC100288175	4	4	15	8	10	39	18	7	5	7	4	5	6	2	10	7	2	9	2	0
LOC105378948	1	3	2	6	7	15	8	20	8	5	5	10	5	0	1	8	8	13	2	3
RNF223	0	0	4	0	0	13	9	2	1	1	2	0	2	0	0	0	0	0	1	0
C1orf159	61	42	72	61	258	227	122	201	90	123	129	109	150	51	233	259	67	133	122	60
LOC124903819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0
LOC124903820	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
LINC01342	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC124903818	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	3	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	0	0	2	5	1	4	0	1	1	1	1	0	0	1	0	1	0	1
TNFRSF4	0	0	0	0	0	2	0	1	0	1	0	3	1	0	0	0	3	0	0	0
SDF4	1341	1332	790	1932	4201	3096	1523	4603	1402	1707	1616	1035	2285	813	3008	2949	1244	1722	1582	735
B3GALT6	105	96	91	149	844	707	369	1023	336	374	361	219	460	215	849	669	246	359	490	149
C1QTNF12	1	4	6	4	26	26	26	52	9	17	11	23	17	6	13	36	14	20	17	6
UBE2J2	673	597	453	987	1417	1164	550	1216	505	697	548	357	812	304	1115	1083	432	569	780	308
SCNN1D	21	9	20	28	253	138	87	198	108	131	174	117	123	36	214	218	117	192	99	38
ACAP3	437	471	383	499	2477	1238	702	2881	932	856	913	430	1137	395	2075	1810	828	1014	963	374
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD167	2	2	1	0	14	4	2	20	5	5	8	5	2	1	14	14	6	5	5	2
PUSL1	37	46	58	42	345	225	133	356	120	112	126	58	157	60	264	202	84	115	137	50
INTS11	1300	1313	876	1897	2450	1703	955	1959	967	1096	1171	657	1349	497	2039	2092	829	1262	978	494
MIR6727	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPTP	267	241	138	228	855	530	318	680	302	312	292	195	519	149	599	735	252	317	346	182
TAS1R3	6	7	1	1	56	26	16	50	28	40	39	22	27	11	34	69	24	34	10	16
DVL1	343	355	356	509	1361	857	465	1130	422	532	517	355	613	253	931	1077	363	524	469	234
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	61	110	105	140	644	1042	750	294	154	577	668	390	346	30	153	294	164	529	70	81
AURKAIP1	738	622	395	641	2324	1298	699	2321	747	638	552	403	1020	392	1767	1552	488	680	905	334
CCNL2	1283	1253	1281	2722	6732	5202	2676	6351	2518	3061	2841	1775	2869	1462	5152	4272	2864	3502	3100	1220
MRPL20-AS1	104	103	76	154	423	345	184	620	193	188	160	98	261	161	477	344	150	206	285	79
MRPL20	639	561	308	751	2608	1361	747	2580	717	792	723	389	910	478	1674	1512	632	778	918	402
MRPL20-DT	31	34	19	86	221	157	70	141	83	88	82	28	102	35	128	111	78	95	95	46
ANKRD65	0	0	0	0	3	4	5	5	0	9	6	6	0	0	1	1	2	3	0	2
ANKRD65-AS1	0	0	0	0	1	0	1	0	0	1	1	4	0	0	0	1	0	4	0	2
TMEM88B	0	0	3	1	18	20	7	12	7	9	8	12	3	0	5	5	9	8	2	1
LINC01770	1	0	9	0	68	48	22	73	33	29	28	29	23	0	1	19	19	37	0	1
LOC107985729	2	1	7	0	32	22	16	29	16	19	21	23	8	0	0	6	13	21	1	0
VWA1	12	9	23	12	278	357	192	364	134	175	147	133	127	4	25	88	76	142	21	16
ATAD3C	3	0	1	0	12	11	5	5	0	0	5	6	7	1	1	3	5	3	2	0
ATAD3B	551	522	315	803	1164	719	362	1091	468	471	497	296	464	214	878	783	391	585	503	189
ATAD3A	353	252	185	443	1061	676	376	964	320	326	353	194	498	249	950	745	251	292	510	196
TMEM240	19	11	19	12	157	75	35	139	63	74	40	48	56	29	106	128	32	90	66	26
SSU72	628	584	317	1165	3563	2275	1110	2627	946	1071	903	604	1470	619	2130	1956	827	881	1354	585
FNDC10	0	0	3	0	276	207	94	151	86	46	61	92	157	34	182	125	59	48	87	21
LOC105378586	0	0	0	2	5	1	2	2	2	2	0	3	1	1	2	0	3	1	1	0
MIB2	122	131	100	157	1219	584	331	1348	566	522	539	445	618	219	1018	944	535	696	601	210
LOC124903821	26	26	27	13	302	171	134	559	264	339	267	177	198	51	302	492	303	460	198	106
MMP23B	3	1	10	0	219	83	67	220	68	109	100	69	137	20	139	234	59	115	89	45
CDK11B	683	584	538	1261	1376	996	565	1424	503	677	574	354	825	321	1017	1102	487	667	768	320
SLC35E2B	395	355	312	698	2617	1842	1048	1864	855	1180	1244	877	1402	825	2297	2083	905	1450	1266	617
MMP23A	0	0	1	0	9	5	1	9	2	6	1	5	9	0	0	7	7	1	5	3
CDK11A	297	248	216	437	532	396	197	533	163	250	216	137	263	124	377	374	175	255	247	101
SLC35E2A	35	38	35	130	1036	513	350	567	318	408	420	415	574	357	1185	819	395	513	729	263
LOC112268218	0	0	0	0	2	0	0	2	2	3	1	2	5	1	1	1	1	4	2	0
NADK	676	714	554	1164	1389	1163	539	1441	519	605	572	280	651	282	1035	927	425	620	558	250
GNB1	3009	2634	2232	6497	12395	12074	6020	9282	4454	5319	4649	2808	7075	3538	9546	8050	3651	4079	5540	2439
GNB1-DT	1	1	1	6	12	17	11	12	11	5	12	6	12	7	22	8	6	6	8	4
LOC124903822	0	0	0	0	5	0	1	2	1	7	2	1	1	0	3	2	2	4	4	0
CALML6	0	1	0	0	7	4	3	4	0	4	3	6	5	1	3	2	1	8	3	1
TMEM52	0	0	0	3	8	9	2	6	6	10	5	6	9	4	10	16	2	5	5	2
CFAP74	0	0	0	0	2	0	1	5	0	4	2	3	0	0	0	0	0	0	0	0
LOC107984872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105378589	0	0	0	0	2	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378590	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PRKCZ	370	485	428	881	1157	890	397	1269	441	484	414	316	726	344	1118	893	387	510	725	269
PRKCZ-DT	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0
PRKCZ-AS1	34	45	76	92	97	113	71	98	59	44	46	45	83	40	145	109	63	88	98	38
FAAP20	124	94	161	162	1157	755	432	1070	398	462	411	302	637	178	817	838	274	464	420	216
LOC112268219	56	38	60	63	241	143	64	174	99	93	95	78	103	45	186	160	81	95	111	43
LOC105378593	0	0	1	1	11	8	5	3	6	7	10	9	9	0	9	11	6	16	6	1
LOC124903823	0	0	0	0	8	0	1	0	1	2	1	0	4	1	2	3	1	2	3	1
SKI	864	854	735	1815	3558	3206	1702	3006	1368	1879	1652	1062	2716	984	3263	3362	1130	1742	1950	1048
LOC124903824	8	13	11	19	63	44	22	91	34	26	32	45	31	17	108	68	26	51	42	17
MORN1	16	14	6	27	138	89	54	131	57	64	54	48	84	29	111	128	44	91	69	32
LOC100129534	0	0	0	1	42	39	23	13	12	21	19	31	21	4	25	29	12	38	13	4
RER1	684	721	432	1647	2327	1820	880	1549	723	997	781	478	1086	548	1633	1602	717	813	944	419
PEX10	89	107	34	122	422	276	194	386	202	203	188	101	284	101	427	426	144	218	210	88
PLCH2	0	2	1	0	14	6	8	12	7	10	9	2	7	5	13	3	3	19	6	0
PANK4	394	402	369	461	1836	941	487	1524	581	699	639	313	751	365	1343	1160	510	620	662	314
HES5	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
TNFRSF14-AS1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14	0	0	0	10	1	38	18	6	0	4	4	1	1	0	6	0	0	7	0	1
LOC100996583	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	3	0	2	0	0
PRXL2B	117	114	71	171	666	580	365	716	289	383	337	198	391	180	673	553	239	402	350	148
MMEL1	1	2	2	0	3	1	2	0	1	1	3	3	2	0	0	0	2	1	0	0
MMEL1-AS1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	3	1	1	2	0	0
TTC34	1	4	1	9	19	17	17	19	18	31	23	33	16	4	20	41	28	37	8	8
LOC105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903827	244	231	52	307	3092	1494	1095	3263	1302	1365	1097	1995	1797	606	2285	2814	1705	2474	1344	785
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	278	142	459	203	3698	2452	1168	1960	935	1828	1220	1764	1941	967	3239	3113	984	1312	2062	777
MIR4251	2	0	0	2	1	0	2	2	0	4	4	2	0	2	0	1	3	2	3	1
LOC105378606	2	5	1	2	8	2	0	10	6	6	4	2	8	1	9	1	1	11	7	3
LOC107984909	78	68	53	137	140	69	54	200	72	99	76	50	109	25	143	149	82	121	80	40
LOC105378605	2	2	0	1	9	6	4	16	4	4	4	3	7	1	6	8	8	10	3	3
LOC124903828	158	159	58	287	258	211	211	1014	312	403	336	208	219	61	245	307	433	504	189	182
LOC105378604	69	77	20	171	219	132	97	403	135	165	130	91	122	45	179	149	143	196	107	71
ARHGEF16	9	12	13	11	46	83	46	54	15	10	15	20	23	19	33	30	14	24	23	9
MEGF6	7	13	31	18	1101	1269	705	2020	685	831	820	623	836	353	1432	1862	825	1253	763	456
LOC105378608	0	0	0	0	1	1	2	3	0	0	0	0	0	0	0	0	0	2	0	0
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
TPRG1L	698	737	368	1363	2160	1370	696	1333	635	803	720	484	975	424	1363	1268	619	764	737	332
WRAP73	133	114	109	190	544	315	183	412	202	185	209	132	241	96	377	329	190	251	181	84
TP73	2	0	1	17	12	18	14	34	15	21	21	14	22	3	16	37	5	20	11	7
TP73-AS3	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	1	0	1	0	0
TP73-AS1	436	340	366	795	1908	1502	796	1952	817	1001	933	682	1200	544	1543	1549	762	996	1130	433
CCDC27	3	3	2	12	23	23	10	28	15	18	20	26	16	16	80	25	21	19	54	13
SMIM1	13	5	8	14	108	71	52	174	88	63	47	72	99	21	125	162	70	91	54	28
LRRC47	1779	1643	1059	3212	3913	2438	1272	3275	1359	1462	1292	1108	2071	893	2984	2768	1200	1434	1866	898
CEP104	584	742	438	2014	1298	1029	503	1357	524	582	544	353	789	348	1133	1038	510	584	598	315
LOC124903829	6	5	11	3	5	16	3	17	8	8	6	11	14	4	11	11	10	9	12	5
DFFB	56	55	57	129	165	130	82	149	59	95	83	85	94	38	138	134	62	110	72	34
C1orf174	147	106	143	253	688	555	326	385	226	257	261	158	339	150	532	474	219	264	294	136
LINC01134	0	2	0	3	16	3	3	3	0	2	6	0	5	1	16	10	0	5	10	4
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	3	4	0	0	1	0	1	0	1	0	0	2	1	1	0	1
LOC105376674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC124904578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	1	0	0	0	7	12	7	5	1	4	4	2	5	1	0	2	0	6	0	2
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	52	38	29	116	256	199	130	230	96	134	124	86	108	65	235	139	55	128	110	28
KCNAB2	23	43	32	44	72	218	113	93	41	68	65	58	65	28	63	91	39	80	55	14
LOC124903831	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CHD5	4	1	5	7	6	46	32	19	4	6	5	4	2	1	10	9	4	16	7	4
RPL22	1946	1709	1412	3812	6168	4208	2071	4694	1595	2037	1464	1627	2241	1593	4872	3517	1842	1728	2716	1127
RNF207-AS1	1	1	3	8	83	50	21	103	35	35	41	38	47	17	97	84	46	48	45	24
RNF207	252	174	243	410	13225	7683	4495	13823	6265	7622	7698	4293	7612	3692	15376	14881	7551	9046	10142	4435
ICMT	612	531	593	1389	5661	3813	1902	3902	1789	2142	1921	1269	2463	1328	4087	4102	1790	2060	2690	1262
ICMT-DT	0	0	0	2	11	3	3	8	3	1	1	3	1	1	3	2	1	6	4	1
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GPR153	46	36	59	65	445	297	148	268	136	190	159	161	217	116	378	189	87	205	215	38
ACOT7	271	265	163	546	820	1082	548	1123	381	409	384	156	625	292	883	797	178	293	460	178
HES2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ESPN	0	1	0	0	0	1	1	3	2	2	3	3	0	0	1	0	2	2	0	0
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	28	34	32	59	145	71	50	142	58	65	72	64	53	15	117	93	59	104	52	33
PLEKHG5	142	181	194	200	513	311	197	598	252	249	260	265	327	122	474	407	242	376	251	98
NOL9	548	535	296	1551	2186	1432	560	880	442	657	570	506	1103	560	1375	1490	349	573	859	491
TAS1R1	0	0	1	0	2	0	5	3	1	0	1	0	0	1	0	2	0	4	1	0
LOC107984912	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	2	1	1	0
ZBTB48	208	211	174	359	626	345	183	528	222	289	230	180	258	131	475	448	208	329	264	106
KLHL21	2356	2715	1178	5390	6110	4970	2288	5461	2177	1844	2137	968	3811	1751	5100	4521	1851	2155	2620	1223
LOC107984913	10	10	9	34	263	103	65	191	69	99	103	37	129	42	147	146	85	126	79	48
PHF13	393	280	314	831	2210	1811	697	1861	643	766	684	537	1221	533	1669	1590	630	741	960	429
THAP3	213	190	261	333	543	245	192	422	148	181	203	121	222	78	366	354	139	234	200	86
DNAJC11	626	713	368	1550	1634	1253	704	1929	621	639	629	494	1002	506	1516	1340	553	646	1045	413
LINC01672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	0	3	2	3	9	3	2	7	4	7	5	0	7	4	6	4	4	3	1	1
CAMTA1	330	238	347	601	1936	1146	605	1211	651	705	614	407	853	428	1316	1138	673	555	833	368
LOC124903832	24	40	136	226	106	73	54	154	42	58	35	51	72	30	60	75	64	67	67	38
CAMTA1-AS3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC124900385	0	1	3	0	1	0	0	0	1	1	1	0	0	0	1	0	0	2	0	0
CAMTA1-AS2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-AS1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
LOC105376691	0	0	1	0	0	0	0	5	1	1	0	2	0	1	1	0	3	0	0	0
LOC105376689	0	0	3	0	12	59	13	35	15	23	15	16	18	5	17	41	18	21	8	8
VAMP3	1505	1474	990	4065	4969	3966	1875	3267	1501	1905	1565	1079	2278	1213	3043	2611	1607	1470	1766	935
PER3	77	73	235	194	1113	681	396	893	559	626	636	684	854	218	577	1406	780	787	492	547
LOC124903833	2	3	11	1	10	7	3	17	9	11	16	15	8	4	11	25	24	18	8	11
UTS2	1	2	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TNFRSF9	69	67	35	175	20	64	30	25	9	6	3	7	6	17	7	19	1	3	6	4
PARK7	1280	909	689	1661	6908	4332	2241	6270	2015	2394	2039	1158	2824	1554	4503	4048	1685	1933	2706	1085
LOC124903834	14	4	16	26	21	11	8	7	3	6	5	4	11	4	8	13	7	7	8	1
ERRFI1	182	176	309	977	571	1330	527	417	174	270	297	173	309	193	440	294	191	213	271	139
ERRFI1-DT	0	3	2	6	3	4	0	0	3	1	1	2	1	1	3	1	0	4	1	0
LOC107984915	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0
LINC01714	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC105376695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SLC45A1	5	15	4	7	38	49	18	20	12	15	23	12	8	6	17	31	13	19	4	4
RERE	1253	1511	1200	3051	6415	5772	2996	4748	2406	3124	2851	2118	5212	2060	5381	5400	2362	2705	3226	1605
RERE-AS1	0	3	4	15	3	3	4	13	4	5	7	3	2	3	2	3	3	7	4	2
SNORD128	0	0	0	0	3	0	0	1	0	2	0	1	0	0	1	0	1	0	0	1
LOC124900452	0	0	0	0	0	0	0	2	1	1	0	0	0	1	1	0	0	0	0	0
ENO1	14642	10914	17925	24010	34648	17049	8569	14629	7786	7659	5448	19751	6252	3416	9219	7167	3559	4522	5285	2053
MIR6728	1	1	3	15	0	0	0	0	0	1	0	0	1	0	0	2	0	2	1	0
ENO1-AS1	3	3	0	0	9	3	5	19	4	0	4	2	6	8	12	7	3	9	4	1
LOC112268261	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SLC2A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A5	6	0	2	5	5	20	10	20	10	9	5	14	7	1	3	8	6	17	1	2
LOC124900441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR157	110	134	108	279	445	311	150	298	152	147	140	140	217	119	337	328	126	152	229	112
MIR34AHG	141	132	54	161	646	464	189	289	133	106	193	141	302	117	307	341	130	208	180	78
MIR34A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	1	3	1	4	45	25	12	6	16	9	29	11	23	6	37	24	7	33	18	11
H6PD	322	257	319	536	3913	3381	1702	3154	1512	2111	2103	1420	2574	1208	3663	3535	1368	2254	2058	964
LOC124903836	3	2	8	14	8	13	4	41	19	12	13	7	20	10	19	16	11	17	10	4
SPSB1	96	44	85	281	191	568	296	153	67	151	188	122	151	45	155	97	53	161	94	24
LINC02606	0	0	0	3	16	19	17	18	6	13	17	5	14	3	10	12	5	10	3	2
SLC25A33	132	128	51	414	348	266	107	227	116	73	63	31	118	82	290	222	60	56	140	49
TMEM201	113	103	107	220	909	788	416	1088	433	396	373	292	634	273	990	806	317	381	482	191
LOC124903837	0	0	0	2	5	3	0	1	1	2	0	0	3	0	1	0	1	1	1	2
PIK3CD	88	75	113	149	435	339	173	434	163	181	179	109	269	140	371	279	129	192	215	69
LOC105376712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CD-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PIK3CD-AS2	9	13	9	18	64	58	29	44	12	34	17	13	32	8	38	30	12	19	20	2
LOC124903839	3	1	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	2	0
CLSTN1	641	633	374	1504	5267	5640	2752	5144	2071	3032	2572	1626	3937	1793	5073	4925	1790	2574	3250	1437
CTNNBIP1	108	82	68	130	2368	1344	658	2114	696	693	639	459	1127	662	2077	1696	837	838	1209	497
LOC105376717	1	0	2	0	21	12	5	3	0	1	1	3	5	3	17	4	4	3	9	6
LOC124903838	1	2	2	29	11	17	11	20	5	7	3	4	11	10	21	15	9	3	15	3
LZIC	466	349	369	1132	3860	2152	1115	2553	930	1264	927	1032	1720	1110	2675	2278	1147	1139	1680	834
NMNAT1	148	163	116	382	1397	787	416	933	374	409	321	335	656	368	899	765	378	407	602	269
TMEM274P	0	0	1	2	7	4	2	16	7	10	7	1	14	10	14	12	5	12	11	4
MIR5697	0	0	1	6	4	1	2	4	1	0	0	1	2	3	7	0	0	1	3	2
LOC124903840	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0
RBP7	19	7	9	10	66	149	86	197	80	55	61	19	95	75	216	484	103	77	149	154
UBE4B	1591	1803	1548	4581	4726	3848	1934	3769	1740	2462	2096	1595	3577	1941	4750	4295	1846	2228	3603	1326
KIF1B	6986	8184	5714	26558	12883	9748	4614	11311	4451	5473	4537	3338	8229	4416	9504	10070	4436	5071	6572	3821
