	SRX3375391	SRX3375392	SRX3375393	SRX3375394	SRX3375395	SRX3375396	SRX3375397	SRX3375398	SRX3375399	SRX3375400
THAP3	249	235	180	308	350	276	275	361	267	186
DNAJC11	1401	1511	904	970	918	768	929	1149	1046	802
LINC01672	0	0	0	0	0	0	0	0	0	0
LOC124904847	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	20	26	11	15	23	16	5	3	5	12
CAMTA1	965	780	652	801	1167	1042	815	899	1168	1438
LOC124903832	181	53	78	65	173	332	30	31	336	521
CAMTA1-AS3	0	0	0	0	0	0	0	0	0	1
LOC124900385	3	1	1	2	1	9	1	0	3	6
CAMTA1-AS2	0	0	1	0	0	1	0	0	0	5
CAMTA1-AS1	6	0	0	1	0	1	0	0	1	2
LOC105376691	0	0	1	0	0	1	2	0	8	3
LOC105376689	61	53	110	123	106	87	7	10	64	56
VAMP3	1098	1036	1009	1396	1687	1399	1679	1980	1858	1571
PER3	198	206	147	169	208	195	148	374	442	395
LOC124903833	4	4	2	4	2	5	1	0	11	21
UTS2	1	0	11	6	6	4	1	0	1	2
TNFRSF9	0	0	282	407	3	3	5	9	2	5
PARK7	3427	3846	2599	3609	3434	2447	2477	2928	2494	1897
LOC124903834	21	21	8	12	34	40	7	5	11	30
ERRFI1	904	856	698	1200	2398	1926	719	363	378	480
ERRFI1-DT	4	3	7	4	12	8	4	2	15	28
LOC107984915	1	0	0	0	0	0	0	0	2	2
LINC01714	0	0	0	0	0	0	1	0	0	0
LOC105376695	0	0	0	0	0	0	0	0	0	0
LOC124903835	0	2	0	0	0	0	0	0	0	0
SLC45A1	12	7	3	4	7	0	4	8	22	33
RERE	1481	1012	731	857	2247	1992	1413	1375	3681	3423
RERE-AS1	7	3	3	3	25	25	3	3	24	42
SNORD128	2	2	2	0	4	7	1	0	6	4
LOC124900452	0	0	0	0	3	3	1	0	5	8
ENO1	87162	68479	82841	127838	43556	32790	42416	84329	22716	15441
MIR6728	5	4	3	2	0	2	0	0	3	2
ENO1-AS1	16	18	22	28	9	14	21	26	5	11
LOC112268261	1	0	0	0	0	1	1	0	0	2
CA6	0	0	0	0	0	0	0	0	0	0
SLC2A7	2	0	1	1	2	0	0	0	3	1
SLC2A5	1	3	0	0	0	0	3	1	43	14
LOC124900441	0	0	0	0	0	0	0	0	0	0
GPR157	220	144	146	133	142	108	659	811	187	139
MIR34AHG	449	381	153	256	166	216	79	139	22	44
MIR34A	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	56	43	14	15	14	16	16	30	1	6
H6PD	504	325	1292	1577	2631	1799	2362	2547	3390	3169
LOC124903836	2	5	5	8	5	8	6	3	32	30
SPSB1	102	92	179	247	473	323	159	71	86	268
LINC02606	1	1	2	2	8	4	10	11	25	22
SLC25A33	527	606	255	334	467	355	214	273	171	235
TMEM201	659	811	347	398	737	572	752	745	962	697
LOC124903837	4	7	2	10	3	3	1	1	0	6
PIK3CD	811	744	353	417	729	484	212	262	319	359
LOC105376712	0	0	0	1	0	0	0	0	0	0
PIK3CD-AS1	2	2	1	1	0	2	0	0	2	3
PIK3CD-AS2	139	142	139	197	238	152	56	62	30	26
LOC124903839	5	6	1	4	3	3	0	1	2	3
CLSTN1	2440	2025	2270	2999	4700	3619	2147	2232	3510	3247
CTNNBIP1	858	755	948	1400	1892	1152	1648	1855	1259	862
LOC105376717	2	3	0	1	1	5	0	1	3	5
LOC124903838	6	10	10	9	12	17	2	4	26	25
LZIC	766	683	821	1237	1496	1238	1507	2059	2014	1792
NMNAT1	217	175	203	308	411	318	1082	1456	714	550
TMEM274P	9	1	5	7	12	8	8	5	24	24
MIR5697	0	0	0	2	1	2	0	1	6	4
LOC124903840	0	0	0	1	0	0	0	0	3	1
RBP7	34	40	19	18	16	16	11	58	621	271
UBE4B	3683	3926	2141	2568	3760	2818	2197	2391	3297	2640
KIF1B	6293	4832	4191	4714	6029	5134	7409	7944	8040	6601
PGD	8296	8448	5190	6045	6501	4442	4177	4879	2535	2271
CENPS-CORT	4	3	0	1	4	2	0	1	2	0
CENPS	17	19	12	14	25	26	11	7	18	17
CORT	4	4	6	1	5	10	7	3	14	8
DFFA	4314	4890	3375	4519	5075	4929	2383	3621	1148	1545
PEX14	514	520	546	630	653	465	553	615	352	363
CASZ1	181	208	37	36	101	70	2530	2442	3851	2528
LOC105376733	8	7	0	0	2	0	0	0	2	0
LOC105376735	0	0	0	0	0	0	0	0	0	0
C1orf127	6	4	1	4	3	2	2	1	98	8
TARDBP	1983	1952	1167	1388	2332	2371	991	980	2260	2580
MASP2	45	37	39	41	69	98	10	22	138	137
SRM	1912	1773	631	635	875	737	651	777	643	669
EXOSC10	2016	2568	2111	2427	2769	2164	1371	1496	1737	1549
EXOSC10-AS1	4	11	6	9	12	8	11	11	2	3
MTOR	6349	6389	3159	3206	6131	4675	4633	5119	3974	3198
MTOR-AS1	5	5	4	2	10	13	0	3	16	20
LOC124904848	0	0	0	0	2	4	0	0	0	5
ANGPTL7	16	5	9	6	21	41	8	5	58	72
UBIAD1	612	862	392	519	943	712	688	734	662	514
LOC105376737	1	0	0	2	7	7	0	0	1	1
LOC105376739	2	2	0	0	0	1	0	0	1	0
LOC105376740	4	3	1	3	0	2	0	0	0	2
LOC124903841	1	0	0	0	0	2	0	0	0	0
DISP3	224	194	81	172	435	276	44	13	11	39
LOC124903842	20	32	0	1	3	3	0	0	0	2
LINC01647	0	3	0	0	7	1	0	0	0	1
FBXO2	325	378	206	203	165	98	120	142	1	21
FBXO44	463	499	313	489	417	305	469	695	239	193
FBXO6	58	87	80	97	132	114	98	146	58	50
MAD2L2	2785	3324	1136	1467	1437	1033	466	596	395	307
DRAXIN	1110	1526	466	498	438	367	24	9	7	12
AGTRAP	888	897	777	992	989	616	404	480	243	213
C1orf167	27	17	5	8	16	23	1	2	1	2
C1orf167-AS1	1	1	0	0	3	2	0	0	0	0
MTHFR	455	476	307	442	638	445	1273	1738	2048	1404
CLCN6	580	563	463	558	797	576	645	899	755	630
NPPA-AS1	5	3	2	2	6	7	0	2	41	45
NPPA	4	6	5	2	6	6	508	4003	59932	33240
NPPB	0	0	5	2	193	157	541	2324	2659	2199
RNU5E-1	36	28	29	48	105	95	10	18	15	34
LOC124903843	2	4	4	4	5	7	3	5	4	3
KIAA2013	1345	1632	1113	1394	1603	1175	1357	1650	1007	738
PLOD1	672	649	1142	1724	1931	1342	1872	2589	3776	3310
MFN2	2139	2623	1350	1680	2739	2155	5185	6892	8268	4827
MIIP	613	894	579	818	930	664	234	258	326	314
MIR6729	0	1	0	0	0	0	0	0	0	0
TNFRSF8	855	1273	110	92	14	4	0	0	16	21
MIR7846	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	132	120	80	93	104	74	5	2	469	321
LOC124903844	2	0	0	3	0	1	0	0	9	10
MIR4632	0	0	0	0	0	0	0	0	0	0
VPS13D	2903	2046	2058	1849	2746	2754	3333	3483	6378	6156
LOC124903845	4	2	3	3	14	10	3	5	25	41
SNORA59A	4	8	5	3	5	3	6	2	7	14
LINC02766	1	1	1	3	1	2	0	1	14	30
DHRS3	229	222	87	166	681	981	556	1005	2083	2483
MIR6730	0	0	0	0	0	0	1	0	2	2
AADACL4	0	0	0	0	0	3	0	0	0	1
LOC124903846	19	43	1	1	0	0	0	0	0	0
AADACL3	17	23	0	0	0	0	0	0	0	0
LOC124904811	0	0	0	0	0	0	0	0	0	0
CFAP107	0	0	4	0	0	0	0	0	0	1
PRAMEF12	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	1	1	3	1	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0	0	0
HNRNPCL3	2	0	0	1	0	0	0	0	0	1
PRAMEF25	0	0	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0	0	0
HNRNPCL2	0	1	0	0	0	0	0	0	0	0
PRAMEF36P	0	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0
HNRNPCL4	1	3	0	0	3	4	0	3	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0
LRRC38	1	1	1	2	0	0	0	0	0	1
LOC102724856	0	1	0	0	0	0	0	0	6	7
LOC107984918	0	0	0	0	0	0	0	0	0	0
PDPN	1157	1876	335	484	376	354	192	227	1078	913
LOC105378612	0	0	1	1	0	0	0	0	0	0
LOC105376756	0	0	0	0	0	0	0	2	0	0
LOC124900446	0	0	0	0	0	0	0	0	2	0
PRDM2	771	681	661	799	1402	1272	1005	1206	1590	1894
KAZN	275	178	394	621	749	522	179	264	137	322
LOC107985467	6	4	2	1	6	12	1	2	21	65
LOC124903847	4	0	1	1	4	3	0	0	18	41
KAZN-AS1	0	3	0	0	1	0	0	0	0	2
LOC124903850	1	0	0	1	3	0	0	0	2	4
LOC105376759	1	0	0	0	5	7	0	0	3	7
LOC124903848	20	19	18	15	99	118	20	17	26	89
LOC107985469	1	1	1	0	1	10	2	3	1	5
LOC124903849	0	0	0	0	2	5	0	0	0	6
TMEM51-AS1	9	3	27	35	16	7	15	39	10	23
TMEM51	147	132	349	411	167	119	360	481	173	200
TMEM51-AS2	6	5	5	9	9	7	8	4	21	40
FHAD1	14	16	33	46	41	18	8	6	21	30
LOC124903853	0	1	0	0	0	0	1	0	1	2
LOC124903852	3	2	5	6	0	0	0	1	3	0
FHAD1-AS1	1	3	3	4	0	2	1	3	2	10
LOC124903851	2	0	0	0	1	0	0	1	4	7
EFHD2-AS1	3	2	3	7	8	4	0	3	1	5
EFHD2	363	463	417	597	462	273	226	318	262	235
CTRC	0	0	0	0	0	1	0	1	0	0
CELA2A	4	1	1	1	1	2	0	1	0	1
LOC105376767	2	1	1	0	2	1	1	0	0	1
CELA2B	8	1	4	5	9	11	6	10	4	6
CASP9	339	357	253	282	329	248	669	831	392	270
DNAJC16	1193	1039	1058	1383	1852	1402	1559	1655	922	987
SCARNA21B	7	1	2	3	1	2	0	2	2	4
AGMAT	220	295	40	35	84	81	37	23	26	22
LOC124903854	1	3	1	3	5	6	1	1	5	2
DDI2	1915	2020	973	1185	2429	2125	1750	1689	1723	1599
RSC1A1	1	1	2	1	0	3	0	0	0	0
PLEKHM2	1420	1574	1213	1771	1828	1407	1961	1836	2599	1780
SLC25A34	7	22	10	7	32	27	17	25	110	114
SLC25A34-AS1	2	0	0	0	0	2	0	0	1	5
TMEM82	4	8	11	34	32	24	2	0	1	7
FBLIM1	1471	1894	1021	1633	1276	956	1844	1858	2570	2368
UQCRHL	17	15	10	10	17	12	8	9	10	10
SPEN-AS1	166	137	102	137	257	176	129	125	222	152
SPEN	2743	1797	2031	2035	3169	3191	1676	1481	4167	4355
LOC124904815	0	0	0	0	2	2	0	0	5	1
ZBTB17	463	501	473	599	681	434	497	648	700	546
LOC124903855	35	16	24	18	38	56	18	12	104	203
SRARP	1	7	66	87	48	27	5	4	2	4
HSPB7	27	24	28	23	131	126	8535	13519	29101	15802
CLCNKA	18	6	33	52	82	77	47	66	41	22
CLCNKB	32	60	67	114	270	224	159	308	486	239
FAM131C	7	6	13	27	24	30	34	75	55	22
EPHA2	2529	2749	3497	4710	1906	1380	821	815	1622	1180
EPHA2-AS1	54	44	61	84	90	62	19	24	33	39
ARHGEF19	1119	1342	373	476	798	666	81	68	85	126
ANO7L1	4	3	4	3	3	3	12	13	7	9
CPLANE2	36	44	44	65	133	74	194	259	91	74
FBXO42	1181	890	1000	1098	1134	897	1041	1420	1260	1143
SZRD1	1801	2188	1095	1412	1971	1549	1574	1984	1917	1353
SPATA21	14	11	17	7	21	22	2	1	12	16
NECAP2	731	900	746	1136	1505	1133	403	349	845	799
LINC01772	50	17	20	28	63	70	21	19	72	100
CROCCP3	198	156	141	193	353	308	98	114	345	490
RNU1-1	5	7	17	13	39	27	7	0	4	5
TRN-GTT5-1	9	7	6	3	4	2	0	0	1	0
LINC01783	24	18	22	22	60	74	12	9	3	3
TRE-TTC4-1	0	0	0	0	0	0	0	0	0	0
LOC124903856	0	0	0	0	0	0	0	0	0	0
TRG-CCC1-1	26	29	10	15	29	31	1	2	0	0
NBPF1	157	187	215	279	664	539	341	383	705	901
LOC124900584	516	587	283	446	861	651	359	454	266	379
CROCCP2	177	146	123	155	318	233	111	158	63	133
MST1P2	131	96	159	291	637	491	29	32	19	22
RNU1-3	0	0	1	0	1	0	0	0	0	0
LOC124903857	0	0	0	0	0	0	0	0	0	0
TRG-CCC4-1	12	8	9	15	18	28	6	7	0	1
ESPNP	25	12	7	8	9	21	2	1	0	1
LOC124903858	8	9	2	1	6	0	0	0	0	0
TRG-CCC5-1	28	33	11	13	9	14	0	0	2	0
LOC124903859	0	1	0	0	4	0	1	0	1	0
RNU1-4	0	0	0	1	4	3	0	0	0	0
MST1L	37	16	52	96	167	111	2	2	6	4
MIR3675	0	0	0	0	0	0	0	0	0	0
TRG-CCC1-2	19	6	7	7	8	9	1	0	0	0
LOC112267871	37	30	44	32	115	124	14	15	11	7
TRE-TTC3-1	0	0	0	0	0	0	0	0	0	0
LOC105376805	106	129	106	146	142	112	57	100	199	112
TRN-GTT4-1	5	0	2	3	3	5	2	1	3	3
RNU1-2	7	9	22	22	65	40	12	9	4	10
CROCC	2239	2115	1024	1488	1643	1468	318	357	728	815
MFAP2	966	1222	842	961	1533	1088	203	157	625	910
LOC105376806	41	68	41	79	93	88	8	13	86	121
ATP13A2	2388	2662	1192	1396	1479	1232	1310	1649	791	676
SDHB	1587	1780	770	884	1048	776	1690	2134	2165	1234
PADI2	148	90	16	10	20	16	7	3	426	331
LOC124903861	0	0	0	0	1	0	0	0	6	3
LOC105376808	0	0	0	0	0	0	0	0	0	0
LINC02783	1	0	0	0	0	0	0	0	0	0
PADI1	2	8	0	0	8	3	7	12	0	2
PADI3	34	53	45	32	18	19	0	0	2	1
MIR3972	0	0	2	0	0	1	0	0	0	0
PADI4	6	11	2	2	0	0	0	1	2	2
PADI6	0	1	0	1	2	0	0	0	0	0
RCC2	10605	14710	4281	4913	6929	5628	2343	2159	2201	2114
RCC2-AS1	0	0	0	0	0	0	0	0	0	0
LOC124903862	20	13	5	4	10	4	1	4	1	2
LOC124904837	0	0	0	0	0	0	0	0	0	0
ARHGEF10L	928	1128	450	624	1500	1084	1103	1226	1526	1064
LINC02810	0	0	0	0	0	0	2	4	0	0
ACTL8	31	28	0	0	0	0	1	0	0	2
LOC105376809	0	0	0	0	0	0	0	0	0	1
LOC105376812	0	0	0	0	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0	0	0	0	0
IGSF21	301	256	394	665	223	303	4	0	2	6
IGSF21-AS1	6	0	2	0	4	4	0	0	0	0
LOC124903864	3	1	0	0	0	6	0	0	0	0
LOC124903863	267	284	24	6	13	34	0	0	2	1
LOC124903865	13	10	1	3	7	7	2	2	7	4
KLHDC7A	365	559	43	30	20	7	6	2	3	3
