Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,source_name,SRA Study,Stage,cell_type,tissue,chip-seq_antibody
SRR5117010,RNA-Seq,GCA_000001405.16,297,12073469075,PRJNA324109,SAMN06160777,2667226630,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432203,GSM2430863,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,1,2016-12-16T16:26:00Z,1,GSM2430863,blood,SRP075977,day 30,hiPSC-CMs (TBX5 Gene-editedl),,
SRR5117011,RNA-Seq,GCA_000001405.16,297,11251316689,PRJNA324109,SAMN06160776,2514785995,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432204,GSM2430864,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,2,2016-12-16T16:21:00Z,1,GSM2430864,blood,SRP075977,day 30,hiPSC-CMs (TBX5 Gene-editedl),,
SRR5117012,RNA-Seq,GCA_000001405.16,295,15016263859,PRJNA324109,SAMN06160775,3480108286,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432205,GSM2430865,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,3,2016-12-16T16:31:00Z,1,GSM2430865,blood,SRP075977,day 30,hiPSC-CMs (TBX5 Gene-editedl),,
SRR5117013,RNA-Seq,GCA_000001405.16,297,8756992217,PRJNA324109,SAMN06160774,2147140298,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432206,GSM2430866,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,4,2016-12-16T16:16:00Z,1,GSM2430866,blood,SRP075977,day 30,hiPSC-CMs (TBX5 Gene-editedl),,
SRR5117014,RNA-Seq,GCA_000001405.16,297,9730738996,PRJNA324109,SAMN06160773,2222600893,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432207,GSM2430867,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,5,2016-12-16T16:18:00Z,1,GSM2430867,blood,SRP075977,day 30,hiPSC-CMs (TBX5 Gene-editedl),,
SRR5117015,RNA-Seq,GCA_000001405.16,297,10260168974,PRJNA324109,SAMN06160772,2432395807,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432208,GSM2430868,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,1,2016-12-16T16:16:00Z,1,GSM2430868,fibroblasts,SRP075977,day 30,hiPSC-CMs (TBX5 Overexpression),,
SRR5117016,RNA-Seq,GCA_000001405.16,298,12087544470,PRJNA324109,SAMN06160771,2752312733,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432209,GSM2430869,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,2,2016-12-16T16:20:00Z,1,GSM2430869,fibroblasts,SRP075977,day 30,hiPSC-CMs (TBX5 Overexpression),,
SRR5117017,RNA-Seq,GCA_000001405.16,291,6862510927,PRJNA324109,SAMN06160770,2170952713,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432210,GSM2430870,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,1,2016-12-16T16:09:00Z,1,GSM2430870,fibroblasts,SRP075977,day 30,hiPSC-CMs (NR2F2 Gene-editedl),,
SRR5117018,RNA-Seq,GCA_000001405.16,296,9216086785,PRJNA324109,SAMN06160769,2373346380,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432211,GSM2430871,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,2,2016-12-16T16:15:00Z,1,GSM2430871,fibroblasts,SRP075977,day 30,hiPSC-CMs (NR2F2 Gene-editedl),,
SRR5117019,RNA-Seq,GCA_000001405.16,297,10086096667,PRJNA324109,SAMN06160768,2251337668,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432212,GSM2430872,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,3,2016-12-16T16:06:00Z,1,GSM2430872,fibroblasts,SRP075977,day 30,hiPSC-CMs (NR2F2 Gene-editedl),,
SRR5117020,RNA-Seq,GCA_000001405.16,297,11911438862,PRJNA324109,SAMN06160767,2809302862,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432213,GSM2430873,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,4,2016-12-16T16:26:00Z,1,GSM2430873,fibroblasts,SRP075977,day 30,hiPSC-CMs (NR2F2 Gene-editedl),,
SRR5117021,RNA-Seq,GCA_000001405.16,297,9279231544,PRJNA324109,SAMN06160766,2293427466,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432214,GSM2430874,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,5,2016-12-16T16:14:00Z,1,GSM2430874,fibroblasts,SRP075977,day 30,hiPSC-CMs (NR2F2 Gene-editedl),,
SRR5117022,RNA-Seq,GCA_000001405.16,293,6641657124,PRJNA324109,SAMN06160765,1807529324,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432215,GSM2430875,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,6,2016-12-16T16:06:00Z,1,GSM2430875,fibroblasts,SRP075977,day 30,hiPSC-CMs (NR2F2 Gene-editedl),,
SRR5117023,RNA-Seq,GCA_000001405.16,298,9891784600,PRJNA324109,SAMN06160764,2281940640,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432216,GSM2430876,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,1,2016-12-16T16:08:00Z,1,GSM2430876,Fibroblasts,SRP075977,day 30,hiPSC-CMs (NR2F2 Overexpression),,
