	day0_rep1	day0_rep2	day2_rep1	day2_rep2	day5_rep1	day5_rep2	day14_rep1	day14_rep2	fetal_rep1	fetal_rep2
ANKRD65-AS1	10	12	13	19	26	29	1	5	2	13
TMEM88B	39	55	76	67	36	30	2	15	12	19
LINC01770	44	54	73	103	33	23	40	44	11	18
LOC107985729	63	65	83	104	37	36	16	29	9	20
VWA1	989	1529	1685	2464	741	425	547	581	788	666
ATAD3C	15	14	6	8	12	5	5	9	9	19
ATAD3B	1983	3118	790	971	1590	1382	555	655	1036	1102
ATAD3A	1772	2717	856	1081	1342	1138	1335	1620	717	714
TMEM240	61	46	51	91	89	78	98	135	69	61
SSU72	3035	3325	1772	2313	2490	1855	1882	1944	1489	1238
FNDC10	340	270	109	149	126	76	359	457	93	100
LOC105378586	4	4	1	3	0	2	6	11	1	4
MIB2	534	530	438	654	1023	822	1009	963	1031	827
LOC124903821	74	77	397	909	170	173	36	70	171	203
MMP23B	60	61	374	728	273	236	20	24	186	266
CDK11B	975	959	742	890	995	813	639	724	619	588
SLC35E2B	2030	2358	1619	2321	3701	2850	2166	2224	3165	2778
MMP23A	1	1	0	2	4	0	1	2	7	5
CDK11A	184	182	117	157	249	186	122	124	238	338
SLC35E2A	406	371	303	481	738	681	456	526	1206	1209
LOC112268218	2	2	6	4	2	1	1	3	4	3
NADK	1765	2051	817	1025	1970	1560	1015	1285	977	1016
GNB1	10807	10166	8379	10157	11154	9075	7519	8231	7497	7362
GNB1-DT	17	22	9	22	36	32	14	10	28	27
LOC124903822	13	6	14	21	15	15	8	8	5	14
CALML6	21	6	3	5	5	7	1	2	2	4
TMEM52	240	255	105	129	87	67	22	43	10	6
CFAP74	4	3	14	14	8	10	5	7	1	7
LOC107984872	0	1	1	1	0	0	0	2	1	1
LOC105378589	26	17	18	28	0	1	0	0	14	12
GABRD	29	17	23	40	1	1	0	3	40	33
LOC105378590	9	11	1	0	3	0	0	1	0	1
PRKCZ	763	766	678	947	849	558	571	850	561	548
PRKCZ-DT	1	6	3	3	5	7	0	2	1	1
PRKCZ-AS1	38	46	35	38	72	83	30	27	53	63
FAAP20	748	771	676	1000	1101	746	805	747	517	561
LOC112268219	115	146	90	185	188	158	79	97	91	135
LOC105378593	11	7	8	15	22	20	2	11	17	18
LOC124903823	0	0	1	0	0	1	0	1	2	5
SKI	3714	2987	2100	2711	3580	2979	1881	1649	3821	4803
LOC124903824	49	66	145	182	360	246	58	100	65	82
MORN1	154	178	302	386	600	535	249	264	203	323
LOC100129534	24	45	97	70	142	106	88	118	41	78
RER1	1745	2266	1455	1918	2260	1687	1656	1901	1549	1309
PEX10	378	638	551	696	877	691	446	450	533	410
PLCH2	56	44	45	61	160	127	63	68	41	110
PANK4	1226	1182	842	1023	1778	1335	1427	1861	1559	1208
HES5	0	1	0	1	1	3	0	4	43	35
TNFRSF14-AS1	4	3	3	1	7	7	1	0	13	14
TNFRSF14	5	4	13	15	8	9	2	3	182	162
LOC100996583	3	2	9	13	19	19	5	3	15	17
PRXL2B	833	1121	460	556	781	630	702	1102	579	495
MMEL1	3	2	2	2	6	1	0	1	0	11
MMEL1-AS1	1	0	0	0	3	2	0	0	2	3
TTC34	11	5	8	13	39	32	12	16	96	113
LOC105378602	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	0	0	0	0	0	0	0	0
LOC124903826	0	0	0	0	0	0	0	0	0	1
ACTRT2	0	0	0	0	0	0	0	0	0	0
LOC124903827	2	2	0	0	2	2	110	437	789	1223
PRDM16-DT	0	0	0	0	0	0	0	0	0	0
PRDM16	22	23	26	25	58	38	435	1038	1294	1268
MIR4251	0	0	0	0	1	0	0	1	4	5
LOC105378606	0	0	0	0	0	0	0	0	5	13
LOC107984909	2	0	0	0	1	1	23	40	155	216
LOC105378605	0	0	0	0	0	0	1	4	16	41
LOC124903828	2	2	0	0	2	6	113	118	744	1188
LOC105378604	2	1	0	0	8	9	50	75	244	376
ARHGEF16	762	1060	965	1554	908	667	305	484	38	113
MEGF6	1560	1640	1296	1470	3370	2724	742	700	1948	5092
LOC105378608	11	9	5	6	11	14	2	1	4	29
MIR551A	5	3	3	0	3	1	1	0	2	3
TPRG1L	570	485	503	740	738	628	661	624	723	618
WRAP73	757	858	419	471	644	500	337	438	322	347
TP73	273	161	76	155	157	145	27	31	54	107
TP73-AS3	3	0	0	0	4	2	0	1	5	4
TP73-AS1	1911	1945	929	1330	2281	1811	1081	1209	1318	1193
CCDC27	16	15	12	28	45	27	30	42	56	36
SMIM1	65	66	59	58	92	78	131	147	179	114
LRRC47	4767	5095	2701	3453	3367	2519	3781	4653	2463	1883
CEP104	1125	1136	1026	1344	1317	1076	1012	1162	915	984
LOC124903829	18	12	14	15	35	36	5	5	38	25
DFFB	340	489	192	200	295	267	164	217	162	202
C1orf174	1145	1201	743	910	1169	927	516	543	545	702
LINC01134	5	10	6	9	15	8	3	3	3	10
LINC01346	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	0	0
LOC105376674	0	0	0	0	0	0	0	0	0	0
LOC124904578	0	0	0	0	0	0	1	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0
AJAP1	166	160	51	90	24	32	1	0	28	44
LINC02781	0	0	0	0	0	0	0	0	0	0
LOC124904589	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	2	0	0	0	0	0	0	0	0
LINC02782	4	6	0	0	0	0	0	0	0	0
LOC105376682	0	3	0	0	0	1	0	0	0	0
LOC124904590	0	4	1	0	0	0	0	0	0	0
LOC107984911	0	0	0	1	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	1
LOC124900451	0	0	0	0	0	0	0	0	0	0
LOC124903830	1	0	0	3	0	1	0	0	2	4
MIR4689	1	1	0	0	0	1	0	0	2	3
NPHP4	484	416	533	725	980	816	343	366	421	406
KCNAB2	505	274	583	785	335	237	83	129	119	177
LOC124903831	4	3	3	2	2	2	0	0	0	2
CHD5	95	88	21	27	20	23	7	5	22	91
RPL22	8244	7760	7734	9318	12580	10665	3479	4135	5788	5016
RNF207-AS1	5	8	2	3	5	7	34	63	94	65
RNF207	116	107	54	75	113	125	1579	2246	9752	6783
ICMT	6190	8346	2848	2896	5409	4055	3308	4059	3818	3301
ICMT-DT	99	129	73	81	49	38	14	19	7	2
HES3	154	218	2	2	1	0	0	0	0	6
GPR153	499	516	113	111	332	273	726	1031	870	980
ACOT7	2871	3148	923	794	965	644	438	631	473	462
HES2	37	54	9	11	2	2	4	0	12	3
ESPN	903	487	199	252	137	110	94	111	22	198
MIR4252	0	1	0	0	0	0	0	0	0	0
TNFRSF25	239	297	126	213	402	347	75	130	186	239
PLEKHG5	1156	1210	688	1008	2313	1991	519	788	670	912
NOL9	2957	4064	2017	2298	3279	2581	2451	2621	2407	2129
TAS1R1	11	2	7	15	28	16	2	2	0	9
LOC107984912	0	0	0	0	0	1	0	0	0	0
ZBTB48	420	549	414	544	811	610	461	561	495	458
KLHL21	1446	2104	514	599	1521	1211	4534	4449	3479	2447
LOC107984913	16	19	19	30	111	108	223	187	163	153
PHF13	1334	1661	1084	1699	3273	2326	1655	1857	1430	1328
THAP3	361	364	292	437	519	415	392	498	361	279
DNAJC11	2136	2294	1388	1453	1405	1159	1396	1654	1375	1134
LINC01672	0	0	0	0	0	0	0	0	0	0
LOC124904847	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	27	34	23	22	33	24	8	8	8	13
CAMTA1	1411	1146	957	1151	1639	1505	1204	1300	1489	1946
LOC124903832	276	92	119	89	246	485	47	44	426	708
CAMTA1-AS3	0	0	0	0	0	2	0	0	0	1
LOC124900385	4	2	2	4	4	16	3	0	4	9
CAMTA1-AS2	2	1	2	0	0	3	0	0	1	5
CAMTA1-AS1	7	0	3	1	0	1	0	0	1	2
LOC105376691	0	0	1	0	0	1	3	1	15	3
LOC105376689	91	81	171	192	149	139	8	13	78	77
VAMP3	1454	1442	1414	1914	2321	1936	2340	2688	2329	2077
PER3	299	292	213	246	278	274	234	515	592	537
LOC124903833	4	5	3	5	2	7	1	2	16	23
UTS2	3	1	11	11	8	5	2	0	1	2
TNFRSF9	1	3	427	595	7	2	11	11	2	6
PARK7	4892	5622	3784	5169	4960	3497	3601	4233	3114	2557
LOC124903834	24	28	10	22	49	58	9	8	16	41
ERRFI1	1301	1231	1002	1737	3496	2814	1065	541	473	650
ERRFI1-DT	4	3	9	6	23	15	5	3	22	44
LOC107984915	3	0	0	0	1	0	0	0	2	3
LINC01714	0	0	0	0	0	0	1	0	1	0
LOC105376695	0	0	0	0	0	0	0	0	0	0
LOC124903835	0	3	0	0	0	0	0	0	0	0
SLC45A1	15	17	4	6	11	2	8	11	31	44
RERE	2299	1580	1170	1321	3464	3120	2349	2070	4983	5035
RERE-AS1	13	5	6	4	31	34	5	3	31	61
SNORD128	2	4	3	1	4	12	2	0	7	9
LOC124900452	0	2	1	2	4	4	1	0	7	10
ENO1	129803	102066	124891	188493	64410	49069	63392	124269	30279	21727
MIR6728	7	6	4	3	1	2	1	0	4	2
ENO1-AS1	25	27	37	37	18	22	30	40	6	13
LOC112268261	0	0	0	0	1	0	0	0	1	2
CA6	0	0	0	0	0	1	0	0	0	0
SLC2A7	2	0	1	1	2	0	0	0	3	3
SLC2A5	2	3	0	1	0	0	4	1	50	18
LOC124900441	0	0	0	0	0	0	0	0	0	0
GPR157	308	203	204	187	191	174	947	1181	260	203
MIR34AHG	673	577	225	353	251	323	124	214	27	59
MIR34A	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	93	63	22	36	26	26	29	49	2	6
H6PD	792	510	1949	2326	3964	2747	3529	3768	4686	4522
LOC124903836	2	6	11	14	9	12	9	3	43	46
SPSB1	155	141	265	363	753	528	251	112	114	376
LINC02606	2	1	3	3	13	5	19	14	33	30
SLC25A33	786	929	404	513	702	535	362	417	275	326
TMEM201	1000	1261	517	640	1146	880	1148	1112	1360	1029
LOC124903837	6	13	3	10	6	5	1	3	2	9
PIK3CD	1190	1112	547	617	1057	746	320	393	421	471
LOC105376712	0	0	0	1	0	0	0	0	0	0
PIK3CD-AS1	3	3	1	1	0	2	0	0	2	5
PIK3CD-AS2	206	220	200	284	346	227	90	92	42	35
LOC124903839	6	8	1	6	7	5	0	2	2	8
CLSTN1	3646	3143	3517	4544	7128	5504	3336	3378	4853	4667
CTNNBIP1	1233	1151	1357	2015	2761	1751	2424	2756	1711	1207
LOC105376717	3	7	1	1	1	7	0	1	4	9
LOC124903838	11	12	10	9	16	20	2	6	36	31
LZIC	1058	1009	1176	1749	2104	1781	2179	2876	2564	2360
NMNAT1	315	256	315	483	608	456	1616	2086	902	768
TMEM274P	17	7	8	8	18	10	10	9	29	38
MIR5697	1	0	0	2	1	3	0	2	7	4
LOC124903840	0	0	0	1	0	1	0	0	5	3
RBP7	46	48	25	24	19	19	18	80	768	349
UBE4B	5351	5738	3105	3702	5484	4118	3276	3495	4367	3733
KIF1B	8912	6860	5952	6721	8440	7238	10593	10996	10168	8681
PGD	12175	12417	7648	8979	9533	6552	6159	7109	3273	3024
CENPS-CORT	6	6	0	2	7	6	1	3	2	0
CENPS	18	27	17	19	30	28	12	8	24	27
CORT	8	5	9	2	6	13	9	4	14	11
DFFA	6395	7579	5221	6905	7650	7585	3672	5462	1512	2090
PEX14	811	843	878	980	1026	710	830	1003	521	536
CASZ1	290	320	58	61	141	98	3833	3715	5476	3699
LOC105376733	14	10	1	0	2	0	0	0	2	0
LOC105376735	0	0	0	0	0	0	0	0	0	0
C1orf127	8	6	2	6	3	3	8	2	143	10
TARDBP	2870	2865	1709	2012	3421	3490	1466	1451	2917	3443
MASP2	77	53	53	62	112	151	16	28	169	194
SRM	2764	2678	953	913	1292	1098	965	1140	856	965
EXOSC10	2865	3630	3014	3408	3941	3053	1925	2031	2207	2114
EXOSC10-AS1	4	15	7	14	15	13	15	15	3	6
MTOR	9384	9382	4768	4743	8960	6999	6894	7505	5127	4352
MTOR-AS1	8	8	4	4	15	18	1	4	19	27
LOC124904848	0	0	1	0	4	5	0	0	0	8
ANGPTL7	23	10	11	7	28	57	11	8	68	98
UBIAD1	910	1258	569	755	1378	1074	1034	1075	875	714
LOC105376737	1	1	1	2	9	8	1	0	1	1
LOC105376739	2	2	0	0	1	3	0	0	1	1
LOC105376740	6	5	2	3	1	3	0	0	0	2
LOC124903841	1	0	0	0	1	2	0	0	0	0
DISP3	328	295	122	252	666	407	65	19	14	49
LOC124903842	31	42	2	1	7	5	2	0	1	2
LINC01647	0	5	1	1	8	1	0	0	0	1
FBXO2	517	607	304	322	254	157	182	208	3	29
FBXO44	721	794	484	756	651	466	777	1117	337	267
FBXO6	89	123	123	147	203	169	137	207	78	76
MAD2L2	4210	5071	1779	2143	2148	1566	682	905	544	420
DRAXIN	1628	2253	732	746	679	531	38	10	9	20
AGTRAP	1344	1372	1175	1479	1448	927	583	689	323	294
C1orf167	41	31	9	12	26	36	1	2	2	2
C1orf167-AS1	3	4	2	0	3	6	0	0	0	0
MTHFR	674	732	487	650	959	690	1951	2691	2807	2072
CLCN6	884	840	708	837	1169	862	980	1318	990	871
NPPA-AS1	7	3	2	4	7	9	0	2	62	73
NPPA	5	10	5	3	8	9	717	5406	78842	44749
NPPB	1	1	7	2	291	224	813	3408	3539	3133
RNU5E-1	57	38	36	62	147	138	20	27	20	47
LOC124903843	6	8	7	6	6	12	6	7	5	3
KIAA2013	2217	2608	1814	2240	2491	1920	2132	2597	1526	1114
PLOD1	1076	1002	1908	2736	3048	2171	2968	4064	5247	4880
MFN2	3379	4142	2162	2672	4404	3413	8407	10866	11317	6932
MIIP	956	1456	860	1273	1408	1075	352	371	463	481
MIR6729	1	0	0	0	0	0	0	0	0	0
TNFRSF8	1322	1962	167	144	20	9	1	1	27	32
MIR7846	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	194	189	126	140	151	100	8	3	641	466
LOC124903844	3	0	1	3	2	3	0	0	12	15
MIR4632	0	0	0	0	0	0	0	0	1	0
VPS13D	4055	2807	2949	2614	3896	3882	4864	4926	8104	8099
LOC124903845	6	3	5	5	17	18	6	6	33	58
SNORA59A	7	8	7	6	10	8	7	2	11	20
LINC02766	1	5	2	5	5	5	1	1	23	41
DHRS3	345	335	138	225	1074	1564	807	1439	2818	3496
MIR6730	0	0	0	0	0	0	1	0	4	3
AADACL4	0	0	0	0	0	3	0	0	1	1
LOC124903846	30	65	2	1	0	0	0	0	0	0
AADACL3	24	40	0	0	0	0	0	0	0	0
LOC124904811	0	0	0	0	0	0	0	0	0	0
CFAP107	0	0	4	1	0	1	0	0	0	1
PRAMEF12	0	0	0	0	0	0	0	0	0	1
PRAMEF1	0	0	0	0	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	1	0
HNRNPCL1	6	5	4	1	2	4	0	4	3	2
PRAMEF2	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0	0	0
HNRNPCL3	1	1	1	1	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0	0	0
HNRNPCL2	2	2	1	2	0	1	0	0	0	0
PRAMEF36P	0	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0
HNRNPCL4	1	3	0	1	1	0	0	1	1	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	1	0
LRRC38	1	2	1	3	1	0	1	0	0	4
LOC102724856	0	1	0	0	0	0	0	0	9	8
LOC107984918	0	0	0	0	0	0	0	0	0	0
PDPN	1702	2846	506	726	565	506	312	338	1437	1273
LOC105378612	0	0	0	1	0	0	0	0	0	1
LOC105376756	0	0	0	0	0	0	0	2	0	0
LOC124900446	0	0	0	0	0	0	0	0	2	0
PRDM2	1124	1003	991	1236	2010	1916	1503	1813	2085	2547
KAZN	431	295	592	903	1120	850	281	376	191	469
LOC107985467	13	4	5	1	6	19	2	6	23	83
LOC124903847	4	0	2	1	5	9	1	0	18	50
KAZN-AS1	0	3	0	2	1	0	0	0	0	2
LOC124903850	2	1	1	1	3	0	0	0	2	6
LOC105376759	2	0	0	0	8	12	1	1	4	12
LOC124903848	32	32	24	20	138	184	28	29	40	126
LOC107985469	1	2	1	0	2	12	2	3	2	8
LOC124903849	0	0	0	1	4	8	0	0	0	6
TMEM51-AS1	11	6	35	49	20	11	29	57	15	35
TMEM51	233	214	522	651	266	195	565	742	240	311
TMEM51-AS2	7	8	7	10	14	8	9	4	23	50
FHAD1	16	21	47	53	53	34	13	9	28	38
LOC124903853	0	2	1	0	0	0	1	0	1	3
LOC124903852	1	2	4	6	0	1	0	0	3	0
FHAD1-AS1	1	2	3	8	3	3	1	3	3	13
LOC124903851	2	0	1	0	1	0	0	0	7	13
EFHD2-AS1	5	2	6	9	9	7	1	8	3	7
EFHD2	555	679	661	925	703	413	373	459	376	357
CTRC	0	0	0	0	1	1	0	1	0	2
CELA2A	4	4	1	1	1	2	1	1	0	1
LOC105376767	3	1	1	1	2	1	1	1	0	1
CELA2B	12	4	5	8	12	21	10	16	10	10
CASP9	499	568	384	444	510	343	1005	1261	513	388
DNAJC16	1664	1566	1579	1992	2618	2047	2223	2382	1179	1319
SCARNA21B	7	2	2	3	2	2	0	2	5	7
AGMAT	324	441	56	48	131	122	59	34	36	29
LOC124903854	2	4	1	5	5	7	2	3	7	2
DDI2	2684	2897	1405	1697	3377	3083	2557	2452	2228	2065
RSC1A1	1	1	2	1	1	3	0	0	0	0
PLEKHM2	2174	2341	1885	2685	2747	2172	2961	2743	3617	2604
SLC25A34	13	32	9	10	51	39	28	39	144	150
SLC25A34-AS1	2	0	0	0	1	2	0	0	1	7
TMEM82	7	11	15	54	52	42	2	1	2	13
FBLIM1	2332	2963	1540	2497	1962	1562	2939	2830	3625	3474
UQCRHL	41	78	47	46	58	40	42	38	23	26
SPEN-AS1	266	237	156	217	434	331	188	204	314	214
SPEN	3907	2662	2923	2905	4512	4610	2459	2126	5388	5906
LOC124904815	0	0	0	0	3	2	0	0	7	2
ZBTB17	697	798	769	897	1021	696	778	950	989	804
LOC124903855	53	24	30	23	48	84	26	17	142	285
SRARP	7	8	96	123	68	40	6	7	2	4
HSPB7	42	41	39	34	203	209	13513	21104	40577	23252
CLCNKA	30	16	61	85	140	125	74	94	54	36
CLCNKB	56	94	119	188	490	392	270	502	758	361
FAM131C	15	11	20	41	37	39	69	134	76	38
EPHA2	3933	4343	5436	7169	2998	2120	1261	1210	2197	1704
EPHA2-AS1	90	73	98	119	134	83	28	33	48	57
ARHGEF19	1750	2008	576	701	1241	1026	119	104	103	169
ANO7L1	6	4	5	7	10	6	14	17	10	12
CPLANE2	57	76	76	98	204	121	313	396	130	106
FBXO42	1739	1300	1500	1616	1632	1299	1480	2004	1642	1538
SZRD1	2747	3448	1688	2165	3000	2357	2516	3106	2760	1939
SPATA21	26	18	21	19	33	37	3	3	18	23
NECAP2	1062	1355	1089	1664	2214	1668	583	524	1132	1137
LINC01772	60	25	32	41	97	99	28	25	91	126
CROCCP3	292	216	216	295	510	465	132	161	495	708
RNU1-1	9	13	30	23	60	42	8	6	6	6
TRN-GTT5-1	11	8	5	4	7	3	1	0	0	0
LINC01783	30	36	27	29	73	94	16	13	7	3
TRE-TTC4-1	0	0	0	0	0	0	0	0	0	0
LOC124903856	0	0	0	0	0	0	0	0	0	0
TRG-CCC1-1	40	44	16	23	42	46	1	2	0	0
NBPF1	272	297	372	508	1072	925	569	607	1004	1334
LOC124900584	739	807	420	617	1257	982	510	637	365	536
CROCCP2	278	252	180	245	464	361	169	236	121	218
MST1P2	230	155	274	493	1046	815	51	68	29	29
RNU1-3	0	0	2	0	1	2	0	0	0	0
LOC124903857	1	0	0	0	0	0	0	0	0	0
TRG-CCC4-1	26	13	11	24	27	46	8	10	0	1
ESPNP	35	14	6	15	17	31	4	2	1	2
LOC124903858	18	13	4	5	14	3	0	1	1	0
TRG-CCC5-1	49	49	20	19	11	22	0	0	2	0
LOC124903859	0	1	1	1	5	0	1	0	1	0
RNU1-4	2	1	1	2	5	2	3	1	0	2
MST1L	64	42	89	159	299	205	8	6	8	9
MIR3675	0	0	0	0	0	0	0	0	0	0
TRG-CCC1-2	27	16	12	9	13	17	1	0	0	0
LOC112267871	50	48	59	51	170	189	19	25	17	9
TRE-TTC3-1	0	0	0	0	0	0	0	0	0	0
LOC105376805	167	200	163	210	239	158	84	152	253	156
TRN-GTT4-1	5	0	3	3	3	5	2	1	7	3
RNU1-2	17	10	40	38	105	58	20	11	8	11
CROCC	3344	3157	1546	2200	2465	2168	476	500	1042	1218
MFAP2	1440	1819	1288	1407	2279	1605	288	232	813	1312
LOC105376806	70	111	76	120	154	141	14	20	106	174
ATP13A2	3726	4143	1922	2186	2315	1880	2096	2481	1161	1054
SDHB	2169	2503	1130	1221	1439	1054	2371	2848	2654	1585
PADI2	231	157	34	20	33	22	14	4	596	471
LOC124903861	1	0	0	0	1	2	0	0	6	4
LOC105376808	0	0	0	0	0	0	0	0	0	0
LINC02783	1	1	0	0	0	0	0	0	0	0
PADI1	3	14	0	0	11	5	8	17	1	2
PADI3	51	78	73	47	28	27	0	0	4	1
MIR3972	0	0	2	0	0	1	0	0	0	0
PADI4	7	18	3	2	0	0	0	1	3	2
PADI6	1	4	1	1	3	0	0	0	0	0
RCC2	16416	23189	6863	7678	10805	8906	3688	3366	2988	3083
RCC2-AS1	0	0	0	0	0	0	0	0	0	0
LOC124903862	26	17	6	5	12	5	4	4	2	3
LOC124904837	0	0	0	0	0	0	0	0	0	0
ARHGEF10L	1389	1630	682	943	2263	1624	1656	1816	2152	1584
LINC02810	0	0	0	0	0	0	2	5	0	0
ACTL8	40	38	1	0	0	1	1	0	0	2
LOC105376809	0	0	0	0	0	0	0	0	0	1
LOC105376812	0	0	0	0	0	0	0	0	0	0
