	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4	IDA_1	IDA_2	IDA_3	IDA_4
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TNFRSF18	4	0	0	1	1	2	1	5	1	1	0	1	1	1	0	0	2	0	4	3
TNFRSF4	1	0	0	1	3	0	0	2	0	0	0	1	0	0	3	0	2	0	0	1
SDF4	4603	3008	813	2285	1035	4201	1616	3096	1523	2949	1402	1707	735	1722	1244	1582	2045	898	2154	1571
B3GALT6	1023	849	215	460	219	844	361	707	369	669	336	374	149	359	246	490	443	150	306	286
C1QTNF12	52	13	6	17	23	26	11	26	26	36	9	17	6	20	14	17	12	5	25	21
UBE2J2	1216	1115	304	812	357	1417	548	1164	550	1083	505	697	308	569	432	780	983	336	774	573
SCNN1D	198	214	36	123	117	253	174	138	87	218	108	131	38	192	117	99	90	88	278	85
ACAP3	2881	2075	395	1137	430	2477	913	1238	702	1810	932	856	374	1014	828	963	1097	333	1098	1034
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD167	20	14	1	2	5	14	8	4	2	14	5	5	2	5	6	5	9	2	4	9
PUSL1	356	264	60	157	58	345	126	225	133	202	120	112	50	115	84	137	88	46	98	81
INTS11	1959	2039	497	1349	657	2450	1171	1703	955	2092	967	1096	494	1262	829	978	1574	647	1381	1172
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPTP	680	599	149	519	195	855	292	530	318	735	302	312	182	317	252	346	409	147	268	382
TAS1R3	50	34	11	27	22	56	39	26	16	69	28	40	16	34	24	10	37	23	76	67
DVL1	1130	931	253	613	355	1361	517	857	465	1077	422	532	234	524	363	469	685	268	678	554
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	294	153	30	346	390	644	668	1042	750	294	154	577	81	529	164	70	138	212	281	150
AURKAIP1	2321	1767	392	1020	403	2324	552	1298	699	1552	747	638	334	680	488	905	762	336	709	742
CCNL2	6351	5152	1462	2869	1775	6732	2841	5202	2676	4272	2518	3061	1220	3502	2864	3100	2829	1747	3917	2071
MRPL20-AS1	620	477	161	261	98	423	160	345	184	344	193	188	79	206	150	285	325	53	262	157
MRPL20	2580	1674	478	910	389	2608	723	1361	747	1512	717	792	402	778	632	918	917	425	853	599
MRPL20-DT	141	128	35	102	28	221	82	157	70	111	83	88	46	95	78	95	125	33	114	53
ANKRD65	5	1	0	0	6	3	6	4	5	1	0	9	2	3	2	0	3	3	3	0
ANKRD65-AS1	0	0	0	0	4	1	1	0	1	1	0	1	2	4	0	0	2	2	3	2
TMEM88B	12	5	0	3	12	18	8	20	7	5	7	9	1	8	9	2	0	12	7	2
LINC01770	73	1	0	23	29	68	28	48	22	19	33	29	1	37	19	0	1	22	8	3
LOC107985729	29	0	0	8	23	32	21	22	16	6	16	19	0	21	13	1	0	16	4	5
VWA1	364	25	4	127	133	278	147	357	192	88	134	175	16	142	76	21	9	59	39	28
ATAD3C	5	1	1	7	6	12	5	11	5	3	0	0	0	3	5	2	0	3	3	0
ATAD3B	1091	878	214	464	296	1164	497	719	362	783	468	471	189	585	391	503	467	236	762	467
ATAD3A	964	950	249	498	194	1061	353	676	376	745	320	326	196	292	251	510	342	137	260	238
TMEM240	139	106	29	56	48	157	40	75	35	128	63	74	26	90	32	66	17	21	20	14
SSU72	2627	2130	619	1470	604	3563	903	2275	1110	1956	946	1071	585	881	827	1354	2016	747	1248	1235
FNDC10	151	182	34	157	92	276	61	207	94	125	86	46	21	48	59	87	126	81	43	76
LOC105378586	2	2	1	1	3	5	0	1	2	0	2	2	0	1	3	1	1	7	3	2
MIB2	1348	1018	219	618	445	1219	539	584	331	944	566	522	210	696	535	601	589	382	841	487
LOC124903821	559	302	51	198	177	302	267	171	134	492	264	339	106	460	303	198	76	81	119	90
MMP23B	220	139	20	137	69	219	100	83	67	234	68	109	45	115	59	89	2	29	12	4
CDK11B	1424	1017	321	825	354	1376	574	996	565	1102	503	677	320	667	487	768	927	267	772	505
SLC35E2B	1864	2297	825	1402	877	2617	1244	1842	1048	2083	855	1180	617	1450	905	1266	1074	465	816	643
MMP23A	9	0	0	9	5	9	1	5	1	7	2	6	3	1	7	5	0	1	0	0
CDK11A	533	377	124	263	137	532	216	396	197	374	163	250	101	255	175	247	366	130	387	201
SLC35E2A	567	1185	357	574	415	1036	420	513	350	819	318	408	263	513	395	729	533	275	265	182
LOC112268218	2	1	1	5	2	2	1	0	0	1	2	3	0	4	1	2	1	1	4	1
NADK	1441	1035	282	651	280	1389	572	1163	539	927	519	605	250	620	425	558	760	286	767	491
GNB1	9282	9546	3538	7075	2808	12395	4649	12074	6020	8050	4454	5319	2439	4079	3651	5540	8270	2469	5099	4872
GNB1-DT	12	22	7	12	6	12	12	17	11	8	11	5	4	6	6	8	33	13	20	18
LOC124903822	2	3	0	1	1	5	2	0	1	2	1	7	0	4	2	4	17	12	16	12
CALML6	4	3	1	5	6	7	3	4	3	2	0	4	1	8	1	3	19	7	19	14
TMEM52	6	10	4	9	6	8	5	9	2	16	6	10	2	5	2	5	22	16	19	5
CFAP74	5	0	0	0	3	2	2	0	1	0	0	4	0	0	0	0	25	2	13	9
LOC107984872	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1
LOC105378589	0	0	0	0	1	2	1	1	0	0	0	1	0	0	0	0	2	0	3	1
GABRD	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	6	0	1	0
LOC105378590	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
PRKCZ	1269	1118	344	726	316	1157	414	890	397	893	441	484	269	510	387	725	428	215	261	289
PRKCZ-DT	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
PRKCZ-AS1	98	145	40	83	45	97	46	113	71	109	59	44	38	88	63	98	62	16	49	45
FAAP20	1070	817	178	637	302	1157	411	755	432	838	398	462	216	464	274	420	276	273	297	264
LOC112268219	174	186	45	103	78	241	95	143	64	160	99	93	43	95	81	111	93	48	138	74
LOC105378593	3	9	0	9	9	11	10	8	5	11	6	7	1	16	6	6	1	3	4	1
LOC124903823	0	2	1	4	0	8	1	0	1	3	1	2	1	2	1	3	1	1	3	0
SKI	3006	3263	984	2716	1062	3558	1652	3206	1702	3362	1368	1879	1048	1742	1130	1950	2841	960	2511	1583
LOC124903824	91	108	17	31	45	63	32	44	22	68	34	26	17	51	26	42	37	28	40	30
MORN1	131	111	29	84	48	138	54	89	54	128	57	64	32	91	44	69	56	44	93	43
LOC100129534	13	25	4	21	31	42	19	39	23	29	12	21	4	38	12	13	16	18	19	13
RER1	1549	1633	548	1086	478	2327	781	1820	880	1602	723	997	419	813	717	944	1456	515	1380	825
PEX10	386	427	101	284	101	422	188	276	194	426	202	203	88	218	144	210	213	96	142	182
PLCH2	12	13	5	7	2	14	9	6	8	3	7	10	0	19	3	6	17	7	14	12
PANK4	1524	1343	365	751	313	1836	639	941	487	1160	581	699	314	620	510	662	856	308	728	530
HES5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
TNFRSF14	6	6	0	1	1	1	4	38	18	0	0	4	1	7	0	0	0	2	5	4
LOC100996583	0	2	0	0	1	1	0	1	0	3	0	0	0	2	0	0	2	0	3	1
PRXL2B	716	673	180	391	198	666	337	580	365	553	289	383	148	402	239	350	116	58	106	93
MMEL1	0	0	0	2	3	3	3	1	2	0	1	1	0	1	2	0	2	1	2	3
MMEL1-AS1	0	3	0	0	1	1	0	0	2	1	0	0	0	2	1	0	0	0	2	0
TTC34	19	20	4	16	33	19	23	17	17	41	18	31	8	37	28	8	21	48	34	32
LOC105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC124903826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
LOC124903827	3263	2285	606	1797	1995	3092	1097	1494	1095	2814	1302	1365	785	2474	1705	1344	209	750	271	255
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	1960	3239	967	1941	1764	3698	1220	2452	1168	3113	935	1828	777	1312	984	2062	497	911	325	343
MIR4251	2	0	2	0	2	1	4	0	2	1	0	4	1	2	3	3	2	0	1	2
LOC105378606	10	9	1	8	2	8	4	2	0	1	6	6	3	11	1	7	3	3	5	1
LOC107984909	200	143	25	109	50	140	76	69	54	149	72	99	40	121	82	80	33	43	26	21
LOC105378605	16	6	1	7	3	9	4	6	4	8	4	4	3	10	8	3	5	2	3	1
LOC124903828	1014	245	61	219	208	258	336	211	211	307	312	403	182	504	433	189	157	145	126	103
LOC105378604	403	179	45	122	91	219	130	132	97	149	135	165	71	196	143	107	88	60	75	52
ARHGEF16	54	33	19	23	20	46	15	83	46	30	15	10	9	24	14	23	251	40	83	99
MEGF6	2020	1432	353	836	623	1101	820	1269	705	1862	685	831	456	1253	825	763	463	126	141	155
LOC105378608	3	0	0	0	0	1	0	1	2	0	0	0	0	2	0	0	2	0	0	1
MIR551A	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TPRG1L	1333	1363	424	975	484	2160	720	1370	696	1268	635	803	332	764	619	737	790	280	784	509
WRAP73	412	377	96	241	132	544	209	315	183	329	202	185	84	251	190	181	263	109	238	173
TP73	34	16	3	22	14	12	21	18	14	37	15	21	7	20	5	11	24	19	12	14
TP73-AS3	0	0	0	1	0	1	0	4	0	1	0	0	0	1	0	0	4	0	1	3
TP73-AS1	1952	1543	544	1200	682	1908	933	1502	796	1549	817	1001	433	996	762	1130	734	458	743	503
CCDC27	28	80	16	16	26	23	20	23	10	25	15	18	13	19	21	54	25	12	11	10
SMIM1	174	125	21	99	72	108	47	71	52	162	88	63	28	91	70	54	22	33	14	17
LRRC47	3275	2984	893	2071	1108	3913	1292	2438	1272	2768	1359	1462	898	1434	1200	1866	2688	701	1880	1479
CEP104	1357	1133	348	789	353	1298	544	1029	503	1038	524	582	315	584	510	598	1167	364	970	600
LOC124903829	17	11	4	14	11	5	6	16	3	11	8	8	5	9	10	12	18	3	14	14
DFFB	149	138	38	94	85	165	83	130	82	134	59	95	34	110	62	72	60	45	59	63
C1orf174	385	532	150	339	158	688	261	555	326	474	226	257	136	264	219	294	264	125	193	171
LINC01134	3	16	1	5	0	16	6	3	3	10	0	2	4	5	0	10	7	0	10	1
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
LINC01777	0	0	0	1	0	3	1	4	0	2	1	0	1	1	1	0	0	0	1	4
LOC105376674	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0
LOC124904578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AJAP1	5	0	1	5	2	7	4	12	7	2	1	4	2	6	0	0	20	3	25	17
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC124904589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC124904590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3
LOC107984911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1
LOC105376686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
LOC124900451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	1
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NPHP4	230	235	65	108	86	256	124	199	130	139	96	134	28	128	55	110	150	40	124	60
KCNAB2	93	63	28	65	58	72	65	218	113	91	41	68	14	80	39	55	71	37	81	31
LOC124903831	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	3	0
CHD5	19	10	1	2	4	6	5	46	32	9	4	6	4	16	4	7	39	8	61	29
RPL22	4694	4872	1593	2241	1627	6168	1464	4208	2071	3517	1595	2037	1127	1728	1842	2716	2616	1080	1492	1530
RNF207-AS1	103	97	17	47	38	83	41	50	21	84	35	35	24	48	46	45	10	15	18	6
RNF207	13823	15376	3692	7612	4293	13225	7698	7683	4495	14881	6265	7622	4435	9046	7551	10142	1543	1755	900	1041
ICMT	3902	4087	1328	2463	1269	5661	1921	3813	1902	4102	1789	2142	1262	2060	1790	2690	2705	1007	1483	1762
ICMT-DT	8	3	1	1	3	11	1	3	3	2	3	1	1	6	1	4	6	1	10	1
HES3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
GPR153	268	378	116	217	161	445	159	297	148	189	136	190	38	205	87	215	366	70	133	186
ACOT7	1123	883	292	625	156	820	384	1082	548	797	381	409	178	293	178	460	479	120	496	287
HES2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	25	3	17	7
ESPN	3	1	0	0	3	0	3	1	1	0	2	2	0	2	2	0	16	14	41	17
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	142	117	15	53	64	145	72	71	50	93	58	65	33	104	59	52	33	28	25	36
PLEKHG5	598	474	122	327	265	513	260	311	197	407	252	249	98	376	242	251	215	151	125	162
NOL9	880	1375	560	1103	506	2186	570	1432	560	1490	442	657	491	573	349	859	1360	471	832	554
TAS1R1	3	0	1	0	0	2	1	0	5	2	1	0	0	4	0	1	22	4	17	4
LOC107984912	0	0	0	3	0	0	0	1	0	0	0	0	0	1	2	1	1	0	0	1
ZBTB48	528	475	131	258	180	626	230	345	183	448	222	289	106	329	208	264	376	128	385	234
KLHL21	5461	5100	1751	3811	968	6110	2137	4970	2288	4521	2177	1844	1223	2155	1851	2620	3721	505	3100	2090
LOC107984913	191	147	42	129	37	263	103	103	65	146	69	99	48	126	85	79	103	30	213	43
PHF13	1861	1669	533	1221	537	2210	684	1811	697	1590	643	766	429	741	630	960	975	340	887	527
THAP3	422	366	78	222	121	543	203	245	192	354	148	181	86	234	139	200	170	73	151	116
DNAJC11	1929	1516	506	1002	494	1634	629	1253	704	1340	621	639	413	646	553	1045	1491	411	880	819
LINC01672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0
LOC124904847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	7	6	4	7	0	9	5	3	2	4	4	7	1	3	4	1	8	8	31	5
CAMTA1	1211	1316	428	853	407	1936	614	1146	605	1138	651	705	368	555	673	833	731	340	617	411
LOC124903832	154	60	30	72	51	106	35	73	54	75	42	58	38	67	64	67	132	90	56	48
CAMTA1-AS3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
LOC124900385	0	1	0	0	0	1	1	0	0	0	1	1	0	2	0	0	5	0	6	1
CAMTA1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
CAMTA1-AS1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	3
LOC105376691	5	1	1	0	2	0	0	0	0	0	1	1	0	0	3	0	2	0	0	0
LOC105376689	35	17	5	18	16	12	15	59	13	41	15	23	8	21	18	8	31	21	35	20
VAMP3	3267	3043	1213	2278	1079	4969	1565	3966	1875	2611	1501	1905	935	1470	1607	1766	2263	977	1889	1430
PER3	893	577	218	854	684	1113	636	681	396	1406	559	626	547	787	780	492	262	405	360	278
LOC124903833	17	11	4	8	15	10	16	7	3	25	9	11	11	18	24	8	7	8	8	7
UTS2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	2	4	4
TNFRSF9	25	7	17	6	7	20	3	64	30	19	9	6	4	3	1	6	53	11	24	16
PARK7	6270	4503	1554	2824	1158	6908	2039	4332	2241	4048	2015	2394	1085	1933	1685	2706	3316	1064	2497	1913
LOC124903834	7	8	4	11	4	21	5	11	8	13	3	6	1	7	7	8	41	14	32	15
ERRFI1	417	440	193	309	173	571	297	1330	527	294	174	270	139	213	191	271	1370	222	855	558
ERRFI1-DT	0	3	1	1	2	3	1	4	0	1	3	1	0	4	0	1	21	3	35	8
LOC107984915	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	8	0	7	1
LINC01714	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0
LOC105376695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC124903835	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	4	1
SLC45A1	20	17	6	8	12	38	23	49	18	31	12	15	4	19	13	4	26	14	32	24
RERE	4748	5381	2060	5212	2118	6415	2851	5772	2996	5400	2406	3124	1605	2705	2362	3226	4238	1779	3290	2849
RERE-AS1	13	2	3	2	3	3	7	3	4	3	4	5	2	7	3	4	22	8	45	9
SNORD128	1	1	0	0	1	3	0	0	0	0	0	2	1	0	1	0	0	0	0	0
LOC124900452	2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENO1	14629	9219	3416	6252	19751	34648	5448	17049	8569	7167	7786	7659	2053	4522	3559	5285	10382	14387	9565	7122
MIR6728	0	0	0	1	0	0	0	0	0	2	0	1	0	2	0	1	0	1	0	2
ENO1-AS1	19	12	8	6	2	9	4	3	5	7	4	0	1	9	3	4	23	3	45	11
LOC112268261	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	5
CA6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	27	0	19	7
SLC2A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1
SLC2A5	20	3	1	7	14	5	5	20	10	8	10	9	2	17	6	1	35	7	29	18
LOC124900441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GPR157	298	337	119	217	140	445	140	311	150	328	152	147	112	152	126	229	258	95	189	160
MIR34AHG	289	307	117	302	141	646	193	464	189	341	133	106	78	208	130	180	1402	431	1506	772
MIR34A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	6	37	6	23	11	45	29	25	12	24	16	9	11	33	7	18	77	39	184	55
H6PD	3154	3663	1208	2574	1420	3913	2103	3381	1702	3535	1512	2111	964	2254	1368	2058	1948	940	1688	1126
LOC124903836	41	19	10	20	7	8	13	13	4	16	19	12	4	17	11	10	24	11	7	7
SPSB1	153	155	45	151	122	191	188	568	296	97	67	151	24	161	53	94	172	74	456	99
LINC02606	18	10	3	14	5	16	17	19	17	12	6	13	2	10	5	3	11	8	3	3
SLC25A33	227	290	82	118	31	348	63	266	107	222	116	73	49	56	60	140	249	40	163	95
TMEM201	1088	990	273	634	292	909	373	788	416	806	433	396	191	381	317	482	620	254	455	396
LOC124903837	1	1	0	3	0	5	0	3	0	0	1	2	2	1	1	1	5	3	5	4
PIK3CD	434	371	140	269	109	435	179	339	173	279	163	181	69	192	129	215	338	98	175	146
LOC105376712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CD-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
PIK3CD-AS2	44	38	8	32	13	64	17	58	29	30	12	34	2	19	12	20	8	6	4	4
LOC124903839	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	2	1	0	1	0
CLSTN1	5144	5073	1793	3937	1626	5267	2572	5640	2752	4925	2071	3032	1437	2574	1790	3250	3289	1176	2092	1838
CTNNBIP1	2114	2077	662	1127	459	2368	639	1344	658	1696	696	693	497	838	837	1209	823	320	523	451
LOC105376717	3	17	3	5	3	21	1	12	5	4	0	1	6	3	4	9	8	2	4	3
LOC124903838	20	21	10	11	4	11	3	17	11	15	5	7	3	3	9	15	15	4	6	2
LZIC	2553	2675	1110	1720	1032	3860	927	2152	1115	2278	930	1264	834	1139	1147	1680	1374	595	708	632
NMNAT1	933	899	368	656	335	1397	321	787	416	765	374	409	269	407	378	602	932	319	648	475
TMEM274P	16	14	10	14	1	7	7	4	2	12	7	10	4	12	5	11	33	4	7	4
MIR5697	4	7	3	2	1	4	0	1	2	0	1	0	2	1	0	3	7	1	0	2
LOC124903840	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
RBP7	197	216	75	95	19	66	61	149	86	484	80	55	154	77	103	149	46	4	29	29
UBE4B	3769	4750	1941	3577	1595	4726	2096	3848	1934	4295	1740	2462	1326	2228	1846	3603	2876	1140	1523	1309
KIF1B	11311	9504	4416	8229	3338	12883	4537	9748	4614	10070	4451	5473	3821	5071	4436	6572	7618	2968	6010	4347
