Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Passages,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR4032143,RNA-Seq,GCA_000001405.13,174,9821652898,PRJNA339027,SAMN05578089,4294997160,ES-derived cardiac progenitor,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D7+ GATA4si,SRX2023651,GSM2279926,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,40-60,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T15:35:00Z,1,GSM2279926,cardiac progenitor H7-derived,SRP082270
SRR4032144,RNA-Seq,GCA_000001405.13,175,10134195168,PRJNA339027,SAMN05578104,4371271046,ES-derived cardiac progenitor,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D7+ GATA4si,SRX2023652,GSM2279927,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,40-60,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T16:09:00Z,1,GSM2279927,cardiac progenitor H7-derived,SRP082270
SRR4032145,RNA-Seq,GCA_000001405.13,187,6221288798,PRJNA339027,SAMN05578103,2589042625,ES-derived cardiomyocyte,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D30,SRX2023653,GSM2279928,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,40-60,ILLUMINA,2016-12-15T00:00:00Z,2016-08-29T13:11:00Z,1,GSM2279928,cardiomyocyte H7-derived,SRP082270
SRR4032146,RNA-Seq,GCA_000001405.13,197,7645969968,PRJNA339027,SAMN05578105,2960635812,ES-derived cardiomyocyte,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D30,SRX2023654,GSM2279929,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,40-60,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T15:11:00Z,1,GSM2279929,cardiomyocyte H7-derived,SRP082270
SRR4032147,RNA-Seq,GCA_000001405.13,181,3561375815,PRJNA339027,SAMN05578102,941044067,iPS-derived cardiac progenitor cells,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D7,SRX2023655,GSM2279930,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:43:00Z,1,GSM2279930,cardiac progenitor isogenic WT,SRP082270
SRR4032148,RNA-Seq,GCA_000001405.13,176,3496728518,PRJNA339027,SAMN05578101,968802434,iPS-derived cardiac progenitor cells,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D7,SRX2023656,GSM2279931,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:40:00Z,1,GSM2279931,cardiac progenitor isogenic WT,SRP082270
SRR4032149,RNA-Seq,GCA_000001405.13,181,3507318910,PRJNA339027,SAMN05578100,940920732,iPS-derived cardiac progenitor cells,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D7,SRX2023657,GSM2279932,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:42:00Z,1,GSM2279932,cardiac progenitor isogenic G296S mutant,SRP082270
SRR4032150,RNA-Seq,GCA_000001405.13,180,3848879017,PRJNA339027,SAMN05578164,1052340246,iPS-derived cardiac progenitor cells,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D7,SRX2023658,GSM2279933,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T15:43:00Z,1,GSM2279933,cardiac progenitor isogenic G296S mutant,SRP082270
SRR4032151,RNA-Seq,GCA_000001405.13,177,3854540257,PRJNA339027,SAMN05578107,1015561908,iPS-derived cardiomyocytes,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D15,SRX2023660,GSM2279934,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T15:03:00Z,1,GSM2279934,unpurified cardiomyocyte isogenic WT,SRP082270
SRR4032152,RNA-Seq,GCA_000001405.13,179,3905178506,PRJNA339027,SAMN05578106,1015211375,iPS-derived cardiomyocytes,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D15,SRX2023661,GSM2279935,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:42:00Z,1,GSM2279935,unpurified cardiomyocyte isogenic WT,SRP082270
SRR4032153,RNA-Seq,GCA_000001405.13,178,3065800023,PRJNA339027,SAMN05578167,832317042,iPS-derived cardiomyocytes,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D15,SRX2023662,GSM2279936,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:43:00Z,1,GSM2279936,unpurified cardiomyocyte isogenic G296S mutant,SRP082270
SRR4032154,RNA-Seq,GCA_000001405.13,180,4064085893,PRJNA339027,SAMN05578166,1068900667,iPS-derived cardiomyocytes,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D15,SRX2023663,GSM2279937,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T15:01:00Z,1,GSM2279937,unpurified cardiomyocyte isogenic G296S mutant,SRP082270
SRR4032155,RNA-Seq,GCA_000001405.13,179,3714148708,PRJNA339027,SAMN05578165,1107004759,iPS-derived cardiomyocytes,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D32,SRX2023664,GSM2279938,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:42:00Z,1,GSM2279938,purified cardiomyocyte isogenic WT,SRP082270
SRR4032156,RNA-Seq,GCA_000001405.13,179,3872127718,PRJNA339027,SAMN05578163,1162822664,iPS-derived cardiomyocytes,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D32,SRX2023665,GSM2279939,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:44:00Z,1,GSM2279939,purified cardiomyocyte isogenic WT,SRP082270
SRR4032157,RNA-Seq,GCA_000001405.13,180,3692541942,PRJNA339027,SAMN05578162,1065081016,iPS-derived cardiomyocytes,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D32,SRX2023666,GSM2279940,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T16:20:00Z,1,GSM2279940,purified cardiomyocyte isogenic G296S mutant,SRP082270
SRR4032158,RNA-Seq,GCA_000001405.13,181,3589318945,PRJNA339027,SAMN05578161,1069190994,iPS-derived cardiomyocytes,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D32,SRX2023667,GSM2279941,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T15:24:00Z,1,GSM2279941,purified cardiomyocyte isogenic G296S mutant,SRP082270
