	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	DAU_1	DAU_2	DAU_3	DAU_4	GEF_1	GEF_2	GEF_3	GEF_4
PRDM16	935	3113	3239	2452	1168	1960	1828	1220	3698	1764	1941	967	89	100	183	142	984	1312	2062	777
MIR4251	0	1	0	0	2	2	4	4	1	2	0	2	0	1	0	3	3	2	3	1
LOC105378606	6	1	9	2	0	10	6	4	8	2	8	1	2	0	3	6	1	11	7	3
LOC107984909	72	149	143	69	54	200	99	76	140	50	109	25	52	24	20	28	82	121	80	40
LOC105378605	4	8	6	6	4	16	4	4	9	3	7	1	1	0	2	0	8	10	3	3
LOC124903828	312	307	245	211	211	1014	403	336	258	208	219	61	27	15	67	50	433	504	189	182
LOC105378604	135	149	179	132	97	403	165	130	219	91	122	45	19	5	48	22	143	196	107	71
ARHGEF16	15	30	33	83	46	54	10	15	46	20	23	19	50	21	35	48	14	24	23	9
MEGF6	685	1862	1432	1269	705	2020	831	820	1101	623	836	353	255	269	119	149	825	1253	763	456
LOC105378608	0	0	0	1	2	3	0	0	1	0	0	0	0	0	1	0	0	2	0	0
MIR551A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
TPRG1L	635	1268	1363	1370	696	1333	803	720	2160	484	975	424	2145	4596	711	1535	619	764	737	332
WRAP73	202	329	377	315	183	412	185	209	544	132	241	96	217	142	156	148	190	251	181	84
TP73	15	37	16	18	14	34	21	21	12	14	22	3	99	108	17	35	5	20	11	7
TP73-AS3	0	1	0	4	0	0	0	0	1	0	1	0	5	3	1	1	0	1	0	0
TP73-AS1	817	1549	1543	1502	796	1952	1001	933	1908	682	1200	544	536	699	518	509	762	996	1130	433
CCDC27	15	25	80	23	10	28	18	20	23	26	16	16	24	44	7	11	21	19	54	13
SMIM1	88	162	125	71	52	174	63	47	108	72	99	21	3	5	9	7	70	91	54	28
LRRC47	1359	2768	2984	2438	1272	3275	1462	1292	3913	1108	2071	893	1745	1247	1269	1236	1200	1434	1866	898
CEP104	524	1038	1133	1029	503	1357	582	544	1298	353	789	348	1332	1466	811	857	510	584	598	315
LOC124903829	8	11	11	16	3	17	8	6	5	11	14	4	7	15	17	10	10	9	12	5
DFFB	59	134	138	130	82	149	95	83	165	85	94	38	104	129	55	54	62	110	72	34
C1orf174	226	474	532	555	326	385	257	261	688	158	339	150	115	170	153	133	219	264	294	136
LINC01134	0	10	16	3	3	3	2	6	16	0	5	1	40	33	8	48	0	5	10	4
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
LINC01777	1	2	0	4	0	0	0	1	3	0	1	0	3	3	0	1	1	1	0	1
LOC105376674	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
LOC124904578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
AJAP1	1	2	0	12	7	5	4	4	7	2	5	1	91	58	27	10	0	6	0	2
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC124904589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
LOC124900451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	96	139	235	199	130	230	134	124	256	86	108	65	107	154	78	63	55	128	110	28
KCNAB2	41	91	63	218	113	93	68	65	72	58	65	28	448	481	66	132	39	80	55	14
LOC124903831	0	1	0	2	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0
CHD5	4	9	10	46	32	19	6	5	6	4	2	1	38	86	29	49	4	16	7	4
RPL22	1595	3517	4872	4208	2071	4694	2037	1464	6168	1627	2241	1593	944	1076	1071	451	1842	1728	2716	1127
RNF207-AS1	35	84	97	50	21	103	35	41	83	38	47	17	13	28	10	19	46	48	45	24
RNF207	6265	14881	15376	7683	4495	13823	7622	7698	13225	4293	7612	3692	316	923	542	872	7551	9046	10142	4435
ICMT	1789	4102	4087	3813	1902	3902	2142	1921	5661	1269	2463	1328	781	403	909	508	1790	2060	2690	1262
ICMT-DT	3	2	3	3	3	8	1	1	11	3	1	1	42	34	15	8	1	6	4	1
HES3	0	0	1	0	0	0	0	0	0	0	0	0	2	7	3	1	0	0	0	0
GPR153	136	189	378	297	148	268	190	159	445	161	217	116	269	375	90	175	87	205	215	38
ACOT7	381	797	883	1082	548	1123	409	384	820	156	625	292	1863	1291	412	604	178	293	460	178
HES2	0	0	1	0	0	0	0	0	1	0	0	0	24	33	4	15	0	0	1	0
ESPN	2	0	1	1	1	3	2	3	0	3	0	0	104	65	36	109	2	2	0	0
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	58	93	117	71	50	142	65	72	145	64	53	15	25	40	19	16	59	104	52	33
PLEKHG5	252	407	474	311	197	598	249	260	513	265	327	122	63	117	71	90	242	376	251	98
NOL9	442	1490	1375	1432	560	880	657	570	2186	506	1103	560	1180	975	672	396	349	573	859	491
TAS1R1	1	2	0	0	5	3	0	1	2	0	0	1	35	59	18	24	0	4	1	0
LOC107984912	0	0	0	1	0	0	0	0	0	0	3	0	3	2	1	0	2	1	1	0
ZBTB48	222	448	475	345	183	528	289	230	626	180	258	131	280	340	252	295	208	329	264	106
KLHL21	2177	4521	5100	4970	2288	5461	1844	2137	6110	968	3811	1751	3928	3983	2358	4181	1851	2155	2620	1223
LOC107984913	69	146	147	103	65	191	99	103	263	37	129	42	474	588	199	373	85	126	79	48
PHF13	643	1590	1669	1811	697	1861	766	684	2210	537	1221	533	1246	1506	741	957	630	741	960	429
THAP3	148	354	366	245	192	422	181	203	543	121	222	78	84	250	82	144	139	234	200	86
DNAJC11	621	1340	1516	1253	704	1929	639	629	1634	494	1002	506	774	494	688	648	553	646	1045	413
LINC01672	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
LOC124904847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	4	4	6	3	2	7	7	5	9	0	7	4	102	197	33	96	4	3	1	1
CAMTA1	651	1138	1316	1146	605	1211	705	614	1936	407	853	428	653	603	529	792	673	555	833	368
LOC124903832	42	75	60	73	54	154	58	35	106	51	72	30	79	104	62	82	64	67	67	38
CAMTA1-AS3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0
LOC124900385	1	0	1	0	0	0	1	1	1	0	0	0	4	8	4	0	0	2	0	0
CAMTA1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
CAMTA1-AS1	0	0	1	0	0	0	0	1	1	0	0	0	6	3	5	1	0	1	0	0
LOC105376691	1	0	1	0	0	5	1	0	0	2	0	1	1	1	0	0	3	0	0	0
LOC105376689	15	41	17	59	13	35	23	15	12	16	18	5	55	95	53	61	18	21	8	8
VAMP3	1501	2611	3043	3966	1875	3267	1905	1565	4969	1079	2278	1213	1759	1223	1452	965	1607	1470	1766	935
PER3	559	1406	577	681	396	893	626	636	1113	684	854	218	344	593	239	269	780	787	492	547
LOC124903833	9	25	11	7	3	17	11	16	10	15	8	4	1	1	4	2	24	18	8	11
UTS2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	1	0	0
TNFRSF9	9	19	7	64	30	25	6	3	20	7	6	17	11	9	10	5	1	3	6	4
PARK7	2015	4048	4503	4332	2241	6270	2394	2039	6908	1158	2824	1554	1655	1192	1647	1234	1685	1933	2706	1085
LOC124903834	3	13	8	11	8	7	6	5	21	4	11	4	10	20	25	20	7	7	8	1
ERRFI1	174	294	440	1330	527	417	270	297	571	173	309	193	761	1201	695	952	191	213	271	139
ERRFI1-DT	3	1	3	4	0	0	1	1	3	2	1	1	20	36	25	13	0	4	1	0
LOC107984915	0	0	0	1	0	0	0	1	1	0	0	0	3	2	2	0	0	1	1	0
LINC01714	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0
LOC105376695	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
LOC124903835	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SLC45A1	12	31	17	49	18	20	15	23	38	12	8	6	16	7	25	18	13	19	4	4
RERE	2406	5400	5381	5772	2996	4748	3124	2851	6415	2118	5212	2060	4031	3578	2429	5144	2362	2705	3226	1605
RERE-AS1	4	3	2	3	4	13	5	7	3	3	2	3	129	215	57	84	3	7	4	2
SNORD128	0	0	1	0	0	1	2	0	3	1	0	0	1	0	0	0	1	0	0	1
LOC124900452	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ENO1	7786	7167	9219	17049	8569	14629	7659	5448	34648	19751	6252	3416	6646	4258	6157	6551	3559	4522	5285	2053
MIR6728	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	1	0
ENO1-AS1	4	7	12	3	5	19	0	4	9	2	6	8	55	56	42	35	3	9	4	1
LOC112268261	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CA6	0	0	0	0	0	0	0	0	0	0	0	0	8	3	12	2	0	1	0	0
SLC2A7	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0
SLC2A5	10	8	3	20	10	20	9	5	5	14	7	1	21	44	15	20	6	17	1	2
LOC124900441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR157	152	328	337	311	150	298	147	140	445	140	217	119	213	727	147	299	126	152	229	112
MIR34AHG	133	341	307	464	189	289	106	193	646	141	302	117	1970	1129	1354	1630	130	208	180	78
MIR34A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	16	24	37	25	12	6	9	29	45	11	23	6	340	242	205	205	7	33	18	11
H6PD	1512	3535	3663	3381	1702	3154	2111	2103	3913	1420	2574	1208	1866	874	1328	1311	1368	2254	2058	964
LOC124903836	19	16	19	13	4	41	12	13	8	7	20	10	18	7	22	27	11	17	10	4
SPSB1	67	97	155	568	296	153	151	188	191	122	151	45	1672	1722	443	1132	53	161	94	24
LINC02606	6	12	10	19	17	18	13	17	16	5	14	3	4	6	9	2	5	10	3	2
SLC25A33	116	222	290	266	107	227	73	63	348	31	118	82	192	239	117	104	60	56	140	49
TMEM201	433	806	990	788	416	1088	396	373	909	292	634	273	709	374	330	605	317	381	482	191
LOC124903837	1	0	1	3	0	1	2	0	5	0	3	0	10	21	3	12	1	1	1	2
PIK3CD	163	279	371	339	173	434	181	179	435	109	269	140	296	397	107	202	129	192	215	69
LOC105376712	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PIK3CD-AS1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0
PIK3CD-AS2	12	30	38	58	29	44	34	17	64	13	32	8	5	9	4	5	12	19	20	2
LOC124903839	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0
CLSTN1	2071	4925	5073	5640	2752	5144	3032	2572	5267	1626	3937	1793	2141	1771	1346	1178	1790	2574	3250	1437
CTNNBIP1	696	1696	2077	1344	658	2114	693	639	2368	459	1127	662	655	495	394	312	837	838	1209	497
LOC105376717	0	4	17	12	5	3	1	1	21	3	5	3	1	3	2	4	4	3	9	6
LOC124903838	5	15	21	17	11	20	7	3	11	4	11	10	13	8	7	2	9	3	15	3
LZIC	930	2278	2675	2152	1115	2553	1264	927	3860	1032	1720	1110	669	459	558	329	1147	1139	1680	834
NMNAT1	374	765	899	787	416	933	409	321	1397	335	656	368	905	894	497	490	378	407	602	269
TMEM274P	7	12	14	4	2	16	10	7	7	1	14	10	4	8	7	3	5	12	11	4
MIR5697	1	0	7	1	2	4	0	0	4	1	2	3	3	1	0	1	0	1	3	2
LOC124903840	0	1	0	1	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0
RBP7	80	484	216	149	86	197	55	61	66	19	95	75	134	140	56	23	103	77	149	154
UBE4B	1740	4295	4750	3848	1934	3769	2462	2096	4726	1595	3577	1941	1312	780	1061	921	1846	2228	3603	1326
KIF1B	4451	10070	9504	9748	4614	11311	5473	4537	12883	3338	8229	4416	5911	3949	4855	4669	4436	5071	6572	3821
