	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	DOX_1	DOX_2	DOX_3	GEF_1	GEF_2	GEF_3
PARK7	1771	896	1235	1496	4204	768	2033	1217	1288	3322	1510	1518	1479	1368	876	1209	841
LOC124903834	2	3	4	5	13	4	3	10	6	15	11	10	12	10	3	5	5
ERRFI1	295	133	151	195	201	101	223	169	169	579	249	503	384	841	104	145	122
ERRFI1-DT	1	0	1	1	2	1	0	0	0	2	1	3	9	47	2	2	0
LOC107984915	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0
LINC01714	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC105376695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903835	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SLC45A1	9	4	4	6	19	5	7	12	12	41	20	6	24	11	7	8	4
RERE	2826	1927	2472	1677	2830	2908	4491	2440	3048	4337	1805	3681	5353	3929	2137	2535	2824
RERE-AS1	8	3	1	5	7	7	4	4	3	7	1	58	67	122	3	4	5
SNORD128	0	0	1	0	0	4	0	1	0	0	0	1	1	0	1	1	3
LOC124900452	0	0	0	0	8	1	0	0	0	1	0	3	0	0	0	0	0
ENO1	13055	6225	6524	8267	18643	3156	12740	2701	2970	7701	3867	3558	5773	4502	1715	4850	2506
MIR6728	0	0	1	0	4	0	0	0	0	0	0	0	2	0	0	0	0
ENO1-AS1	2	1	2	4	0	2	7	0	6	11	2	31	40	44	3	1	4
LOC112268261	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
CA6	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0
SLC2A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A5	6	2	3	1	6	0	6	5	6	13	7	0	11	5	16	2	0
LOC124900441	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GPR157	120	80	116	93	193	116	141	68	90	316	135	98	108	243	70	79	109
MIR34AHG	81	34	40	48	65	23	148	58	60	128	40	1931	2574	1656	74	45	15
MIR34A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	15	8	2	2	10	0	14	11	10	6	4	353	466	272	10	7	6
H6PD	1660	1347	1526	1169	1781	1514	2699	1443	1794	3135	1172	1818	2816	1510	1460	1700	1667
LOC124903836	7	12	6	10	4	11	9	8	11	20	6	29	25	9	10	14	21
SPSB1	67	15	15	22	74	49	68	44	47	203	60	396	331	713	31	28	41
LINC02606	5	1	1	1	1	1	4	1	2	16	6	2	2	1	2	1	0
SLC25A33	99	53	92	80	161	35	118	99	91	160	67	120	103	256	55	59	29
TMEM201	484	289	349	325	919	389	860	392	553	696	265	770	1190	475	332	351	353
LOC124903837	4	0	0	2	2	2	1	3	0	3	0	0	5	2	0	0	0
PIK3CD	163	118	158	98	333	157	299	134	157	316	106	285	417	227	108	132	215
LOC105376712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CD-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PIK3CD-AS2	28	6	6	12	77	10	29	6	8	32	13	10	4	6	3	13	4
LOC124903839	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4
CLSTN1	2090	1500	2006	1742	2693	1519	3278	1732	2078	3872	1602	1335	2017	1305	1396	1947	1500
CTNNBIP1	836	500	655	783	1430	382	1387	602	768	1137	427	739	892	510	651	794	661
LOC105376717	0	3	1	6	10	8	7	1	3	12	2	2	10	2	5	4	3
LOC124903838	2	13	11	8	18	9	17	8	10	18	7	11	21	6	11	16	11
LZIC	936	546	683	881	1311	465	955	690	744	1632	697	664	611	549	585	830	513
NMNAT1	380	226	241	404	555	272	528	297	330	636	315	737	859	763	251	277	250
TMEM274P	1	17	2	9	7	15	5	2	9	12	0	8	17	3	6	13	7
MIR5697	1	1	6	1	4	1	4	0	1	3	1	0	2	2	1	2	1
LOC124903840	0	1	0	0	0	0	0	0	1	3	0	0	2	4	1	0	0
RBP7	48	75	98	139	177	30	104	104	117	275	109	65	58	138	83	117	30
UBE4B	2087	1455	1717	1563	2172	1636	2757	1773	1924	2789	1140	1269	1599	964	1640	1925	1709
KIF1B	4071	2604	3882	3833	3042	3216	4138	3546	3810	7280	3092	4912	4695	4289	3068	3837	3526
PGD	1749	901	1062	1337	3773	1040	2351	1083	1229	2547	1122	5475	4444	6920	867	1201	1211
CENPS-CORT	1	1	1	0	0	0	0	3	0	3	0	1	0	2	5	0	0
CENPS	15	6	4	10	13	1	3	10	8	20	11	12	1	7	10	3	3
CORT	1	2	4	12	26	8	16	2	6	6	3	10	10	12	5	2	2
DFFA	941	514	704	856	1670	647	1202	607	742	1628	712	1620	1934	1343	525	742	746
PEX14	415	254	269	230	833	255	713	277	347	644	256	261	360	198	224	303	331
CASZ1	3277	3332	4386	3626	4882	4392	7485	3470	4775	6814	2145	2277	3752	2580	3200	4721	4863
LOC105376733	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0
LOC105376735	0	0	0	0	0	0	0	0	0	0	0	1	3	8	0	0	0
C1orf127	11	5	8	3	29	3	20	24	16	14	4	106	162	100	18	5	6
TARDBP	2287	1166	1528	2041	2937	1069	2376	1437	1598	3715	1668	3071	2417	3202	1286	1938	1269
MASP2	66	46	63	73	47	25	84	51	52	102	37	192	165	164	63	67	43
SRM	265	182	229	225	1249	248	705	255	357	919	395	270	409	398	186	239	194
EXOSC10	881	432	580	619	1039	499	1143	535	620	1338	548	891	862	837	473	607	631
EXOSC10-AS1	4	1	0	1	7	1	4	1	3	2	3	25	12	35	0	1	2
MTOR	2043	1080	1339	1193	1824	1517	2078	1519	1841	2956	1215	2170	2625	1467	1213	1441	1460
MTOR-AS1	0	1	1	0	1	1	0	3	1	0	0	2	4	4	2	0	6
LOC124904848	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ANGPTL7	11	21	35	23	28	11	22	20	23	21	9	3	34	7	15	26	15
UBIAD1	373	234	254	273	480	231	537	268	320	544	219	501	578	665	259	328	260
LOC105376737	0	2	0	0	0	0	0	0	1	0	0	2	3	0	1	0	0
LOC105376739	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
LOC105376740	6	1	0	0	0	0	4	0	1	0	0	0	2	4	4	0	1
LOC124903841	0	2	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0
DISP3	6	1	3	1	3	5	11	5	2	11	1	231	202	319	3	1	0
LOC124903842	0	0	0	0	0	0	0	0	0	0	0	2	8	8	0	0	0
LINC01647	0	0	0	0	0	1	0	0	0	0	0	2	1	5	0	0	0
FBXO2	57	52	35	31	263	36	94	27	22	80	42	1675	2484	2447	16	21	55
FBXO44	370	163	186	192	687	147	591	151	207	405	177	789	1050	572	174	195	187
FBXO6	102	59	54	43	134	23	111	59	84	198	70	92	114	128	79	58	38
MAD2L2	236	188	210	229	922	180	367	243	247	484	158	264	287	278	154	218	134
DRAXIN	3	4	6	6	0	4	5	3	1	3	1	23	28	33	2	2	2
AGTRAP	225	87	122	96	340	85	228	109	130	337	142	488	465	463	88	72	113
C1orf167	0	3	0	0	6	0	0	0	0	0	0	2	1	6	0	2	0
C1orf167-AS1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
MTHFR	1907	1144	1373	1166	2125	1164	2136	1042	1346	2399	962	1439	1923	1239	1280	1489	1417
CLCN6	679	449	536	533	808	683	1271	469	602	1317	534	1138	1308	1043	433	564	575
NPPA-AS1	7	5	7	2	4	7	2	3	1	17	5	3	6	3	3	3	10
NPPA	14657	4383	6402	8175	69709	12923	25338	14355	16710	22545	9381	3241	1662	6937	1246	1317	2857
NPPB	6590	2495	4269	4021	19609	4646	11295	3662	5089	8505	2791	418	103	207	796	2404	1484
RNU5E-1	6	0	0	0	5	0	4	0	2	1	0	26	8	20	0	2	0
LOC124903843	10	4	5	5	5	3	6	3	5	5	2	136	184	172	4	3	3
KIAA2013	672	360	552	505	1626	428	1120	494	686	1159	523	985	1420	1180	359	481	432
PLOD1	2936	1800	2040	1921	4532	1553	3892	1833	2105	5635	2268	581	987	1569	1010	1591	1046
