	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	EPI_1	EPI_2	EPI_3	EPI_4	GEF_1	GEF_2	GEF_3	GEF_4
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPTP	855	530	318	680	302	312	292	735	195	519	149	599	11	20	76	60	182	346	317	252
TAS1R3	56	26	16	50	28	40	39	69	22	27	11	34	4	20	103	94	16	10	34	24
DVL1	1361	857	465	1130	422	532	517	1077	355	613	253	931	99	185	759	527	234	469	524	363
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	644	1042	750	294	154	577	668	294	390	346	30	153	367	655	1783	443	81	70	529	164
AURKAIP1	2324	1298	699	2321	747	638	552	1552	403	1020	392	1767	84	142	195	264	334	905	680	488
CCNL2	6732	5202	2676	6351	2518	3061	2841	4272	1775	2869	1462	5152	1900	2792	8736	8736	1220	3100	3502	2864
MRPL20-AS1	423	345	184	620	193	188	160	344	98	261	161	477	25	42	136	93	79	285	206	150
MRPL20	2608	1361	747	2580	717	792	723	1512	389	910	478	1674	93	132	228	259	402	918	778	632
MRPL20-DT	221	157	70	141	83	88	82	111	28	102	35	128	43	42	182	181	46	95	95	78
ANKRD65	3	4	5	5	0	9	6	1	6	0	0	1	5	4	61	40	2	0	3	2
ANKRD65-AS1	1	0	1	0	0	1	1	1	4	0	0	0	2	6	25	18	2	0	4	0
TMEM88B	18	20	7	12	7	9	8	5	12	3	0	5	2	5	32	9	1	2	8	9
LINC01770	68	48	22	73	33	29	28	19	29	23	0	1	0	6	42	32	1	0	37	19
LOC107985729	32	22	16	29	16	19	21	6	23	8	0	0	2	1	37	35	0	1	21	13
VWA1	278	357	192	364	134	175	147	88	133	127	4	25	45	74	178	191	16	21	142	76
ATAD3C	12	11	5	5	0	0	5	3	6	7	1	1	6	5	75	43	0	2	3	5
ATAD3B	1164	719	362	1091	468	471	497	783	296	464	214	878	201	272	1328	839	189	503	585	391
ATAD3A	1061	676	376	964	320	326	353	745	194	498	249	950	60	72	250	214	196	510	292	251
TMEM240	157	75	35	139	63	74	40	128	48	56	29	106	1	6	54	27	26	66	90	32
SSU72	3563	2275	1110	2627	946	1071	903	1956	604	1470	619	2130	153	211	343	402	585	1354	881	827
FNDC10	276	207	94	151	86	46	61	125	92	157	34	182	27	77	74	143	21	87	48	59
LOC105378586	5	1	2	2	2	2	0	0	3	1	1	2	1	4	16	18	0	1	1	3
MIB2	1219	584	331	1348	566	522	539	944	445	618	219	1018	99	161	546	473	210	601	696	535
LOC124903821	302	171	134	559	264	339	267	492	177	198	51	302	23	71	440	359	106	198	460	303
MMP23B	219	83	67	220	68	109	100	234	69	137	20	139	21	41	347	216	45	89	115	59
CDK11B	1376	996	565	1424	503	677	574	1102	354	825	321	1017	128	185	616	469	320	768	667	487
SLC35E2B	2617	1842	1048	1864	855	1180	1244	2083	877	1402	825	2297	153	285	595	556	617	1266	1450	905
MMP23A	9	5	1	9	2	6	1	7	5	9	0	0	0	0	14	8	3	5	1	7
CDK11A	532	396	197	533	163	250	216	374	137	263	124	377	85	115	448	314	101	247	255	175
SLC35E2A	1036	513	350	567	318	408	420	819	415	574	357	1185	72	79	266	287	263	729	513	395
LOC112268218	2	0	0	2	2	3	1	1	2	5	1	1	3	5	10	5	0	2	4	1
NADK	1389	1163	539	1441	519	605	572	927	280	651	282	1035	154	217	703	502	250	558	620	425
GNB1	12395	12074	6020	9282	4454	5319	4649	8050	2808	7075	3538	9546	1874	2745	3321	4888	2439	5540	4079	3651
GNB1-DT	12	17	11	12	11	5	12	8	6	12	7	22	5	13	44	29	4	8	6	6
LOC124903822	5	0	1	2	1	7	2	2	1	1	0	3	8	3	21	8	0	4	4	2
CALML6	7	4	3	4	0	4	3	2	6	5	1	3	4	9	12	18	1	3	8	1
TMEM52	8	9	2	6	6	10	5	16	6	9	4	10	16	23	61	37	2	5	5	2
CFAP74	2	0	1	5	0	4	2	0	3	0	0	0	10	16	134	72	0	0	0	0
LOC107984872	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	15	0	0	1	0
LOC105378589	2	1	0	0	0	1	1	0	1	0	0	0	15	25	102	72	0	0	0	0
GABRD	0	2	2	0	0	0	0	0	0	0	0	0	10	11	118	69	0	0	0	0
LOC105378590	0	0	0	0	0	1	0	0	0	0	0	0	6	8	15	24	0	0	0	0
PRKCZ	1157	890	397	1269	441	484	414	893	316	726	344	1118	89	77	391	466	269	725	510	387
PRKCZ-DT	0	0	0	1	0	0	0	2	0	0	0	1	0	2	11	20	0	0	0	0
PRKCZ-AS1	97	113	71	98	59	44	46	109	45	83	40	145	20	19	79	63	38	98	88	63
FAAP20	1157	755	432	1070	398	462	411	838	302	637	178	817	288	533	2101	1460	216	420	464	274
LOC112268219	241	143	64	174	99	93	95	160	78	103	45	186	19	15	105	60	43	111	95	81
LOC105378593	11	8	5	3	6	7	10	11	9	9	0	9	3	3	47	19	1	6	16	6
LOC124903823	8	0	1	0	1	2	1	3	0	4	1	2	2	1	5	2	1	3	2	1
SKI	3558	3206	1702	3006	1368	1879	1652	3362	1062	2716	984	3263	203	340	793	551	1048	1950	1742	1130
LOC124903824	63	44	22	91	34	26	32	68	45	31	17	108	12	44	173	146	17	42	51	26
MORN1	138	89	54	131	57	64	54	128	48	84	29	111	28	36	123	121	32	69	91	44
LOC100129534	42	39	23	13	12	21	19	29	31	21	4	25	13	27	54	34	4	13	38	12
RER1	2327	1820	880	1549	723	997	781	1602	478	1086	548	1633	339	393	831	941	419	944	813	717
PEX10	422	276	194	386	202	203	188	426	101	284	101	427	41	58	119	142	88	210	218	144
PLCH2	14	6	8	12	7	10	9	3	2	7	5	13	10	9	74	54	0	6	19	3
PANK4	1836	941	487	1524	581	699	639	1160	313	751	365	1343	86	114	249	414	314	662	620	510
HES5	0	0	0	0	0	0	1	0	0	1	0	0	0	3	19	4	0	0	0	0
TNFRSF14-AS1	0	0	0	0	0	0	0	0	0	0	0	0	4	4	24	20	0	0	0	0
TNFRSF14	1	38	18	6	0	4	4	0	1	1	0	6	8	9	42	32	1	0	7	0
LOC100996583	1	1	0	0	0	0	0	3	1	0	0	2	0	1	9	20	0	0	2	0
PRXL2B	666	580	365	716	289	383	337	553	198	391	180	673	52	52	135	125	148	350	402	239
MMEL1	3	1	2	0	1	1	3	0	3	2	0	0	1	2	29	22	0	0	1	2
MMEL1-AS1	1	0	2	0	0	0	0	1	1	0	0	3	2	2	6	12	0	0	2	1
TTC34	19	17	17	19	18	31	23	41	33	16	4	20	7	19	67	94	8	8	37	28
LOC105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	1	0	0	0	0	1	0	0	0	2	1	4	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	7	0	0	0	0
LOC124903826	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	8	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	17	0	0	0	0
LOC124903827	3092	1494	1095	3263	1302	1365	1097	2814	1995	1797	606	2285	64	92	253	359	785	1344	2474	1705
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	3698	2452	1168	1960	935	1828	1220	3113	1764	1941	967	3239	78	144	909	668	777	2062	1312	984
MIR4251	1	0	2	2	0	4	4	1	2	0	2	0	0	0	0	0	1	3	2	3
LOC105378606	8	2	0	10	6	6	4	1	2	8	1	9	0	3	15	15	3	7	11	1
LOC107984909	140	69	54	200	72	99	76	149	50	109	25	143	3	16	98	85	40	80	121	82
LOC105378605	9	6	4	16	4	4	4	8	3	7	1	6	3	2	8	2	3	3	10	8
LOC124903828	258	211	211	1014	312	403	336	307	208	219	61	245	22	50	158	247	182	189	504	433
LOC105378604	219	132	97	403	135	165	130	149	91	122	45	179	13	24	73	121	71	107	196	143
ARHGEF16	46	83	46	54	15	10	15	30	20	23	19	33	26	40	76	62	9	23	24	14
MEGF6	1101	1269	705	2020	685	831	820	1862	623	836	353	1432	489	633	2392	1788	456	763	1253	825
LOC105378608	1	1	2	3	0	0	0	0	0	0	0	0	1	1	6	15	0	0	2	0
MIR551A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
TPRG1L	2160	1370	696	1333	635	803	720	1268	484	975	424	1363	292	431	661	1058	332	737	764	619
WRAP73	544	315	183	412	202	185	209	329	132	241	96	377	48	75	251	169	84	181	251	190
TP73	12	18	14	34	15	21	21	37	14	22	3	16	12	32	156	155	7	11	20	5
TP73-AS3	1	4	0	0	0	0	0	1	0	1	0	0	5	6	45	61	0	0	1	0
TP73-AS1	1908	1502	796	1952	817	1001	933	1549	682	1200	544	1543	302	491	1793	1632	433	1130	996	762
CCDC27	23	23	10	28	15	18	20	25	26	16	16	80	7	9	51	32	13	54	19	21
SMIM1	108	71	52	174	88	63	47	162	72	99	21	125	0	5	10	6	28	54	91	70
LRRC47	3913	2438	1272	3275	1359	1462	1292	2768	1108	2071	893	2984	220	334	435	536	898	1866	1434	1200
CEP104	1298	1029	503	1357	524	582	544	1038	353	789	348	1133	193	212	518	442	315	598	584	510
LOC124903829	5	16	3	17	8	8	6	11	11	14	4	11	5	8	17	11	5	12	9	10
DFFB	165	130	82	149	59	95	83	134	85	94	38	138	9	28	113	111	34	72	110	62
C1orf174	688	555	326	385	226	257	261	474	158	339	150	532	38	41	135	192	136	294	264	219
LINC01134	16	3	3	3	0	2	6	10	0	5	1	16	1	4	11	9	4	10	5	0
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	14	0	0	0	0
LINC01777	3	4	0	0	1	0	1	2	0	1	0	0	1	0	6	5	1	0	1	1
LOC105376674	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904578	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
LINC01646	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0	0	0	0
AJAP1	7	12	7	5	1	4	4	2	2	5	1	0	26	29	24	50	2	0	6	0
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0
LOC124904589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904590	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
LOC124900451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903830	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	256	199	130	230	96	134	124	139	86	108	65	235	34	56	148	102	28	110	128	55
KCNAB2	72	218	113	93	41	68	65	91	58	65	28	63	72	107	207	182	14	55	80	39
LOC124903831	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	13	0	0	0	0
CHD5	6	46	32	19	4	6	5	9	4	2	1	10	29	53	96	105	4	7	16	4
RPL22	6168	4208	2071	4694	1595	2037	1464	3517	1627	2241	1593	4872	1604	2153	2056	5432	1127	2716	1728	1842
RNF207-AS1	83	50	21	103	35	35	41	84	38	47	17	97	11	19	73	77	24	45	48	46
RNF207	13225	7683	4495	13823	6265	7622	7698	14881	4293	7612	3692	15376	1768	3045	16209	14022	4435	10142	9046	7551
ICMT	5661	3813	1902	3902	1789	2142	1921	4102	1269	2463	1328	4087	534	720	1362	1840	1262	2690	2060	1790
ICMT-DT	11	3	3	8	3	1	1	2	3	1	1	3	6	6	67	42	1	4	6	1
HES3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	10	7	0	0	0	0
GPR153	445	297	148	268	136	190	159	189	161	217	116	378	158	118	220	325	38	215	205	87
ACOT7	820	1082	548	1123	381	409	384	797	156	625	292	883	632	1062	930	1919	178	460	293	178
HES2	1	0	0	0	0	0	0	0	0	0	0	1	11	16	44	28	0	1	0	0
ESPN	0	1	1	3	2	2	3	0	3	0	0	1	30	44	81	58	0	0	2	2
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TNFRSF25	145	71	50	142	58	65	72	93	64	53	15	117	21	28	171	130	33	52	104	59
PLEKHG5	513	311	197	598	252	249	260	407	265	327	122	474	61	114	583	519	98	251	376	242
NOL9	2186	1432	560	880	442	657	570	1490	506	1103	560	1375	187	275	506	532	491	859	573	349
TAS1R1	2	0	5	3	1	0	1	2	0	0	1	0	21	27	114	107	0	1	4	0
LOC107984912	0	1	0	0	0	0	0	0	0	3	0	0	1	0	4	3	0	1	1	2
ZBTB48	626	345	183	528	222	289	230	448	180	258	131	475	47	72	222	123	106	264	329	208
KLHL21	6110	4970	2288	5461	2177	1844	2137	4521	968	3811	1751	5100	433	546	1456	1042	1223	2620	2155	1851
LOC107984913	263	103	65	191	69	99	103	146	37	129	42	147	31	63	231	184	48	79	126	85
PHF13	2210	1811	697	1861	643	766	684	1590	537	1221	533	1669	143	225	720	602	429	960	741	630
THAP3	543	245	192	422	148	181	203	354	121	222	78	366	40	72	148	141	86	200	234	139
DNAJC11	1634	1253	704	1929	621	639	629	1340	494	1002	506	1516	100	175	346	289	413	1045	646	553
LINC01672	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	8	0	0	0	0
LOC124904847	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	7	0	0	0	0
CAMTA1-DT	9	3	2	7	4	7	5	4	0	7	4	6	23	21	64	74	1	1	3	4
CAMTA1	1936	1146	605	1211	651	705	614	1138	407	853	428	1316	266	406	1047	1379	368	833	555	673
LOC124903832	106	73	54	154	42	58	35	75	51	72	30	60	36	40	71	179	38	67	67	64
CAMTA1-AS3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	4	0	0	0	0
LOC124900385	1	0	0	0	1	1	1	0	0	0	0	1	2	1	7	8	0	0	2	0
CAMTA1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0
CAMTA1-AS1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	5	0	0	1	0
LOC105376691	0	0	0	5	1	1	0	0	2	0	1	1	0	0	4	6	0	0	0	3
LOC105376689	12	59	13	35	15	23	15	41	16	18	5	17	28	47	138	154	8	8	21	18
VAMP3	4969	3966	1875	3267	1501	1905	1565	2611	1079	2278	1213	3043	1671	2092	2796	4780	935	1766	1470	1607
PER3	1113	681	396	893	559	626	636	1406	684	854	218	577	90	78	465	425	547	492	787	780
LOC124903833	10	7	3	17	9	11	16	25	15	8	4	11	4	6	4	5	11	8	18	24
UTS2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	8	0	0	1	0
TNFRSF9	20	64	30	25	9	6	3	19	7	6	17	7	17	28	26	30	4	6	3	1
PARK7	6908	4332	2241	6270	2015	2394	2039	4048	1158	2824	1554	4503	664	1055	1241	2411	1085	2706	1933	1685
LOC124903834	21	11	8	7	3	6	5	13	4	11	4	8	11	5	19	36	1	8	7	7
ERRFI1	571	1330	527	417	174	270	297	294	173	309	193	440	198	202	557	252	139	271	213	191
ERRFI1-DT	3	4	0	0	3	1	1	1	2	1	1	3	4	19	37	32	0	1	4	0
LOC107984915	1	1	0	0	0	0	1	0	0	0	0	0	1	6	4	8	0	1	1	0
LINC01714	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0
LOC105376695	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0
LOC124903835	0	0	0	0	0	0	0	0	0	0	0	1	5	2	24	15	0	0	0	0
SLC45A1	38	49	18	20	12	15	23	31	12	8	6	17	6	10	40	25	4	4	19	13
RERE	6415	5772	2996	4748	2406	3124	2851	5400	2118	5212	2060	5381	454	577	1588	1798	1605	3226	2705	2362
RERE-AS1	3	3	4	13	4	5	7	3	3	2	3	2	15	11	62	101	2	4	7	3
SNORD128	3	0	0	1	0	2	0	0	1	0	0	1	0	0	0	8	1	0	0	1
LOC124900452	0	0	0	2	1	1	0	0	0	0	1	1	0	2	0	1	0	0	0	0
ENO1	34648	17049	8569	14629	7786	7659	5448	7167	19751	6252	3416	9219	3038	3167	2676	6156	2053	5285	4522	3559
MIR6728	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	2	0
ENO1-AS1	9	3	5	19	4	0	4	7	2	6	8	12	6	5	10	21	1	4	9	3
LOC112268261	0	0	0	0	0	0	0	0	0	0	1	0	1	7	11	11	0	0	0	0
CA6	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	19	0	0	1	0
SLC2A7	0	0	0	0	0	0	0	0	0	0	0	0	2	8	15	22	0	0	0	0
SLC2A5	5	20	10	20	10	9	5	8	14	7	1	3	14	15	83	96	2	1	17	6
LOC124900441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0
GPR157	445	311	150	298	152	147	140	328	140	217	119	337	83	92	239	223	112	229	152	126
MIR34AHG	646	464	189	289	133	106	193	341	141	302	117	307	135	187	156	152	78	180	208	130
MIR34A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	45	25	12	6	16	9	29	24	11	23	6	37	31	34	53	33	11	18	33	7
H6PD	3913	3381	1702	3154	1512	2111	2103	3535	1420	2574	1208	3663	477	549	1425	1208	964	2058	2254	1368
LOC124903836	8	13	4	41	19	12	13	16	7	20	10	19	3	5	21	6	4	10	17	11
SPSB1	191	568	296	153	67	151	188	97	122	151	45	155	160	237	428	395	24	94	161	53
LINC02606	16	19	17	18	6	13	17	12	5	14	3	10	3	4	18	16	2	3	10	5
SLC25A33	348	266	107	227	116	73	63	222	31	118	82	290	26	65	100	67	49	140	56	60
TMEM201	909	788	416	1088	433	396	373	806	292	634	273	990	65	132	228	213	191	482	381	317
LOC124903837	5	3	0	1	1	2	0	0	0	3	0	1	6	5	2	5	2	1	1	1
PIK3CD	435	339	173	434	163	181	179	279	109	269	140	371	69	98	202	233	69	215	192	129
LOC105376712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
PIK3CD-AS1	0	0	0	0	0	0	0	0	0	1	0	0	4	5	15	13	0	0	0	0
PIK3CD-AS2	64	58	29	44	12	34	17	30	13	32	8	38	7	12	16	55	2	20	19	12
LOC124903839	0	2	0	0	0	0	0	0	0	0	0	1	2	0	5	4	0	2	1	0
CLSTN1	5267	5640	2752	5144	2071	3032	2572	4925	1626	3937	1793	5073	883	1481	1609	2517	1437	3250	2574	1790
CTNNBIP1	2368	1344	658	2114	696	693	639	1696	459	1127	662	2077	663	717	2135	2451	497	1209	838	837
LOC105376717	21	12	5	3	0	1	1	4	3	5	3	17	1	0	0	0	6	9	3	4
LOC124903838	11	17	11	20	5	7	3	15	4	11	10	21	3	7	10	23	3	15	3	9
LZIC	3860	2152	1115	2553	930	1264	927	2278	1032	1720	1110	2675	107	161	258	291	834	1680	1139	1147
NMNAT1	1397	787	416	933	374	409	321	765	335	656	368	899	107	202	582	443	269	602	407	378
TMEM274P	7	4	2	16	7	10	7	12	1	14	10	14	8	5	4	14	4	11	12	5
MIR5697	4	1	2	4	1	0	0	0	1	2	3	7	0	0	4	1	2	3	1	0
LOC124903840	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	3	0	0	0	0
RBP7	66	149	86	197	80	55	61	484	19	95	75	216	44	52	82	82	154	149	77	103
UBE4B	4726	3848	1934	3769	1740	2462	2096	4295	1595	3577	1941	4750	408	730	1315	1710	1326	3603	2228	1846
KIF1B	12883	9748	4614	11311	4451	5473	4537	10070	3338	8229	4416	9504	596	703	1659	1549	3821	6572	5071	4436
